11th.haus.	3600	in	ns	ns-cloud-d4.googledomains.com.
123b.haus.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.haus.	3600	in	ns	sandy.ns.cloudflare.com.
123movies.haus.	3600	in	ns	curitiba.ns.porkbun.com.
123movies.haus.	3600	in	ns	fortaleza.ns.porkbun.com.
123movies.haus.	3600	in	ns	maceio.ns.porkbun.com.
123movies.haus.	3600	in	ns	salvador.ns.porkbun.com.
12bet.haus.	3600	in	ns	ns1.dns-redirect.com.
12bet.haus.	3600	in	ns	ns2.dns-redirect.com.
12knml76g74q4iptl5aj2hii03tlm214.haus.	3600	in	nsec3	1 1 0 73 14VUHKMKL1T0V1OC2J7RVDF7ARHV3MDH NS DS RRSIG
12knml76g74q4iptl5aj2hii03tlm214.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. Y+sMDC6U6cb52r8Km0n28PvAhIB3Wl6mChDCAMXdJldUCHuj6ui3DNTPiLSYFr8n7EykHSMk8diDwZ8cVmxFKn2t/dBB6/uhzEud5zryUUvsfnRmDu4dU/0IeLlh0yGBKHcCTTqi1tS2tr1mHUl40PaUKswiySCER3oqscxCd/Y=
12th.haus.	3600	in	ns	ns2.wixdns.net.
12th.haus.	3600	in	ns	ns3.wixdns.net.
1337.haus.	3600	in	ns	josh.ns.cloudflare.com.
1337.haus.	3600	in	ns	kay.ns.cloudflare.com.
147.haus.	3600	in	ns	ns1.syrahost.com.
147.haus.	3600	in	ns	ns2.syrahost.com.
14vuhkmkl1t0v1oc2j7rvdf7arhv3mdh.haus.	3600	in	nsec3	1 1 0 73 161DJQIKL6C8TOIN6OHUA32RVT03RFER NS DS RRSIG
14vuhkmkl1t0v1oc2j7rvdf7arhv3mdh.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. b8LUJc3Asa4BFJlL7ipj6DHw2ZSksRCBYyy+ofN6QoDUZPP1LtcZXnY73JPh8DaRCo9HpMNjHYPBvCS9CSz11sVHXwxds9POy4vWmQS09R1rE4Gfyjn0JFXKTJnFUEJCz59x0B4H7Q8bBKbuMmPDPOl28mucHGzvB9Q64WRut0g=
15k.haus.	3600	in	ds	2371 13 2 E2F0B6BA798C7B5C35F7B79776772F544FAE3F7AA93C18CE59DEA713B9E769F1
15k.haus.	3600	in	ns	ian.ns.cloudflare.com.
15k.haus.	3600	in	ns	nina.ns.cloudflare.com.
