5ksk17qf593sr7jv0u2s5uj8vluteclj.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. lNbKsP+o3CUqQyuOQPqb0p+kkpPKJBs1G07oV9BBa2DZwtisy5mcKlDVgxeeaAhBkRtgbQYbT9Frc6D4+vkuhQMxe618kq+V8mgWrP7Pw8wj3Ca/RdJLVoMLSBV/1qGOYojc4T4YwsNCy77tIr4SO+px1Js/BB3cCr5NQq554QY=
5moc2v4hs7pble73aktqlifmbjb7s1lb.gripe.	3600	in	nsec3	1 1 0 73 5MT0F0MBGLFB30S1FEG23TSNMA4449EB NS DS RRSIG
5moc2v4hs7pble73aktqlifmbjb7s1lb.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. F/i1nEy1Qd0LNiKJBsHxi3C2m3GCU+HS66tbkP1xkB9apzby6JMSfY+yn6t5mIY96lmeu3+FJrrIKGPFzsffg4PCOjyyUM/0LihcbUHKiKlmpyB8DBaqVFJOxEG+bvBe5l33s1KNIicnzhxLJSBWOUXlDMv2ivTjdlZB9RJiq24=
5movierulz.gripe.	3600	in	ns	hattie.ns.cloudflare.com.
5movierulz.gripe.	3600	in	ns	santino.ns.cloudflare.com.
5mt0f0mbglfb30s1feg23tsnma4449eb.gripe.	3600	in	nsec3	1 1 0 73 6IQTJSH4MEAHHJSG1I2K4DCPR0L8L0KN NS DS RRSIG
5mt0f0mbglfb30s1feg23tsnma4449eb.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. SNG1fDt4z/dBhWhabx7ZCfxidZ7g1z5v9NlOwWFdDgNoYctleBAEmmAk/fCCGIPUsx/bRNfgfhk+Da9BqVxuJ7YZi5Q61QFIcph4Dv0V0ogFobM4SDUCoJ7oGgfkbNeFu63ReQ08UOgaNaghTUJa0Jp+UqrCLy+WLugr4hzYorU=
671818.gripe.	3600	in	ns	ns1.dyna-ns.net.
671818.gripe.	3600	in	ns	ns2.dyna-ns.net.
673067.gripe.	3600	in	ns	ns1.dyna-ns.net.
673067.gripe.	3600	in	ns	ns2.dyna-ns.net.
69.gripe.	3600	in	ns	curitiba.ns.porkbun.com.
69.gripe.	3600	in	ns	fortaleza.ns.porkbun.com.
69.gripe.	3600	in	ns	maceio.ns.porkbun.com.
69.gripe.	3600	in	ns	salvador.ns.porkbun.com.
69vn.gripe.	3600	in	ns	joaquin.ns.cloudflare.com.
69vn.gripe.	3600	in	ns	josephine.ns.cloudflare.com.
6iqtjsh4meahhjsg1i2k4dcpr0l8l0kn.gripe.	3600	in	nsec3	1 1 0 73 6MGI1OS7BD17OERLT5RGNHDBE32SEDF9 NS DS RRSIG
6iqtjsh4meahhjsg1i2k4dcpr0l8l0kn.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. q7itsCfE2zeenZ2Lqt1PwcyQ3hYBXU2zj1tnOin0o1J8Jm8B1CJsbsSwLgBvDPDCUt2tYkLDX3YiSNy85MXVRTy3W35v/ySQVvGwpKUgxET7ZYxex3o+ufFsUB7FSi8mjXucCVUy/JaWGYkqwpKOVUXRpS7R1wWSOLvUAVR7+iY=
6mgi1os7bd17oerlt5rgnhdbe32sedf9.gripe.	3600	in	nsec3	1 1 0 73 74KPS1DI2HI8QTUE7DJ9NOIGAV210871 NS SOA RRSIG DNSKEY NSEC3PARAM
6mgi1os7bd17oerlt5rgnhdbe32sedf9.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260215010541 20260125000541 3183 gripe. M19NESzcB48G/jpYPwqcD+T8h65uRWLnPE1dDsc9wVIjn91zDciNoV3d/+HTxzjW36d0P3XSU3zstVJZGZZHON2XSLzN+G4op+Vtk28Q5vnDGa4FKT0nsUT9QfkrJKdkk1IhrcEVI38Mbw9b5pZt9z+I64cgc7iLixpq/kZVbes=
710161.gripe.	3600	in	ns	ns1.dyna-ns.net.
710161.gripe.	3600	in	ns	ns2.dyna-ns.net.
739.gripe.	3600	in	ds	2371 13 2 0F665D3FCEC795253638C42CD760078A3AB5F60AECADA156D30D8938668D7318
739.gripe.	3600	in	ns	aspen.ns.cloudflare.com.
739.gripe.	3600	in	ns	woz.ns.cloudflare.com.
739.gripe.	3600	in	rrsig	DS 8 2 3600 20260207154540 20260117144540 3183 gripe. G6LST9tH3ooFu7Q/vC462euqeNibfm45pIxSuv7hn9OJ/L+OvJdIQsu0YJsc+0Vv9KW3QMp22+s6kB1giX5umCiYOfuQO3rWEmfauOCwbAspMGut5jpoYqjL7TzNUVUAQO3VNNhUnL/gWyWivorb/ZlXpsYcNBFoIDODbs8Bu2o=
74kps1di2hi8qtue7dj9noigav210871.gripe.	3600	in	nsec3	1 1 0 73 7SLLI8EF9U3D68OK3S87GEEV6JSH1SKK NS DS RRSIG
74kps1di2hi8qtue7dj9noigav210871.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. iIw47KXGr1EHmVlm/+VPvMUBHQ2KqAkQF+dFhlPDGYnWGo617WBwjK4fJIZpZN1oOe/iGpR8T5JxHQh/ucBdleNOoF0oNOe0yx7wMd8OgLJEiwxBHorUmgS00IY/f2Z6qcWZjYFUvwN+qKoQhRv8O2AS3L2nvMemUHiMeXOnNZw=
789bet.gripe.	3600	in	ns	chan.ns.cloudflare.com.
789bet.gripe.	3600	in	ns	joaquin.ns.cloudflare.com.
789win.gripe.	3600	in	ns	susan.ns.cloudflare.com.
789win.gripe.	3600	in	ns	tate.ns.cloudflare.com.
78win.gripe.	3600	in	ns	dns1.registrar-servers.com.
78win.gripe.	3600	in	ns	dns2.registrar-servers.com.
7slli8ef9u3d68ok3s87geev6jsh1skk.gripe.	3600	in	nsec3	1 1 0 73 8CSBKL22IE5F54PF6PKL82CMUBNITE7E NS DS RRSIG
7slli8ef9u3d68ok3s87geev6jsh1skk.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. eddzTShy4vWOuIYRo6L+ykSjt+LZ9ExBZqymI775blnr0fjxBGEge7IyTui5FFtRVoYF2iZJaGMWsYVfGLZlLvMo2CtMSSG2e5KXewbiN8kL/rYPmTtW1FbzXdO+ima0a/fhZvB0zjEXHSmdaxSNo8Sl75woGrvrnoRRnARsMYk=
7starhd.gripe.	3600	in	ns	jacqueline.ns.cloudflare.com.
7starhd.gripe.	3600	in	ns	luke.ns.cloudflare.com.
88clb.gripe.	3600	in	ds	56396 13 2 F004B7A0D4208A1731AA3BDAF78CA4137C1160C1E04A0AE2EED3D967DECFE7C8
88clb.gripe.	3600	in	ns	launch1.spaceship.net.
88clb.gripe.	3600	in	ns	launch2.spaceship.net.
88clb.gripe.	3600	in	rrsig	DS 8 2 3600 20260207154540 20260117144540 3183 gripe. itFDfpx3yUviKYxZPph5XzBwllijoWAaC14ZnfAbqmGju5cvVpBCmSjSVzE8K43rRYuEbmqDz6ZxfV7mwLGCAWhlrP5zUG8FqfV3cdhM5dFiyOIUKniS55RnHsu7c9OW7x0jc3wFvwkM1PbOrbBvl9cA9XnM9mjwmPh52eSYZdg=
88i.gripe.	3600	in	ns	ns43.domaincontrol.com.
88i.gripe.	3600	in	ns	ns44.domaincontrol.com.
88m.gripe.	3600	in	ns	ns11.domaincontrol.com.
88m.gripe.	3600	in	ns	ns12.domaincontrol.com.
8csbkl22ie5f54pf6pkl82cmubnite7e.gripe.	3600	in	nsec3	1 1 0 73 8TSTHLQH1S8B1THAPBTEI8AGMN1SME7G NS DS RRSIG
8csbkl22ie5f54pf6pkl82cmubnite7e.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. giLV/QfvSzU3W80RZsTD6soBAz+LYZ4cPBSTr0CyL0U/4McLEjwRr3H2T0VFRiAe03/CFaBGd3poyFOu0V16bmtqkbFgdgEb37mXt3sMLkOblQxHDz/TpDZHFylOoIEXGX9LiE3NgrLk6iK+3BuLIlP3etOhD9OanZYUyeL9IAQ=
8kbet.gripe.	3600	in	ns	nicole.ns.cloudflare.com.
8kbet.gripe.	3600	in	ns	rajeev.ns.cloudflare.com.
8tsthlqh1s8b1thapbtei8agmn1sme7g.gripe.	3600	in	nsec3	1 1 0 73 9ID5RUO59PDJDOCGD8B5HBCQHCADIR5B NS DS RRSIG
