baidu.shiksha.	3600	in	ns	ns2.brandshelter.de.
baidu.shiksha.	3600	in	ns	ns3.brandshelter.info.
baidu.shiksha.	3600	in	ns	ns4.brandshelter.net.
baidu.shiksha.	3600	in	ns	ns5.brandshelter.us.
bap69.shiksha.	3600	in	ns	ns1.jino.ru.
bap69.shiksha.	3600	in	ns	ns2.jino.ru.
bap69.shiksha.	3600	in	ns	ns3.jino.ru.
bap69.shiksha.	3600	in	ns	ns4.jino.ru.
belcan.shiksha.	3600	in	ns	ns-1215.awsdns-23.org.
belcan.shiksha.	3600	in	ns	ns-1695.awsdns-19.co.uk.
belcan.shiksha.	3600	in	ns	ns-439.awsdns-54.com.
belcan.shiksha.	3600	in	ns	ns-596.awsdns-10.net.
bengaluru.shiksha.	3600	in	ns	max.ns.cloudflare.com.
bengaluru.shiksha.	3600	in	ns	ullis.ns.cloudflare.com.
berlitz.shiksha.	3600	in	ns	dns1.cscdns.net.
berlitz.shiksha.	3600	in	ns	dns2.cscdns.net.
bet.shiksha.	3600	in	ns	ns1.afternic.com.
bet.shiksha.	3600	in	ns	ns2.afternic.com.
bet88.shiksha.	3600	in	ns	beau.ns.cloudflare.com.
bet88.shiksha.	3600	in	ns	hadlee.ns.cloudflare.com.
betsaya.shiksha.	3600	in	ns	chuck.ns.cloudflare.com.
betsaya.shiksha.	3600	in	ns	sureena.ns.cloudflare.com.
bgt.shiksha.	3600	in	ns	dns10.parkpage.foundationapi.com.
bgt.shiksha.	3600	in	ns	dns9.parkpage.foundationapi.com.
bhagalpur.shiksha.	3600	in	ns	max.ns.cloudflare.com.
bhagalpur.shiksha.	3600	in	ns	ullis.ns.cloudflare.com.
bharat.shiksha.	3600	in	ns	ns1.dnsowl.com.
bharat.shiksha.	3600	in	ns	ns2.dnsowl.com.
bharat.shiksha.	3600	in	ns	ns3.dnsowl.com.
bharatbhasha.shiksha.	3600	in	ns	ns1.domain.com.
bharatbhasha.shiksha.	3600	in	ns	ns2.domain.com.
bharatiyata.shiksha.	3600	in	ns	ns1.hover.com.
bharatiyata.shiksha.	3600	in	ns	ns2.hover.com.
bharatvarsham.shiksha.	3600	in	ns	ns35.domaincontrol.com.
bharatvarsham.shiksha.	3600	in	ns	ns36.domaincontrol.com.
bhavya.shiksha.	3600	in	ns	dns7.parkpage.foundationapi.com.
bhavya.shiksha.	3600	in	ns	dns8.parkpage.foundationapi.com.
bhopal.shiksha.	3600	in	ns	max.ns.cloudflare.com.
bhopal.shiksha.	3600	in	ns	ullis.ns.cloudflare.com.
bhubaneswar.shiksha.	3600	in	ns	max.ns.cloudflare.com.
bhubaneswar.shiksha.	3600	in	ns	ullis.ns.cloudflare.com.
bihar.shiksha.	3600	in	ns	archer.ns.cloudflare.com.
bihar.shiksha.	3600	in	ns	lady.ns.cloudflare.com.
bikaner.shiksha.	3600	in	ns	max.ns.cloudflare.com.
bikaner.shiksha.	3600	in	ns	ullis.ns.cloudflare.com.
bima.shiksha.	3600	in	ns	dns15.parkpage.foundationapi.com.
bima.shiksha.	3600	in	ns	dns16.parkpage.foundationapi.com.
bird.shiksha.	3600	in	ns	ns65.domaincontrol.com.
bird.shiksha.	3600	in	ns	ns66.domaincontrol.com.
bitcoin.shiksha.	3600	in	ns	ns1.atom.com.
bitcoin.shiksha.	3600	in	ns	ns2.atom.com.
bj88.shiksha.	3600	in	ns	dan.ns.cloudflare.com.
bj88.shiksha.	3600	in	ns	gloria.ns.cloudflare.com.
bk8.shiksha.	3600	in	ns	eloise.ns.cloudflare.com.
bk8.shiksha.	3600	in	ns	lex.ns.cloudflare.com.
blockchain.shiksha.	3600	in	ns	dns1.registrar-servers.com.
blockchain.shiksha.	3600	in	ns	dns2.registrar-servers.com.
bob.shiksha.	3600	in	ns	dns1.registrar-servers.com.
bob.shiksha.	3600	in	ns	dns2.registrar-servers.com.
bookmyclass.shiksha.	3600	in	ns	dns10.parkpage.foundationapi.com.
bookmyclass.shiksha.	3600	in	ns	dns9.parkpage.foundationapi.com.
bookmyclasses.shiksha.	3600	in	ns	dns19.parkpage.foundationapi.com.
bookmyclasses.shiksha.	3600	in	ns	dns20.parkpage.foundationapi.com.
books.shiksha.	3600	in	ns	ns1.markmonitor.com.
books.shiksha.	3600	in	ns	ns3.markmonitor.com.
books.shiksha.	3600	in	ns	ns4.markmonitor.com.
books.shiksha.	3600	in	ns	ns5.markmonitor.com.
boom.shiksha.	3600	in	ns	launch1.spaceship.net.
boom.shiksha.	3600	in	ns	launch2.spaceship.net.
bot.shiksha.	3600	in	ns	clyde.ns.cloudflare.com.
bot.shiksha.	3600	in	ns	hera.ns.cloudflare.com.
british.shiksha.	3600	in	ns	dns1.registrar-servers.com.
british.shiksha.	3600	in	ns	dns2.registrar-servers.com.
btc.shiksha.	3600	in	ns	dns1.registrar-servers.com.
