068.immo.	3600	in	rrsig	DS 8 2 3600 20250922160752 20250901150752 17763 immo. Vw6l8rl+kizr0wgAMff37UfBTHnAPEqMiaguzM67Tedc8R/9qhx7c6V/kx6aBNpqXPM6MBDt/KvLJUUpfz8rgWPLcqM1rsaKH5ELZWy2FSruAsTAw3IMqP8gn6IFQMoJEW7AmOp67LgpQQojGrFm+FX7a6BI+m9AtK/WXaGRaZI=
069.immo.	3600	in	ns	ns1042.ui-dns.biz.
069.immo.	3600	in	ns	ns1102.ui-dns.org.
069.immo.	3600	in	ns	ns1118.ui-dns.de.
069.immo.	3600	in	ns	ns1126.ui-dns.com.
0703brdg1dm0ov5fs8n3ld2fed6vqo7e.immo.	3600	in	nsec3	1 1 0 73 07BS5OLDD9R8GMS0KCQ5OE23CAB340DD NS DS RRSIG
0703brdg1dm0ov5fs8n3ld2fed6vqo7e.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. 4UXtJ37vT6bgv4+hsHb7ZShd+qCZcVz/BbRBjjRojmCLhpSsuOlx5eD27LnVOIhI89m+evJSGmfrLNniEEggRWMCQSaa5RPZpX6TaWPpA0Rn4bP6JHLJlhxT8cYcWSC9lFqXOKVyhdUFFJjMKgflBLD/zBXR/PRuWHHKy/h+RTo=
0711.immo.	3600	in	ns	ns-de.1and1-dns.biz.
0711.immo.	3600	in	ns	ns-de.1and1-dns.com.
0711.immo.	3600	in	ns	ns-de.1and1-dns.de.
0711.immo.	3600	in	ns	ns-de.1and1-dns.org.
07531.immo.	3600	in	ns	ns1035.ui-dns.biz.
07531.immo.	3600	in	ns	ns1057.ui-dns.de.
07531.immo.	3600	in	ns	ns1062.ui-dns.org.
07531.immo.	3600	in	ns	ns1125.ui-dns.com.
07800.immo.	3600	in	ns	ns1155.dns.dyn.com.
07800.immo.	3600	in	ns	ns2142.dns.dyn.com.
07800.immo.	3600	in	ns	ns3168.dns.dyn.com.
07800.immo.	3600	in	ns	ns4162.dns.dyn.com.
07bs5oldd9r8gms0kcq5oe23cab340dd.immo.	3600	in	nsec3	1 1 0 73 07IQ0A2R0JO5FS7RUOATTJL8NKHD4Q9V NS DS RRSIG
07bs5oldd9r8gms0kcq5oe23cab340dd.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. rWA6M9kPnGiSDa1BK6rkIkCq9ecQs91Oi+4Yn74SQicawFn0w2smX/fnb+TtW5065wSopDYB8JIDDpRZJDz17f5khiFVxJM3nsceds6+4EukzDH138uDtGvNenvyUeJ4406KF+2Hm3OjcUpX7UvTCJZ2zsdNYXgDky2pk+q6gt8=
07iq0a2r0jo5fs7ruoattjl8nkhd4q9v.immo.	3600	in	nsec3	1 1 0 73 07K6R2T8IB93BVI5F9GG30HVHSO91FOV NS DS RRSIG
07iq0a2r0jo5fs7ruoattjl8nkhd4q9v.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. 57AzRV/5It8nilePx5DjGP6XdyIxk+zBzyT+VPm/4hqoJEUy6nw7rD8sm+lpPyZWN3j2JW2b+0Wvl9Rd8FU/mPw0cgpN55sUmWwwXNYutzVcdvWmUtKyefhwTcJmNTqqSiCRnZ/yndfomjvXFuAYiJgxBeL3VOyMCq69EngQuFc=
07k6r2t8ib93bvi5f9gg30hvhso91fov.immo.	3600	in	nsec3	1 1 0 73 084V88R1USHMMMFI3NIBIPGCORJ7IJIO NS DS RRSIG
07k6r2t8ib93bvi5f9gg30hvhso91fov.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. 0tW/XB441sg4Q604izoUxjHCPTdU1W1SXV1kInVeNxd+P+14HK+eyYaRMkpi46BJyxARxVFEIU+755h7qk1kBRa1NB1y3RvRxOD4i1j2dM9ldYN7c+dGRFfWHCEmPAcTFz7TPRPOK4jeLhIrvqXlLYcCd8W4jJOL1j0IY3hkMrk=
0800.immo.	3600	in	ns	ns.udag.de.
0800.immo.	3600	in	ns	ns.udag.net.
0800.immo.	3600	in	ns	ns.udag.org.
084v88r1ushmmmfi3nibipgcorj7ijio.immo.	3600	in	nsec3	1 1 0 73 08BASE7VJ64FOHHE1E47HRQ8K21MD3DQ NS DS RRSIG
084v88r1ushmmmfi3nibipgcorj7ijio.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. 21crVelh+mdi45uSYeeF8RTSugLlUtymWYjwBdG7iwzrGTTGw1Gn2ZuDfQ1ZHN5minLeYA2DXpwcjHwVDw1Wo8OMfCEXWaUlw6VgqbtVkfeLh6ZfiedcTzAMgxJ6b/cYdKsPMczw0bXJNw9LEGdoQJkLKgLGxyt6bXjp/aPbcPc=
089.immo.	3600	in	ns	dns1.registrar-servers.com.
089.immo.	3600	in	ns	dns2.registrar-servers.com.
089capital.immo.	3600	in	ns	ns.checkdomain.de.
089capital.immo.	3600	in	ns	ns2.checkdomain.de.
08base7vj64fohhe1e47hrq8k21md3dq.immo.	3600	in	nsec3	1 1 0 73 08I7U2VP889OL7R5RQIJ0GS2CC7B6KS3 NS DS RRSIG
08base7vj64fohhe1e47hrq8k21md3dq.immo.	3600	in	rrsig	NSEC3 8 2 3600 20250922160752 20250901150752 17763 immo. v9DGcrOJ1osilnZ4rAubFuHqJ4I4hJQwEXgdaZBGx2/tKtnPqSkj+k3yAAsgmoRnfJkvOUnKKgqasZjvajPg5bmjK8XSfglLInl/kwNqF7wE5WKDokw64mTtGwOhkJLRWXV3gaz001L+oLx/Ohwj+/DuSKnI6L/KvBr+/0SxoLk=
