06fkh9nuo71gp3443niaoq8qbtb293tr.school.	3600	in	nsec3	1 1 0 73 06P48DUENCH0GRSTTGMI4PRV59TOK599 NS DS RRSIG
06fkh9nuo71gp3443niaoq8qbtb293tr.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. t7los/lYjFx7r+/cisbqZWXqueY1i6mtFgAdDbf3Z0fCbxx447ldp2OI+xUS2rYR4uAQCZTm16oS+e6YlNxwuDUBfq0RwcyBQBQborWiaHENepVKe0eR3Np6FxK0m4IGf0gIWd6qSVd6YnINgTP8k7ifexW065arrG8J+FWmxR8=
06p48duench0grsttgmi4prv59tok599.school.	3600	in	nsec3	1 1 0 73 08TQ69MVIDR6OJDNMUTSBFSA84CBQKD3 NS DS RRSIG
06p48duench0grsttgmi4prv59tok599.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. rdm2crUCCaNlooUWkoenZwhf4ua2Bp1tmOwnU5zwvopYKDTIq1iTFDwuSxAP9c+DOxly2kAc7LjA6NLpGq7kUaHHxYRBpTOZ4SN4K1CqzjKI0hHRUbbvRwSihLgENMAfoK+ZnxiWcNp3S5a/vvfUrqRha9ipNEF1ITOuxr55+1k=
0755.school.	3600	in	ns	expirens3.hichina.com.
0755.school.	3600	in	ns	expirens4.hichina.com.
08tq69mvidr6ojdnmutsbfsa84cbqkd3.school.	3600	in	nsec3	1 1 0 73 09IUAMJS6HS2EAAN2R52BLTA55F5KETT NS DS RRSIG
08tq69mvidr6ojdnmutsbfsa84cbqkd3.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. 6RtUtS59YP7chFcvjJ9yFTBu/HX08ONJnXf24EWKOp6Qi/lFJ+KpSRvcupeFEcJzgP2xVfESL9bQLvAhXHs7K3kI7QwDB5HyQIyLHvhndAewdwfREIwJdNjagc8TjBM6kkZ41faNp7Bj4mnxIlFgpJTwlrDCMEqHv8+uRiD9Sdk=
09iuamjs6hs2eaan2r52blta55f5kett.school.	3600	in	nsec3	1 1 0 73 0A2UCMEUMUTUM5DVHFB533DFL51LHUOD NS DS RRSIG
09iuamjs6hs2eaan2r52blta55f5kett.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. 2dgDOjdDliSfMeBxk0/+K+1qtq7PWrgICfrLaY3Yic9hGxGmwv0KPS71KMDt2SwpguWkgcJMY570BXuuWvocVV3yuerFHVTi1KobCEMGsKLbtmY83CnPkwO13n5sLu6zedDrETPGRcQZKoG/h9L6VvoB1v/N6mReTpwYzNm/X3I=
0a2ucmeumutum5dvhfb533dfl51lhuod.school.	3600	in	nsec3	1 1 0 73 0A5CM3HQBKTSIPANSPAS0NFOS7C4S57E NS DS RRSIG
0a2ucmeumutum5dvhfb533dfl51lhuod.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. a9VW2ixmUnyu5lA8NJw/5YxO2zfubawLUqCu1VyGp9/pB+6QSFCHcEmIHkrFAvqbemKu/aRS509x7NUWZW4qbJQmaffF8IcgoyJy7nXcccmcGjDroWZqrCdRr+lQ95MHaSmtP6ZAoWiDFsPBAx/cQOH7aZ8pLIkKEVwy83G6Hkg=
0a5cm3hqbktsipanspas0nfos7c4s57e.school.	3600	in	nsec3	1 1 0 73 0DHM5AR2LA16M3I43IBPE8MS0IANLFJK NS DS RRSIG
0a5cm3hqbktsipanspas0nfos7c4s57e.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. E8KUt8eUKfTJd3eHhvCPAHyabFkrgfvQfRQkZO4TzrBVqDuLWQ9Mt/6XJl3RqeisDG57aZmbRhuLoZMxpWT8qbSVd5NeZqZGeXAirG8anNNUXYpn+hBuiv+id7bQycOwqIjS3nWF3ZBN4/d6G3oqhaKsiCk4G2HbvCmNV8NkM+s=
0dhm5ar2la16m3i43ibpe8ms0ianlfjk.school.	3600	in	nsec3	1 1 0 73 0EUEDE25RB8TTO7II64TI4AAA02UB6JJ NS DS RRSIG
