gdata.globo.	86400	in	ns	sid.ns.cloudflare.com.
ge.globo.	86400	in	ns	ns01.globo.com.
ge.globo.	86400	in	ns	ns02.globo.com.
ge.globo.	86400	in	ns	ns03.globo.com.
ge.globo.	86400	in	ns	ns04.globo.com.
geracaobrasil.globo.	86400	in	ns	ns01.globo.com.
geracaobrasil.globo.	86400	in	ns	ns02.globo.com.
geracaobrasil.globo.	86400	in	ns	ns03.globo.com.
geracaobrasil.globo.	86400	in	ns	ns04.globo.com.
gesporte.globo.	86400	in	ns	ns01.globo.com.
gesporte.globo.	86400	in	ns	ns02.globo.com.
gesporte.globo.	86400	in	ns	ns03.globo.com.
gesporte.globo.	86400	in	ns	ns04.globo.com.
getdropz.globo.	86400	in	ns	ns01.oghost.com.br.
getdropz.globo.	86400	in	ns	ns02.oghost.com.br.
getdropz.globo.	86400	in	ns	ns03.oghost.com.br.
getdropz.globo.	86400	in	ns	ns04.oghost.com.br.
gexperience.globo.	86400	in	ns	ns01.oghost.com.br.
gexperience.globo.	86400	in	ns	ns02.oghost.com.br.
gexperience.globo.	86400	in	ns	ns03.oghost.com.br.
gexperience.globo.	86400	in	ns	ns04.oghost.com.br.
gf.globo.	86400	in	ns	ns01.oghost.com.br.
gf.globo.	86400	in	ns	ns02.oghost.com.br.
gf.globo.	86400	in	ns	ns03.oghost.com.br.
gf.globo.	86400	in	ns	ns04.oghost.com.br.
ginter.globo.	86400	in	ns	ns01.globo.com.
ginter.globo.	86400	in	ns	ns02.globo.com.
ginter.globo.	86400	in	ns	ns03.globo.com.
ginter.globo.	86400	in	ns	ns04.globo.com.
globo.	172800	in	ns	a.dns.br.
globo.	172800	in	ns	b.dns.br.
globo.	172800	in	ns	c.dns.br.
globo.	172800	in	ns	d.dns.br.
globo.	172800	in	ns	e.dns.br.
globo.	172800	in	ns	f.dns.br.
globo.	172800	in	nsec3param	1 0 0 7552AD84201E8FECB4E4
globo.	172800	in	rrsig	NS 13 1 172800 20250911011001 20250827001001 37608 globo. JZyoKqPML0kei28qdfcUGr4sVnKEPgySzPJYtZC6neKXQueSc2MQty+kWaALec9JlQjziQVbaXvEjkrloe1YdA==
globo.	172800	in	rrsig	NSEC3PARAM 13 1 172800 20250911011001 20250827001001 37608 globo. RJ2T/obijUDQ6jMpvY8Bd1eixg5SS9uVxgM5WSNKl+vPmLlTtAGwsBawaWBEIOF/Wy7Y6GnvXt8d3EL0njliJA==
globo.	172800	in	rrsig	SOA 13 1 172800 20250911011001 20250827001001 37608 globo. KMZbw0CzC4aEfrGjC3wxamQs5vZXKpg9M3WOgXo4YEFs/LHNWndMA4BWHhbt4b0aQwJ5MMybMa30Ds9WU1daag==
globo.	21600	in	dnskey	256 3 13 4yUSrgj92OujFcfdmIMb0LgfzWnloA4hHy61X4lOY+9fiCSjeDRztAX+nkCKJOc0G8GdNuoyBoGvde/fC/mCGQ==
globo.	21600	in	dnskey	257 3 13 aSLe8DKC4FAtlbuJ/oDAoYllx6gtswLz5ne7ARgyj70+ZHYwzr/sM1bAes2FNxR23ZfL6LKNqiMA8TA+LAi2Ow==
globo.	21600	in	rrsig	DNSKEY 13 1 21600 20250914120000 20250824120000 50876 globo. tpysbSnO/nVeXh0Kf0AO9kFxZO4+VQPKujVcnQK++ltt1HWlyYa9GA0KZ4PkxhNjVfVLmh+TKBmOK3MTGIx1og==
globo.globo.	86400	in	ns	ns01.oghost.com.br.
globo.globo.	86400	in	ns	ns02.oghost.com.br.
globo.globo.	86400	in	ns	ns03.oghost.com.br.
globo.globo.	86400	in	ns	ns04.oghost.com.br.
globoads.globo.	86400	in	ns	ns-1197.awsdns-21.org.
globoads.globo.	86400	in	ns	ns-1621.awsdns-10.co.uk.
globoads.globo.	86400	in	ns	ns-180.awsdns-22.com.
globoads.globo.	86400	in	ns	ns-799.awsdns-35.net.
globoadspme.globo.	86400	in	ns	ns01.globo.com.
globoadspme.globo.	86400	in	ns	ns02.globo.com.
