0gggnvg10h50ttu4qnl1nqnrq9v437vg.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. UUJU0HniuGRhUrb4tD5xxdMFDQUOMn6Crmd7RAQECsC7K/TEsOBYEEvARvmjwqvjCneq5RPag+8m9uqURPZm1bQNnhtXJukAn76KVD0VvoeWt0DrA+ubTsbL3Xgbjmr2joS2NLTLURx7kaPRhMnRunSU6XUjLDz202ifTg99JZE=
0h2c0fak435lnv2vtko5bch8ba9rlo0a.house.	3600	in	nsec3	1 1 0 73 0HQA26TPU6BFFEANM8J2H7U49HKATOHH NS DS RRSIG
0h2c0fak435lnv2vtko5bch8ba9rlo0a.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. LAM7Vc1JqUGjmx6E8T6yCByOkZq7WSmWdfXkzyUphF47R8vDImrVmX/yvg/f1RTI0ucotfq+3Vr1MjRRikOFnfXRBRXswzDLOADAM4McqUBkNCOthYBAGdy42jhfQv+q9YVf0u/WBA9GPaLFSMtBcbOoglXqlypC+OQpQZTUdqc=
0hqa26tpu6bffeanm8j2h7u49hkatohh.house.	3600	in	nsec3	1 1 0 73 0IHR3VCKTHMASU7GF228KRTNJUAVMTU6 NS DS RRSIG
0hqa26tpu6bffeanm8j2h7u49hkatohh.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. YegwS3oDLofvFqdeXXt2lkuHayTW+A/3Cr2Rg30rGuIzBj8Tld6g3nYYRnfru5yG+4yopcGrlAEgYGVpB0U0Wcx3M+l538QD7w8kFcan2NSEzq4jV+nzeccQDIX/lB3wnIfdBEp+NTBKWxRGqoAyqGrOuIIFpETb7OoIKShMAns=
0ihr3vckthmasu7gf228krtnjuavmtu6.house.	3600	in	nsec3	1 1 0 73 0J1I7H37C2K9TNDGKEFDVJDAF21NN8RP NS DS RRSIG
0ihr3vckthmasu7gf228krtnjuavmtu6.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. fANSYamNxbj1X4I8yDcQNp7uYt6pq/mB27wAgYZWAPQ69X0eaM8BrMD1PlugPZwdyoTl+bi9+0Tqq6Ez0qxTiCFvStsw86mrGNMWbiascQp/Lp50kwR8UmcpZOdVXyAyznGQUgLlTrMry7uZV4DjDbxRMVIVg2VFChu1D1hDliU=
0j1i7h37c2k9tndgkefdvjdaf21nn8rp.house.	3600	in	nsec3	1 1 0 73 0JRQRS6JIR7O7SA3LUBBOH92C8S3MP26 NS DS RRSIG
0j1i7h37c2k9tndgkefdvjdaf21nn8rp.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. D51v4fkU/l93jKDeZE22WqXZpBJEoUzOKGx82sXEeHDhTUdd2Fu5wEaQ1z28cKHQd2uY/KZIVcT6mcEatlxcD+bpK7oJUnTQ8PzOGkW1v/dMyCzLvn7GBJnAaU3oxEHzhGn7LRjikwl/bsFdw9QcxNcMsj1epaFtqmPiYAodbKM=
0jrqrs6jir7o7sa3lubboh92c8s3mp26.house.	3600	in	nsec3	1 1 0 73 0K1UM71N08867LHQTQPFH2BO926SMGUN NS DS RRSIG
