auth.select.	3600	in	rrsig	DS 8 2 3600 20250913052315 20250830044633 58470 select. zVbHq2qTWA3MNXT1FN/bo2ao1C8tgwMhEO0jWcMacNxWfQ1brJkax/ZGb9LrjBAsgYlhvsIYZsPSnCDHwBYlHw+qHxj79YVGg6kRusbhG2MefZ14R1TaBv88S7s1cY/8LJO9FxgZh/wrnzYtgK+gwII0kgBLtFjw5Hy2zzwlZGLO7He3nO8jf8fjkFXP1T0LwzXjUoJcluERGnuzYV+Hdw==
avatar.select.	3600	in	ns	ns1.101domain.com.
avatar.select.	3600	in	ns	ns2.101domain.com.
avaya.select.	3600	in	ns	ns1.markmonitor.com.
avaya.select.	3600	in	ns	ns2.markmonitor.com.
avaya.select.	3600	in	ns	ns3.markmonitor.com.
avaya.select.	3600	in	ns	ns4.markmonitor.com.
avtr.select.	3600	in	ns	curitiba.ns.porkbun.com.
avtr.select.	3600	in	ns	fortaleza.ns.porkbun.com.
avtr.select.	3600	in	ns	maceio.ns.porkbun.com.
avtr.select.	3600	in	ns	salvador.ns.porkbun.com.
aws.select.	3600	in	ns	nsgbr.comlaude.co.uk.
aws.select.	3600	in	ns	nssui.comlaude.ch.
aws.select.	3600	in	ns	nsusa.comlaude.net.
b.nic.select.	172800	in	a	37.209.194.9
b.nic.select.	3600	in	aaaa	2001:0dcd:0002:0000:0000:0000:0000:0009
b52club.select.	3600	in	ns	joaquin.ns.cloudflare.com.
b52club.select.	3600	in	ns	josephine.ns.cloudflare.com.
baidu.select.	3600	in	ns	ns1.brandshelter.com.
baidu.select.	3600	in	ns	ns2.brandshelter.de.
baidu.select.	3600	in	ns	ns3.brandshelter.info.
baidu.select.	3600	in	ns	ns4.brandshelter.net.
baidu.select.	3600	in	ns	ns5.brandshelter.us.
baltic.select.	3600	in	ns	x.ns.joker.com.
baltic.select.	3600	in	ns	y.ns.joker.com.
baltic.select.	3600	in	ns	z.ns.joker.com.
banca30.select.	3600	in	ns	ricardo.ns.cloudflare.com.
banca30.select.	3600	in	ns	surina.ns.cloudflare.com.
barclays.select.	3600	in	ns	ns1.mirohost.net.
barclays.select.	3600	in	ns	ns2.mirohost.net.
barclays.select.	3600	in	ns	ns3.mirohost.net.
bauer.select.	3600	in	ns	ns1.first-ns.de.
bauer.select.	3600	in	ns	robotns2.second-ns.de.
bauer.select.	3600	in	ns	robotns3.second-ns.com.
be.select.	3600	in	ns	pdns196.ultradns.biz.
be.select.	3600	in	ns	pdns196.ultradns.co.uk.
be.select.	3600	in	ns	pdns196.ultradns.com.
be.select.	3600	in	ns	pdns196.ultradns.info.
be.select.	3600	in	ns	pdns196.ultradns.net.
be.select.	3600	in	ns	pdns196.ultradns.org.
beats.select.	3600	in	ns	a.ns.apple.com.
beats.select.	3600	in	ns	b.ns.apple.com.
beats.select.	3600	in	ns	c.ns.apple.com.
beats.select.	3600	in	ns	d.ns.apple.com.
beone.select.	3600	in	ns	ns1.101domain.com.
beone.select.	3600	in	ns	ns2.101domain.com.
best.select.	3600	in	ns	ns53.domaincontrol.com.
best.select.	3600	in	ns	ns54.domaincontrol.com.
bestdeals.select.	3600	in	ns	launch1.spaceship.net.
bestdeals.select.	3600	in	ns	launch2.spaceship.net.
bestsellers.select.	3600	in	ns	ns59.domaincontrol.com.
bestsellers.select.	3600	in	ns	ns60.domaincontrol.com.
bet88.select.	3600	in	ns	jasmine.ns.cloudflare.com.
bet88.select.	3600	in	ns	yoxall.ns.cloudflare.com.
beyonce.select.	3600	in	ns	dns1.cscdns.net.
beyonce.select.	3600	in	ns	dns2.cscdns.net.
bfgoodrich.select.	3600	in	ns	dns1.cscdns.net.
bfgoodrich.select.	3600	in	ns	dns2.cscdns.net.
bga6as8v3urhjcb4ti66d5790dd81br5.select.	900	in	nsec3	1 1 0 - C8UGUKRMC8C08VR6UKF5UENOJTNNAG1R NS DS RRSIG
bga6as8v3urhjcb4ti66d5790dd81br5.select.	900	in	rrsig	NSEC3 8 2 900 20250915083609 20250901075705 58470 select. U0PYKkM7YSOxIcENsYwRCkmshXPLprJbfcxl7zfKDuV3V74r+VYyKWkcWC63bs7MToyNGZPbJ/ohQx0q4NzTnxMJYS//ry7s9eMQ38X5+OmQ9BGpBtWrxEQjBT499cp0Ne0oTsXkxgTv0zLMvo19wwNX3spvQpmNgT8dom3vDokLsBNC8Z9Nfguqw/6bciY2mxqvmL3HmbLofRdXxdzLpA==
bibendum.select.	3600	in	ns	dns1.cscdns.net.
bibendum.select.	3600	in	ns	dns2.cscdns.net.
biofinity.select.	3600	in	ns	ns1.markmonitor.com.
biofinity.select.	3600	in	ns	ns2.markmonitor.com.
biofinity.select.	3600	in	ns	ns3.markmonitor.com.
biofinity.select.	3600	in	ns	ns4.markmonitor.com.
biofinity.select.	3600	in	ns	ns5.markmonitor.com.
biofinity.select.	3600	in	ns	ns6.markmonitor.com.
biofinity.select.	3600	in	ns	ns7.markmonitor.com.
bismarck.select.	3600	in	ns	ns.udag.de.
bismarck.select.	3600	in	ns	ns.udag.net.
bismarck.select.	3600	in	ns	ns.udag.org.
bj88.select.	3600	in	ns	dell.ns.cloudflare.com.
bj88.select.	3600	in	ns	lakas.ns.cloudflare.com.
blinds.select.	3600	in	ns	ns01.trademarkarea.com.
blinds.select.	3600	in	ns	ns02.trademarkarea.com.
blinds.select.	3600	in	ns	ns03.trademarkarea.com.
blockchain.select.	3600	in	ns	curitiba.ns.porkbun.com.
blockchain.select.	3600	in	ns	fortaleza.ns.porkbun.com.
blockchain.select.	3600	in	ns	maceio.ns.porkbun.com.
blockchain.select.	3600	in	ns	salvador.ns.porkbun.com.
boschrexroth.select.	3600	in	ns	gwa.fe.bosch.de.
boschrexroth.select.	3600	in	ns	gwa2.fe.bosch.de.
boxofficemojo.select.	3600	in	ns	nsgbr.comlaude.co.uk.
boxofficemojo.select.	3600	in	ns	nssui.comlaude.ch.
boxofficemojo.select.	3600	in	ns	nsusa.comlaude.net.
braid.select.	3600	in	ns	dns1.cscdns.net.
braid.select.	3600	in	ns	dns2.cscdns.net.
