directory.	3600	in	soa	v0n0.nic.directory. hostmaster.donuts.email. 1756256407 7200 900 1209600 3600
1and1.directory.	3600	in	ns	ns-ca.ui-dns.com.
1and1.directory.	3600	in	ns	ns-ca.ui-dns.de.
1and1.directory.	3600	in	ns	ns-ca.ui-dns.org.
1and1ionos.directory.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1ionos.directory.	3600	in	ns	ns-1and1.ui-dns.com.
1and1ionos.directory.	3600	in	ns	ns-1and1.ui-dns.de.
1and1ionos.directory.	3600	in	ns	ns-1and1.ui-dns.org.
1attorney.directory.	3600	in	ns	ns1.vuunet.com.
1attorney.directory.	3600	in	ns	ns2.vuunet.com.
1attorney.directory.	3600	in	ns	ns3.vuunet.com.
1attorney.directory.	3600	in	ns	ns4.vuunet.com.
1be5marh8krgps0rtcb6tfhr8ic7tik1.directory.	3600	in	nsec3	1 1 0 73 1CH10I3JRBJVSHHVJAUG05CU1PN94523 NS DS RRSIG
1be5marh8krgps0rtcb6tfhr8ic7tik1.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. TxhiHg3avaG1+AQFLjFoLAo46pLf9lmf/V4OcvbYL6FjkjVmoqxWxAagmOpH1NZtB7PVN/JFong7mYyVknv4Zgudp3W0Uj1ghmVp8UqC1hizs23/LBT7VVEqyP3wOREmBOl3lo9NX12vXk3pHZmfY4YRx8eDuJp4jEwsUjDNKtg=
1blackuk.directory.	3600	in	ns	ns1.directorysecure.com.
1blackuk.directory.	3600	in	ns	ns2.directorysecure.com.
1business.directory.	3600	in	ns	ns1.vuunet.com.
1business.directory.	3600	in	ns	ns2.vuunet.com.
1business.directory.	3600	in	ns	ns3.vuunet.com.
1business.directory.	3600	in	ns	ns4.vuunet.com.
1ch10i3jrbjvshhvjaug05cu1pn94523.directory.	3600	in	nsec3	1 1 0 73 1CRG496VO5N16F99GGCNFOIOKL0SQVN2 NS DS RRSIG
1ch10i3jrbjvshhvjaug05cu1pn94523.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. ynXgKVNXHFxakRi7odD8Quao5yOR59rbZ2bSS3V1eMBZwL/YJFV3NZ6AtVEtbqtsDOFPx+mSBUDgHXu9lwf5SkT+RDrUivNVHQpgMV6U0INpYpJx1MKnAwZNrJobVw6uR3Ko9JeO+QKzXGNIEMqip0F5bXfaqIDaI6z48/P7koQ=
1crg496vo5n16f99ggcnfoiokl0sqvn2.directory.	3600	in	nsec3	1 1 0 73 1EQM4JUH20M7S5T5OAA135SAM0S615T6 NS DS RRSIG
