2rf57p3kuqh3j3af9ed6t1ff0uuksvvj.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. 7a1O0OkZ6Ld2JsDagzsLQiZNOmQAM4RWlUIFGwPLKalRprbnX3nJ2UH2o/KuSwkTZk8nRjLOzwxzZ8d38uy66B+tfBVlCfGcgY0fk916A1F4bVj37L65CroT85hpOaEQ61El8K3I6kjZZsH5r4DEjMqJfjBVOo1DcABdbyrH+Wg=
32win.futbol.	3600	in	ns	cullen.ns.cloudflare.com.
32win.futbol.	3600	in	ns	hazel.ns.cloudflare.com.
33win.futbol.	3600	in	ns	alex.ns.cloudflare.com.
33win.futbol.	3600	in	ns	nia.ns.cloudflare.com.
35451.futbol.	3600	in	ns	ns1.dyna-ns.net.
35451.futbol.	3600	in	ns	ns2.dyna-ns.net.
360.futbol.	3600	in	ns	ns77.domaincontrol.com.
360.futbol.	3600	in	ns	ns78.domaincontrol.com.
360decisionmaking.futbol.	3600	in	ns	docks13.rzone.de.
360decisionmaking.futbol.	3600	in	ns	shades15.rzone.de.
365-huay.futbol.	3600	in	ns	ns1.name.com.
365-huay.futbol.	3600	in	ns	ns2.name.com.
365-huay.futbol.	3600	in	ns	ns3.name.com.
365-huay.futbol.	3600	in	ns	ns4.name.com.
365.futbol.	3600	in	ns	dns1.registrar-servers.com.
365.futbol.	3600	in	ns	dns2.registrar-servers.com.
365huay.futbol.	3600	in	ns	ns1.name.com.
365huay.futbol.	3600	in	ns	ns2.name.com.
365huay.futbol.	3600	in	ns	ns3.name.com.
365huay.futbol.	3600	in	ns	ns4.name.com.
366-huay.futbol.	3600	in	ns	ns1.name.com.
366-huay.futbol.	3600	in	ns	ns2.name.com.
366-huay.futbol.	3600	in	ns	ns3.name.com.
366-huay.futbol.	3600	in	ns	ns4.name.com.
366huay.futbol.	3600	in	ns	ns1.name.com.
366huay.futbol.	3600	in	ns	ns2.name.com.
366huay.futbol.	3600	in	ns	ns3.name.com.
366huay.futbol.	3600	in	ns	ns4.name.com.
3c3.futbol.	3600	in	ns	docks05.rzone.de.
3c3.futbol.	3600	in	ns	shades14.rzone.de.
3dtevjqgbmr9vh588hfiv68k95fju6tl.futbol.	3600	in	nsec3	1 1 0 73 3EE76RUSO7RSDKNTH2HDCJ36G5QV6I38 NS DS RRSIG
3dtevjqgbmr9vh588hfiv68k95fju6tl.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. DBtdmv+0ctFgLsmdDZTgK17K+qAOAqE735a+K0hCWNRMZskmYDLGeYSrKaKzW+atr4OZhZn4lrfC6hvE5W9h2cNfFPJ0fnaYOSturyPY+Lh3lQDQsr5stbrJtAWBMBZdi1EtRcBmKYa//ltCV40JFFcKJ8JARPYirAfR4PSuO1w=
3ee76ruso7rsdknth2hdcj36g5qv6i38.futbol.	3600	in	nsec3	1 1 0 73 3QA6NG35HJPIBAQNK02CNPRKQNP5T338 NS DS RRSIG
