089.tax.	3600	in	ns	ns-de.1and1-dns.biz.
089.tax.	3600	in	ns	ns-de.1and1-dns.com.
089.tax.	3600	in	ns	ns-de.1and1-dns.de.
089.tax.	3600	in	ns	ns-de.1and1-dns.org.
08964.tax.	3600	in	ns	ns1.dnsip.com.
08964.tax.	3600	in	ns	ns2.dnsip.com.
089b7lu3fat2fe1sem5dvvfpm3b16fr8.tax.	3600	in	nsec3	1 1 0 73 08LJL46VPKI5ESUJCR2ONJUJSS60D1O4 NS DS RRSIG
089b7lu3fat2fe1sem5dvvfpm3b16fr8.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. PR1Kyeqr8bR/9ZjTV7HMTqASn6M5gbEtjbGQ/sk8hcdq7lCVbcKauiqgZPvqEORwUS90gEYX7KzT7pxPo9DKOHUpa+DwMtncYBAf5gxMB0fbZ4ggvLY5bMsqBFQOjkSb00YWXtVRvRHrYaeMcgaJl+bClIljsGG3Qfp+leRtGoM=
08ljl46vpki5esujcr2onjujss60d1o4.tax.	3600	in	nsec3	1 1 0 73 08OLU40PPKPV3JUEFNDHERRRMT631IOC NS DS RRSIG
08ljl46vpki5esujcr2onjujss60d1o4.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. Za/OCHsOb1uuioxmsZabQyjlpTF0TuSTsxaQfGZUYDmOT0goBekFYoNMus80I0Z++30ekJdyYaoIfpHhFBYylgyWAEw9Z2o3vGNMFfCBqV3SDvOOAOe9ShagWC9MJf0K1SgAKxfiwQhgldWrCLmXlff93zfNGJD0Gx1U8SpgPBw=
08olu40ppkpv3juefndherrrmt631ioc.tax.	3600	in	nsec3	1 1 0 73 09C3T1PHRKR6SJ7JJT555CA9FNACS66I NS DS RRSIG
08olu40ppkpv3juefndherrrmt631ioc.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. phxokdUui4rbUFk/jlziC94biNqs1p2uibadB9oTNRtF21hd64waeGZE7ZJOl+JHv3EKlDJn77qrhEi9I5qjEIJEUHAL7VLU/hEWTCrYB602rs2bf+qqCrAWP89PhqVTKwzsRAD4QAp3QiG+9CjugGKZTc+51d5dOUpyWvgqRKw=
08u.tax.	3600	in	ns	ns3.myhostadmin.net.
08u.tax.	3600	in	ns	ns4.myhostadmin.net.
09239.tax.	3600	in	ns	n1.xundns.com.
09239.tax.	3600	in	ns	n2.xundns.com.
09261.tax.	3600	in	ns	n1.xundns.com.
09261.tax.	3600	in	ns	n2.xundns.com.
09458.tax.	3600	in	ns	n1.xundns.com.
09458.tax.	3600	in	ns	n2.xundns.com.
09480.tax.	3600	in	ns	n1.xundns.com.
09480.tax.	3600	in	ns	n2.xundns.com.
09507.tax.	3600	in	ns	n1.xundns.com.
09507.tax.	3600	in	ns	n2.xundns.com.
09546.tax.	3600	in	ns	ns1.dnsip.com.
09546.tax.	3600	in	ns	ns2.dnsip.com.
09565.tax.	3600	in	ns	n1.xundns.com.
09565.tax.	3600	in	ns	n2.xundns.com.
09575.tax.	3600	in	ns	n1.xundns.com.
09575.tax.	3600	in	ns	n2.xundns.com.
09600.tax.	3600	in	ns	ns1.dnsip.com.
09600.tax.	3600	in	ns	ns2.dnsip.com.
09733.tax.	3600	in	ns	ns1.dyna-ns.net.
09733.tax.	3600	in	ns	ns2.dyna-ns.net.
09781.tax.	3600	in	ns	n1.xundns.com.
09781.tax.	3600	in	ns	n2.xundns.com.
09944.tax.	3600	in	ns	ns1.dnsip.com.
09944.tax.	3600	in	ns	ns2.dnsip.com.
09c3t1phrkr6sj7jjt555ca9fnacs66i.tax.	3600	in	nsec3	1 1 0 73 0B5VQA240UQIOME6SFU47TJN192GAFNO NS DS RRSIG
09c3t1phrkr6sj7jjt555ca9fnacs66i.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. jwjfWF1S08PeRjE71hdRL+U/mHK1DMy0AhQ9XmBeP1R37wdW5uF9egvkRteHW0C0utKDWZFVBt4ro9CMuQIrrQqibzcVFMyagTuG1zJX+FPc43IGHxvjq0nxbjttAcOgfGb+ypUkaVvIY92FMJ433//eDAEMwXcNyIseavU2RBY=
09u.tax.	3600	in	ns	brit.ns.cloudflare.com.
09u.tax.	3600	in	ns	logan.ns.cloudflare.com.
0a7.tax.	3600	in	ns	brit.ns.cloudflare.com.
0a7.tax.	3600	in	ns	logan.ns.cloudflare.com.
0a8.tax.	3600	in	ns	brit.ns.cloudflare.com.
0a8.tax.	3600	in	ns	logan.ns.cloudflare.com.
0b5vqa240uqiome6sfu47tjn192gafno.tax.	3600	in	nsec3	1 1 0 73 0B75KFM0HM6VKSJ72CBDPR0GP16UT421 NS DS RRSIG
0b5vqa240uqiome6sfu47tjn192gafno.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. HAf+uVnMsU9y+49ptSkXndfGvPbpIAEEyXv5dNGKo5CuqgIQQTs7rP57TlBrGnj0wUWpJYcjt60EapljrQbg0NmkFAIo1suBzxQ5mPPuvlF7Q4IpyOHgh7l/9gcQeWSzMgY4ebvHPM9Y/r3mQZnnKWoLkMpGpfUGxhzkcuL2y6s=
0b75kfm0hm6vksj72cbdpr0gp16ut421.tax.	3600	in	nsec3	1 1 0 73 0BPPCRPKBNG140IDU9RMBG248B706U2I NS DS RRSIG
0b75kfm0hm6vksj72cbdpr0gp16ut421.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. M15nZQDKT1qxwgvNLgeeGuXRTW0673dGe8GWwxsdXFcC3ASsiwaDF1nLcsP+iIuTkRP8iDXsGkJ0T4pUVibHzIsy3yhHE05jqwm59VD6Xa+nx4cEkrAb+rtoqLtH9JbpM1wvJFE/KMV25azNoZtw5Tl0cGogZNezmee7HuBpZw0=
0bppcrpkbng140idu9rmbg248b706u2i.tax.	3600	in	nsec3	1 1 0 73 0FJ9E8CMKRSLTDEMSVQN5NLLA2B2JSGO NS DS RRSIG
0bppcrpkbng140idu9rmbg248b706u2i.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. Uj0zzrUmEuJaQklI/eNAbx1cBOkoYE4UuWcKnhCEQOlZQwPJM3XSvhiiqcLlHhGNypa1aD9ZbTEljswV7t7l5ff9No9NH78CwKo8WS0Mybv0SDo/Cv2+lR1eCImSMvoChtASLn2eygwsQqxJy3Pav64t1iALHfwJmmbdmRAQBjo=
0dark30.tax.	3600	in	ns	ns27.domaincontrol.com.
0dark30.tax.	3600	in	ns	ns28.domaincontrol.com.
0fj9e8cmkrsltdemsvqn5nlla2b2jsgo.tax.	3600	in	nsec3	1 1 0 73 0FMSLJCP1B8UAGCBFLP7KU2D0SS28LBK NS DS RRSIG
0fj9e8cmkrsltdemsvqn5nlla2b2jsgo.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. h7OxHATC20n8J+pG2QFZfTaMJxq3nB6eEkbKIT48ZCI/LEBEwj2oYNxcTseJPIhs6j7rPV9wgHM3/QST2C8HSCZcj2DJY1Kff8/prD1sDh+vxYay6H8Ld8CyDTNwS/8RRQdN135bXFWIPhfMwbmA/eTXRtr2IipUMPIs4QzjhLA=
0fmsljcp1b8uagcbflp7ku2d0ss28lbk.tax.	3600	in	nsec3	1 1 0 73 0KFB0NOBQO8E2VRI6IL89K1CNHP4B60L NS DS RRSIG
0fmsljcp1b8uagcbflp7ku2d0ss28lbk.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. WwoSc1kCmIpUZb1t/vwgkFOblclCOTLg89n0tKz/Wy92i7e4WNttCdDywYSDirR3fqow1njin8qVtN/InEXvKaIJKDbsC251ZiOVAaipfhwUPbrEsAvPeZcunRZgr0faLxyGgQmJ0vJZIDcH8H5MtESrfdL1PwUdfku6DsdOrLw=
