0d9cejc3tba6j7a3vgdbpl78lhfqotiv.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. T8TV0GGHXLHnssA3AkbP9ULdl6wCQE8IMGopFnoYJnTszoH7Q8+N8c8FRs13tZWw95f9sC+BkxxOmUcmL7D6lq+TEMGc7mV5waIJTnd78Zc3/3/MjDtNkgq51+n6ZfY5EEFKxsczzle9jkCtBt/bnwYThox62s4qviG8bu8UJ4c=
0db61sccguhvi0464s6d0biv6shth6du.software.	3600	in	nsec3	1 1 0 73 0EOD0B198F1NAOQC2TKFQ1H244RD9MV9 NS DS RRSIG
0db61sccguhvi0464s6d0biv6shth6du.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. R0mvdzGlM3g3x8yBPSj/qCljEWiAvD5EpUba2S6yWJYJh52haPFdCv1Us2lISIXAHM0pBZ+FsbrrQNy7sr1apWoNz9SCPpQG3nkDN33dTrWPaT83I7V2qYDYqzMwFTUg9TFJkUzONGML4dKmfhL47ZXat3K99SDM3w8+rGbh9Jc=
0eod0b198f1naoqc2tkfq1h244rd9mv9.software.	3600	in	nsec3	1 1 0 73 0ER6B5SBQ1IKQ9B67FR1UU2Q5FUM6PI7 NS DS RRSIG
0eod0b198f1naoqc2tkfq1h244rd9mv9.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. KgKpWnxN+HPtoGbcX2NK1t6THPVOdBCPd7cuGf7nTWD2tnNK97Mz/wSHkjmIwI6RtZsrnET9na2RvARunB+aKzhRMp7krYZ8KWNHIjTcLG/sRLdDOwNxfyWwf7EKBh7mFcKCN3q6t6Ckgdk7re+KXbAldh5D47ohGtwDHgMlC2Y=
0er6b5sbq1ikq9b67fr1uu2q5fum6pi7.software.	3600	in	nsec3	1 1 0 73 0FJTDVK9UD0CLAJKSJ4QNKB7M9S6HPGO NS DS RRSIG
0er6b5sbq1ikq9b67fr1uu2q5fum6pi7.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. H2a2PETa8cmfgYALSVCVZ2yUx2a98YS8KWrzkdyigTbNbONP95p4zdO4q3pE1nlZtDdyC9/IxercwI/9TsTbrxH28f2qKyC2lmWgWJOFjbuaPmK4RGUVi3Cb1n+OefOUhLt2Pjd3SH8fshJGtHPv7NGuFXEv/loM03VSp1Fhjgc=
0fjtdvk9ud0clajksj4qnkb7m9s6hpgo.software.	3600	in	nsec3	1 1 0 73 0FLPMDT7SD8AD9E1T0GTJDQDK86TC767 NS DS RRSIG
0fjtdvk9ud0clajksj4qnkb7m9s6hpgo.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. axPXwMLfb/E2k62BnxlqY3groDDo9S+9xVL0P2YJpv4UzbnfgpQSqEk366m/kYLBUqtPTlBsgOUhGMoG5WBX6CQPw0mM8g2qT5Z/f3x5cJFXNsLl5XZXJqLkulIYV7WIGAdjiQyHDd7HLI4U3e5sssRvNM+75CgzM7OqUEfv+rM=
0flpmdt7sd8ad9e1t0gtjdqdk86tc767.software.	3600	in	nsec3	1 1 0 73 0G37608EARR2QHGOOSN6FN15L4BC9HRA NS DS RRSIG
0flpmdt7sd8ad9e1t0gtjdqdk86tc767.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. Qo2uWJ2CQDyJdPxt01md2pD0wJxKqL3y196K8A6E1Wbrh8dTEtqTzeR2x6evgM98n53m0yNfWKtSwQ5L23+YlgN0iRYmz6X+JAoHG7ZQiqNYbG0EPAZRvW+Zt2H8ubRiNr+IN8iLiXiF8YsydBU32ShmNt/6Ph/rbtrJdW0g8GA=
0g.software.	3600	in	ds	8785 8 2 ADA3F57052DC975BCEC2980CF9C72D4B7621CF4E360C4208B2C9046342E91959
0g.software.	3600	in	ns	ns-cloud-a1.googledomains.com.
0g.software.	3600	in	ns	ns-cloud-a2.googledomains.com.
0g.software.	3600	in	ns	ns-cloud-a3.googledomains.com.
0g.software.	3600	in	ns	ns-cloud-a4.googledomains.com.
