direct.	3600	in	soa	v0n0.nic.direct. hostmaster.donuts.email. 1757638863 7200 900 1209600 3600
11plus.direct.	3600	in	ds	28217 8 2 A7F489BECDB123C607399570BA51176C09B9E42E43BD56647BA768BB3AD2BFF1
11plus.direct.	3600	in	ns	ns-cloud-e1.googledomains.com.
11plus.direct.	3600	in	ns	ns-cloud-e2.googledomains.com.
11plus.direct.	3600	in	ns	ns-cloud-e3.googledomains.com.
11plus.direct.	3600	in	ns	ns-cloud-e4.googledomains.com.
11plus.direct.	3600	in	rrsig	DS 8 2 3600 20250930153016 20250909143016 27873 direct. XOxwcksRObDmWco4Kst8xtdM4EbrdlK2+qK2f0t6xKvIWTc0PWsKpDvDxlZU3TjSyp55ChvVKg8zoEQOV2+VcrZViODkySeat0c/r6U8zo+we645In1Mt2NOQrxRKbD3smc+q+R549yxKZ+49EgchnVrMtmvKain9touWKTE+/A=
120ru316nkhb7d0eua9jp4k272p3o7re.direct.	3600	in	nsec3	1 1 0 73 12M584H0HFS2RRHAKLQALTG2P7QEQMHD NS DS RRSIG
120ru316nkhb7d0eua9jp4k272p3o7re.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. Opn3sZKwiZxXDoMA6jNBxnkd6ycgdV9wJKS8f6LIaLEWagu/CopNPJbcuD0CA4ZA1EvuXpjkNbEWi5VCfKcssJsWdBonEtffy+0VKTIxUz8dNIUt2rAumEeOYRa+lLkGJNQIuRao4bCpLW7XjC0CQGXTLuIQE+pXwV51vUitvPk=
121.direct.	3600	in	ns	howard.ns.cloudflare.com.
121.direct.	3600	in	ns	nora.ns.cloudflare.com.
1225direct.direct.	3600	in	ns	ns1.ipower.com.
1225direct.direct.	3600	in	ns	ns2.ipower.com.
123.direct.	3600	in	ns	ns3.afternic.com.
123.direct.	3600	in	ns	ns4.afternic.com.
123b.direct.	3600	in	ns	monroe.ns.cloudflare.com.
123b.direct.	3600	in	ns	weston.ns.cloudflare.com.
123bet.direct.	3600	in	ns	ns09.domaincontrol.com.
123bet.direct.	3600	in	ns	ns10.domaincontrol.com.
123theorie.direct.	3600	in	ds	63940 13 2 D485F36EF334B0D624A76830159B2C6001B34C54BA005FB0385A1B00D1AB35F6
123theorie.direct.	3600	in	ns	ns1.mijn.host.
123theorie.direct.	3600	in	ns	ns2.mijn.host.
123theorie.direct.	3600	in	ns	ns3.mijn.host.
123theorie.direct.	3600	in	rrsig	DS 8 2 3600 20250930153016 20250909143016 27873 direct. KaGCmRQQbjRKphqlYNFpYk7rlZQyiO5ffCNnc1BqDwYOL7mVoOphOlc++DTgqU69wSL13obGulkyK1dnE1SSTQxtWtN70RlF+PnlaRJ1KOJOcH1DYZjvPI5r3kpndQfliSs0nl16j5IS78vEcSLnj/2H4q0h2ilzrtBOVfmAVfo=
123win.direct.	3600	in	ns	macy.ns.cloudflare.com.
123win.direct.	3600	in	ns	memphis.ns.cloudflare.com.
127.direct.	3600	in	ns	ns-1351.awsdns-40.org.
127.direct.	3600	in	ns	ns-1884.awsdns-43.co.uk.
127.direct.	3600	in	ns	ns-457.awsdns-57.com.
127.direct.	3600	in	ns	ns-629.awsdns-14.net.
12bet.direct.	3600	in	ns	drake.ns.cloudflare.com.
12bet.direct.	3600	in	ns	vera.ns.cloudflare.com.
12m584h0hfs2rrhaklqaltg2p7qeqmhd.direct.	3600	in	nsec3	1 1 0 73 13B0D0HNFQMMDS2D9G965NAP897PV5PN NS DS RRSIG
12m584h0hfs2rrhaklqaltg2p7qeqmhd.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. gi1Y3kzEe3IVOVhWW9ER1m5zIKc1NHHm190YBD/8NSgcppO3yiUGqyg1kPZqE9VY63tZ9YZ0rDUZDMOhU6rqsNsDrkVb6lZ1eALXS3b2uPgGdrI6shQ29autaQH3yckr/yfp2RSvqTqirIF6pAMxzEcZWa2I7a8SKJuVsrY2Nsk=
12v.direct.	3600	in	ns	ns47.domaincontrol.com.
12v.direct.	3600	in	ns	ns48.domaincontrol.com.
1337.direct.	3600	in	ds	953 13 2 457899AC9F6639D10B6D2A49CE0FE76CC6019AB38DAEDE5F8617BC1B41F5C0E7
1337.direct.	3600	in	ns	ns0.transip.net.
1337.direct.	3600	in	ns	ns1.transip.nl.
1337.direct.	3600	in	ns	ns2.transip.eu.
1337.direct.	3600	in	rrsig	DS 8 2 3600 20250930153016 20250909143016 27873 direct. J9f9/05A7C64FwplW2MB0WVYl3Pxe3l1Sy4/AIiolN/tuoaWSfBWZ0lyxFTnTYu/GrxU8LGPvbkkFsTN27t2NmUk0eduNVrmlF3xURM1dmMKZDTU3YX/JaY7cslNfOFG6WGYHQlHZ0mgXk46UuNMUXCaZyVtywgQakFGFypBzrA=
13b0d0hnfqmmds2d9g965nap897pv5pn.direct.	3600	in	nsec3	1 1 0 73 14BIC183VHDVC4E6SGQSBV8T4FV614LG NS DS RRSIG
13b0d0hnfqmmds2d9g965nap897pv5pn.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. lflAK3WMPBLs1SwZchqwEA7yzrfmYxOGAmzatNXwHGL1P1rN/49dy75ScL7vkkKhO2N4Qmck58afw73YlV9Va//g/1UaXiEQe3tY+3FzJaTBXa97nLtP7IoWjxrCHxPcC38xsdssE6i9SyVkRyjw/J+VprPkWqgro6YNiKs3exs=
14bic183vhdvc4e6sgqsbv8t4fv614lg.direct.	3600	in	nsec3	1 1 0 73 16DDVFQN6JM27CPU5OC45EIBVV9IA0VC NS DS RRSIG
14bic183vhdvc4e6sgqsbv8t4fv614lg.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. PShP6EPoOsEyDp+S9LI8F3sU55E3owV6SEZ2k8RLezusMyi4JG1DbaviMMkqS5N9wTOiAgRu0xwdPNuNDXtfk/e/St/zobseY/jhhhgEV7x4qUUUWTDb1/NU9zp+Que1NYkcA8TtIOzV2z1Ucx4pXZK05dS1f2qEScwzMOofTss=
16ddvfqn6jm27cpu5oc45eibvv9ia0vc.direct.	3600	in	nsec3	1 1 0 73 16HDNFTRPA70VTU6JFA8GRI1PBEEJFJF NS DS RRSIG
16ddvfqn6jm27cpu5oc45eibvv9ia0vc.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. WJccT6ktzIYYktEP2im3YzstutkfR27ZH0+arYusK+Fza5Voivxf+fA7JHQ2GNIW8YDwQw2GdMm5qaGtZz25zFB46P651ax6PTRH94NTii6kErA0fLb5DkAZjHs2aeMItITni2rOdgMAuWWSqHgoSCMUfU7+x2x5kBX5YbY/KFU=
16hdnftrpa70vtu6jfa8gri1pbeejfjf.direct.	3600	in	nsec3	1 1 0 73 1CT3OAUUE2FV0CQ6AJE59RFARR13CI0T NS DS RRSIG
16hdnftrpa70vtu6jfa8gri1pbeejfjf.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. hBpLLZN813UwS9C2aVHE2PwbL/Z3ohLrvx+teHAyAhqiojZwU1SPSySaZGjrepMUiGEiHU1t8ICN3bF9xKiJXSyT11jqERUEdIrnhn69w2XcF9C9G7icfi1slQ8LFqi1k73onlLIO1vYJAuCj18tvqMKm+gu1rrIAvI+DMT9YIk=
1705betnano.direct.	3600	in	ns	cheryl.ns.cloudflare.com.
1705betnano.direct.	3600	in	ns	logan.ns.cloudflare.com.
1770finance.direct.	3600	in	ns	ns17.domaincontrol.com.
1770finance.direct.	3600	in	ns	ns18.domaincontrol.com.
18.direct.	3600	in	ns	arvind.ns.cloudflare.com.
18.direct.	3600	in	ns	ryleigh.ns.cloudflare.com.
1888.direct.	3600	in	ns	ns1.dyna-ns.net.
1888.direct.	3600	in	ns	ns2.dyna-ns.net.
188bet.direct.	3600	in	ns	pdns95.ultradns.biz.
188bet.direct.	3600	in	ns	pdns95.ultradns.com.
188bet.direct.	3600	in	ns	pdns95.ultradns.net.
188bet.direct.	3600	in	ns	pdns95.ultradns.org.
1and1-ionos.direct.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.direct.	3600	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.direct.	3600	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.direct.	3600	in	ns	ns-1and1.ui-dns.org.
1and1.direct.	3600	in	ns	ns-ca.ui-dns.biz.
1and1.direct.	3600	in	ns	ns-ca.ui-dns.com.
1and1.direct.	3600	in	ns	ns-ca.ui-dns.de.
1and1.direct.	3600	in	ns	ns-ca.ui-dns.org.
1and1ionos.direct.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1ionos.direct.	3600	in	ns	ns-1and1.ui-dns.com.
1and1ionos.direct.	3600	in	ns	ns-1and1.ui-dns.de.
1and1ionos.direct.	3600	in	ns	ns-1and1.ui-dns.org.
1betnano.direct.	3600	in	ns	dns1.registrar-servers.com.
1betnano.direct.	3600	in	ns	dns2.registrar-servers.com.
1click.direct.	3600	in	ns	ns.gabia.co.kr.
1click.direct.	3600	in	ns	ns.gabia.net.
1click.direct.	3600	in	ns	ns1.gabia.co.kr.
1ct3oauue2fv0cq6aje59rfarr13ci0t.direct.	3600	in	nsec3	1 1 0 73 1DLU8K2VC9QNVD5C1NSASGVPSQGFKGHV NS DS RRSIG
1ct3oauue2fv0cq6aje59rfarr13ci0t.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. i3B4nJTjLrcs/MqMnle6STcO9O6X7kTtUk1hhxDw3Mi+0ie3PDhjnUdGQJdeR/v8TdGmyKMGmg+VOKf1TkmJJe6MSTQx0FlWhihEWkmUR3s7r7FyHWnvjFSmJmcHzAKXTnIupyCSSZhiiki8ja/gKzRfvSKPCh/D6oT744HVyFA=
1dlu8k2vc9qnvd5c1nsasgvpsqgfkghv.direct.	3600	in	nsec3	1 1 0 73 1IOI57N00TKPF8O19U22VRBTKLQ2UULP NS DS RRSIG
1dlu8k2vc9qnvd5c1nsasgvpsqgfkghv.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. iC+0rGQ9VJKYM5muLBMemERtrERASGxoNvbg/erptdXEhONp0SP6wxSAFVtZPhsLnTnTbK+ALxshL786xHwZf1AVWbxg4J4pEmqf3hMLYxuA20CYSOt2HuAJ2+T1hjctVDuStv/CQm7qevNcADnNZ83xY4UCR66xnu0/x5zgRaI=
1ioi57n00tkpf8o19u22vrbtklq2uulp.direct.	3600	in	nsec3	1 1 0 73 1K6F3UDNM617KVDMBP8AQASNAE982838 NS DS RRSIG
1ioi57n00tkpf8o19u22vrbtklq2uulp.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. LuY/lX+Dxx4DmVEja6vT0WW5hx40+nteRQ+aSVzC4057WCotWs0Ft3+GGxE+7s2xu2XRyxP8K11ZoXsEnfftQaozrGqR0UjiMBpi6XOSJSuWCk3dZuCfNmRmiWuXoUDGRQoHwyTxvinFwSfCe3fSDJwHABiTLi172aJ6eGKn58U=
1k6f3udnm617kvdmbp8aqasnae982838.direct.	3600	in	nsec3	1 1 0 73 1KO41BPNJL61TFEMPGC8K7775JLAMVLQ NS DS RRSIG
1k6f3udnm617kvdmbp8aqasnae982838.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. ULdabtqoXNicOCZxu5uVnktQ7jIsNtkv5UsSlaGqqQQBAo7dlGLO8/B6pSUfvchIja4qbEs2X2xSzinsnZZi8zbEjS7bQvxdcbLftzI4SzapGm9IejDwHi8D8KhLxN45QdYMrFNo68bsftqOOqtf07KDX+7Ql5p+VN7oH0YQo10=
1ko41bpnjl61tfempgc8k7775jlamvlq.direct.	3600	in	nsec3	1 1 0 73 1MRHNIH2063O33OS9A99C3L79E5ABU25 NS DS RRSIG
