gmbh.	3600	in	soa	v0n0.nic.gmbh. hostmaster.donuts.email. 1759367345 7200 900 1209600 3600
0qvi82imi6g4v8g0brkeq6n0nt3l4bkf.gmbh.	3600	in	nsec3	1 1 0 73 0QVVVQ2TT8408CGA0VK5V54TGEK1FTEH NS DS RRSIG
0qvi82imi6g4v8g0brkeq6n0nt3l4bkf.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. 3OVgM8yni1Tvcnorq30yrDGw0fWG955cmLu+P15pNrtkicXDVy3/A9l31pxq9rHGBOOwgT+GE0aPkTPjeuxv3RVjUdiyGv0F8cz4B/H+lYhfqroaNrXnjm7Y1atM27LByi0uPrKD3wsBwyd/WclTrVJ0tlFqEwg6g+yYOAYXpOU=
0qvvvq2tt8408cga0vk5v54tgek1fteh.gmbh.	3600	in	nsec3	1 1 0 73 0RPSBT21TE99B6PHFLAM8MBA72SVUBAD NS DS RRSIG
0qvvvq2tt8408cga0vk5v54tgek1fteh.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. mK2qAkiclKJ9j56MBjrRlUkgrEm7eMLYn/SHCYf47mpDiauXdidkzHf47R/VWS+Tt76R3H4uojMqOz1vdDUvHGHD67h17mc80qCdbdHzlTUpjoPnzR1+Weop92fmOdnYRQqJZTEJdjemHo8Da//UolDsxsxi6w2SFbA7uWmVWPM=
0rpsbt21te99b6phflam8mba72svubad.gmbh.	3600	in	nsec3	1 1 0 73 0RVCBO8V277KDP5VKQHK8G4J6ADUAPSP NS DS RRSIG
0rpsbt21te99b6phflam8mba72svubad.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. UZbI5wQ1NHuSRwob++HFg+tkEzbf1B5AjaD1LO1TF28n9O8uFidLxlv4wZ40iIoSlP/m/UfvtW6xsn7ZR8YJ2haYkW/KgfqFQcQWbJIBBmTWVrVzdVSD2aaMZkw7+1PwL1oUpOxd2yYnaFdfJFuenHDzGVEBUri/ERz91s4YDiU=
0rvcbo8v277kdp5vkqhk8g4j6aduapsp.gmbh.	3600	in	nsec3	1 1 0 73 0S707DVJ1G2TNH7BETQEBPVU4EOTFQ6O NS DS RRSIG
0rvcbo8v277kdp5vkqhk8g4j6aduapsp.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. AiA3v/tD4248fEF+hrIaRw+XbtdDHhY4uMZbeCjS2Jo9LdPaGRkV84qU/BgH2Gtb2aARVWTRh9NUk0M7y9qLHRNVPWxIEnzZ+ctsQ9w+a+maNYTeiCETcb+OMIswBA1WrNUSCgYN5fIUKyd4V6iiy/oSigS98f+enVpZznefwuE=
0s707dvj1g2tnh7betqebpvu4eotfq6o.gmbh.	3600	in	nsec3	1 1 0 73 11IRH0V35OKPOUFMS555GRK6CVQO3QB9 NS DS RRSIG
0s707dvj1g2tnh7betqebpvu4eotfq6o.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. U5oIGX/xP15/ZkI0bgUZ4Y57sGGOqN3P/ZyR2vIeUytt7WigwrHfQKEB21frqq6Tp7CMUyETJQOpbzqRoWuCHpEmh46y6knLr1tafjYTclWwU4DVmBugdIDcN8CUsQN9O22KBLGct+sxQMw9T8KgBSVvv6+LYEOgxMAEhxGVy7I=
0trust.gmbh.	3600	in	ns	docks17.rzone.de.
0trust.gmbh.	3600	in	ns	shades06.rzone.de.
1.gmbh.	3600	in	ns	ns150.aeserver.com.
