1033.exchange.	3600	in	ns	dns1.registrar-servers.com.
1033.exchange.	3600	in	ns	dns2.registrar-servers.com.
1035.exchange.	3600	in	ns	dns1.registrar-servers.com.
1035.exchange.	3600	in	ns	dns2.registrar-servers.com.
108.exchange.	3600	in	ns	ns31.domaincontrol.com.
108.exchange.	3600	in	ns	ns32.domaincontrol.com.
10b2m9o9jj6ohr3lei478irs4u8ki3nk.exchange.	3600	in	nsec3	1 1 0 73 11ED8SFGNH3ESJ4VRK17L2VV1EM7RGVS NS DS RRSIG
10b2m9o9jj6ohr3lei478irs4u8ki3nk.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. qlJAY8/mmfP/YDjDBp0RObirCMxvdVtgT8TWHO9JrONmXlUby8/qtY4/5Q84ix4ZsiUPovrImFkzwRT/KFQWcb8IVD1rHWZHk+VJUshkH0tZWQ7AEmrVR/QuLcAACcX2LUVUJ8CGuh40+J3wvIsO3+dZiVeqEcZMVM4CQH6rq2I=
10d.exchange.	3600	in	ns	dns1.registrar-servers.com.
10d.exchange.	3600	in	ns	dns2.registrar-servers.com.
