bpftraining.barclays.	3600	in	ns	ns7.barcap.com.
bq7vit3dot6602o8mp6qkk2p3p70g24h.barclays.	3600	in	nsec3	1 1 0 73 D89A42U2SU2VNK9K321K0SK055GGSIBA NS DS RRSIG
bq7vit3dot6602o8mp6qkk2p3p70g24h.barclays.	3600	in	rrsig	NSEC3 8 2 3600 20250916152927 20250826142927 35448 barclays. WfUFYOQzxTwsNrbTgf/Q2adx+O3/jHbXqYOUMznw4z64o/GSBTeFUKnrm3mCxCT64fs0QOJpUz/23ezIGgPGVrx1BPVkTJxjkeCvsW1NOJEi90LA5xZ47ARRx7TKQBsKIR6sbMsqsKKelr4YOVKsUlZnsWGqqEQT9ao9W73h+ys=
brand.barclays.	3600	in	ds	53725 13 2 856A82CD7FEDAF8E4DB7C8A1034CE73EC6113B6403A8788779418DE14C8D1ECE
brand.barclays.	3600	in	ns	a1-71.akam.net.
brand.barclays.	3600	in	ns	a10-66.akam.net.
brand.barclays.	3600	in	ns	a11-67.akam.net.
brand.barclays.	3600	in	ns	a12-64.akam.net.
brand.barclays.	3600	in	ns	a18-65.akam.net.
brand.barclays.	3600	in	ns	a9-66.akam.net.
brand.barclays.	3600	in	rrsig	DS 8 2 3600 20250916152927 20250826142927 35448 barclays. o8KRue9YTYsBgSwy9YXbxzVvHcecNfrVf0xtItB4pB5F6YSzrvM90MUbMXWJK0PnOdadhc908ULSo7E8Na+M6FAonfJQUk80NQet4MvLnBnSdl+BEUBoXFumd4aIYLc8pfvcesD7SNjCJyga/WiwQisuGRzaApkaZ92r5sIAnp8=
bssscan-dr.barclays.	3600	in	ns	a1-71.akam.net.
bssscan-dr.barclays.	3600	in	ns	a10-66.akam.net.
bssscan-dr.barclays.	3600	in	ns	a11-67.akam.net.
bssscan-dr.barclays.	3600	in	ns	a12-64.akam.net.
bssscan-dr.barclays.	3600	in	ns	a18-65.akam.net.
bssscan-dr.barclays.	3600	in	ns	a9-66.akam.net.
bssscan-dr.barclays.	3600	in	ns	ns2.barcap.com.
bssscan-dr.barclays.	3600	in	ns	ns3.barcap.com.
bssscan-dr.barclays.	3600	in	ns	ns7.barcap.com.
bssscan-prod.barclays.	3600	in	ns	a1-71.akam.net.
bssscan-prod.barclays.	3600	in	ns	a10-66.akam.net.
bssscan-prod.barclays.	3600	in	ns	a11-67.akam.net.
bssscan-prod.barclays.	3600	in	ns	a12-64.akam.net.
bssscan-prod.barclays.	3600	in	ns	a18-65.akam.net.
bssscan-prod.barclays.	3600	in	ns	a9-66.akam.net.
bssscan-prod.barclays.	3600	in	ns	ns2.barcap.com.
bssscan-prod.barclays.	3600	in	ns	ns3.barcap.com.
bssscan-prod.barclays.	3600	in	ns	ns7.barcap.com.
bssscan.barclays.	3600	in	ns	dns1.cscdns.net.
bssscan.barclays.	3600	in	ns	dns2.cscdns.net.
btci.barclays.	3600	in	ns	dns1.cscdns.net.
btci.barclays.	3600	in	ns	dns2.cscdns.net.
bw.barclays.	3600	in	ds	35230 8 2 7D8A6BB598566AEFD1732AA40354EE22862C4597ABEC6EA6BCA64C50407316B7
bw.barclays.	3600	in	ds	59011 8 1 022173678FB06D015281FE00BC0BDB55E9CB7D3F
bw.barclays.	3600	in	ds	59011 8 2 0A1E89B42FE4441C13D8DCDF225A1CD75C6E2A4C6AF75DBE2AACF31A7C9A549C
bw.barclays.	3600	in	ns	a1-71.akam.net.
bw.barclays.	3600	in	ns	a10-66.akam.net.
bw.barclays.	3600	in	ns	a11-67.akam.net.
bw.barclays.	3600	in	ns	a12-64.akam.net.
bw.barclays.	3600	in	ns	a18-65.akam.net.
bw.barclays.	3600	in	ns	a9-66.akam.net.
bw.barclays.	3600	in	ns	ns2.barcap.com.
bw.barclays.	3600	in	ns	ns3.barcap.com.
bw.barclays.	3600	in	ns	ns7.barcap.com.
bw.barclays.	3600	in	rrsig	DS 8 2 3600 20250916152927 20250826142927 35448 barclays. dwSyVx1muYG+CdErJ44SsYC3xWPXpBHnwAvxsAk5TS4N9ex4W3Ju0/IMDCuAL7M03EazhFLb1CfOmfpJcukCew0DgsZSFeE0DTM0lsD2dB3az4izmM9MnJWKVDlSHfCewQXiMsCKSo3wsrqiwXZjuzaK8pN1tLJuqR0Z44GXNCc=
c0.nic.barclays.	3600	in	a	65.22.122.1
c0.nic.barclays.	3600	in	aaaa	2a01:8840:0078:0000:0000:0000:0000:0001
careers.barclays.	3600	in	ds	46369 8 2 ADB47AF775D963C81FA0B628C999A5A44A7FE8F70977CE39D2DC00C8E4BC7611
careers.barclays.	3600	in	ds	55717 8 1 AC3C89524D749D1D20EF78D329DBD5CB37DE69C6
careers.barclays.	3600	in	ds	55717 8 2 0A6334CA7B5DFE61292B781D9D008916223E567288E20EEA10DA92045B0B4CB5
careers.barclays.	3600	in	ns	a1-71.akam.net.
careers.barclays.	3600	in	ns	a10-66.akam.net.
careers.barclays.	3600	in	ns	a11-67.akam.net.
careers.barclays.	3600	in	ns	a12-64.akam.net.
careers.barclays.	3600	in	ns	a18-65.akam.net.
careers.barclays.	3600	in	ns	a9-66.akam.net.
careers.barclays.	3600	in	ns	ns2.barcap.com.
careers.barclays.	3600	in	ns	ns3.barcap.com.
careers.barclays.	3600	in	ns	ns7.barcap.com.
careers.barclays.	3600	in	rrsig	DS 8 2 3600 20250916152927 20250826142927 35448 barclays. L+lK4dYpgagY3RQ7JWODn9lE07fB3M6xPP4mwYHdPvgrhu3/Ccxto3/RGTLF7h8KpCJBbBfK1Y0+exeszceHEff3Nckqe+docwighzbFCIBRrIJZ58ShKFESfRzM+KFNCeO8+lNjdikRpL1lqvaPTSvQfFvcp4N9jvvaQTRLQRI=
ch.barclays.	3600	in	ns	dns1.cscdns.net.
ch.barclays.	3600	in	ns	dns2.cscdns.net.
changetobetter.barclays.	3600	in	ds	56707 8 2 8D9E42FC6082EC7950821E21A58A5297AD718CBAF03EA40DBB62F2471B40BCFF
changetobetter.barclays.	3600	in	ds	64081 8 2 3EA898DA50DDAEA567796B4FA7095FE3CCB7F851A03FBE6D93C96FABD4445A5B
changetobetter.barclays.	3600	in	ns	dns1.cscdns.net.
changetobetter.barclays.	3600	in	ns	dns2.cscdns.net.
