09vub4r8qkv2t7ad5mkbljgaadt883fi.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. F1/dXDDSC8MkFNroK/ZkFUn5mfpFnmZAY6kblj/laRlLNcN5HB1SFpiqaC2SE9ukkL+hMTea7LrPfgolaqMDE2ERQ0wK23m9PADCwrp2ppNjj+qQOUc/DVZiUL+NEJPZngvixFxvlnMsjSLVsRURSbakQxR5nEM4fPAwnVWiWpM=
0a1jm1uhqip5a76063a6g1kr2ab459d2.capital.	3600	in	nsec3	1 1 0 73 0A4IT2CIV5UMBFL2I3FHJETGEAT9CNTF NS DS RRSIG
0a1jm1uhqip5a76063a6g1kr2ab459d2.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. Y5RXtVo9u3XkoV2Dfru4BsejnxduQoy11TnGWC/bcK2o8++yMAgLPlcR87ylZjTsxpD/RsVH1du9tgroQEQxSg8jt0FVXC0vzXtp4mzfjckgsBwEw6sz7DRHvAEwoyVcvguxA6rcr6AJj4f5QXD0G03eAEq8lO5rRzNORZRbT9w=
0a4it2civ5umbfl2i3fhjetgeat9cntf.capital.	3600	in	nsec3	1 1 0 73 0ADBK2E80L4M23IKJ6PAKDJ58G33BL21 NS DS RRSIG
0a4it2civ5umbfl2i3fhjetgeat9cntf.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. iiHbIbl1ygf1QefPUSzvwIOH433/yVKlkgJiZeswGEPHHA8EkFbzuDhabbOaBN4PwSJS8Kaftu9weSaxWACcC/8lgi5N8Xt2t5pXjxg9WZJcKYJWSH/u0E/rKFom01ZmHx6JOXE2HE76Ab9rlC+90BpKLYsHKMjR9CYbLRFKgg4=
0adbk2e80l4m23ikj6pakdj58g33bl21.capital.	3600	in	nsec3	1 1 0 73 0B1805P43CPDFRO3OKMK0A6TKB26TBOF NS DS RRSIG
0adbk2e80l4m23ikj6pakdj58g33bl21.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. G+XND5QpmamO+JfWctZntFXWxQHkr74QfDzXtu4opQGn5qUh9FlT222uG2KZ4fqGgU0U3rZPiXyNlyjaV4pMQExCc49ghYjRKb25COTvJFL0YfZNemfKPugNXe4UnyqD/lyZSUUlf9r5cWOLhUYxc41cCj8aaRBXC+vybq+dc1M=
0aktree.capital.	3600	in	ns	ns1.monikerdns.net.
0aktree.capital.	3600	in	ns	ns2.monikerdns.net.
0aktree.capital.	3600	in	ns	ns3.monikerdns.net.
0aktree.capital.	3600	in	ns	ns4.monikerdns.net.
0b1805p43cpdfro3okmk0a6tkb26tbof.capital.	3600	in	nsec3	1 1 0 73 0B8JR5NR05MF1QTOCPKRLPIO13P9B18I NS DS RRSIG
0b1805p43cpdfro3okmk0a6tkb26tbof.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. lYJKfUcnJ9ql07PEcvxtamawCYTkNmtfy7mRCkudz6I3kjkUv/r/TVAFgUmqMaPE/CR9nBA8trW5jt38x4W7eHQq3uwU9ntsyb5HF6E3GTXGnP9fFCl4yoWhYZwD4v2Dw0pezTjWiyfOoVDAZU2D+9q3CGVyDYnIpvJ6zayHOLg=
0b8jr5nr05mf1qtocpkrlpio13p9b18i.capital.	3600	in	nsec3	1 1 0 73 0B963MJOOIQE2A9PBKEPM5PSL421SV8K NS DS RRSIG
0b8jr5nr05mf1qtocpkrlpio13p9b18i.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. H/PhT/esl4iseYzFJPp3O2l+iTg7dzfWoPrMgQjrVzgqNb/QbEqD7B18r/XT8B4Q2qy2vyLqFXZCHPzek57URG7S5NHGGYOPtNsFDnij5Q2Dc2P/4+rEnU0cokKpwFuwOa9fZ05Aw5j4divp7e+XOgC6EvDQ5ZvHRxlayXGgmG4=
