8m6k6rl87ntd9lcikajeo6q36s0litct.med.	3600	in	nsec3	1 1 0 - AE2QC9NVIE28N8T2UB4OKAUVNP5EEA3S A RRSIG
8m6k6rl87ntd9lcikajeo6q36s0litct.med.	3600	in	rrsig	NSEC3 8 2 3600 20251101065651 20250927061939 11923 med. B24a9xf0mjC1N8d13uItNLlRixvDI7snCzCaUos2Fx0tgmkXl2mcx/ATT0f+1g/DN0HAj0FX93eKjglMGNc2uPVD1f+qBnZ9JoKUEV1ue9aKAkAxGqzbcGu/Yh0ivTPnVETbwp7B9F6lY9qOcBY4h2E7eqqSksQmj4Nv+ozWs4VMoEG+cX5wusnU9yOIsz4Tu+s8uHilwNd3nHrRFkXtGC9xmJuoPvlt2K4wcYa3JHNeTsa5rUaVKAeYvB7mRVxdJBNkL5cvWtJ8DjUeNqVxd1q7uT569voahS8T5Y7fqAUS/vRthrKnqp54CcR4F8Gf3x/fgSy4zQ6dLL8X+mU7bA==
a-u.med.	172800	in	ns	ns1.wortundbildverlag.org.
a-u.med.	172800	in	ns	ns2.wortundbildverlag.org.
a.med.	172800	in	ns	ns1.nameshare.com.
a.med.	172800	in	ns	ns2.nameshare.com.
aarppharmacy.med.	172800	in	ns	ns05.gcd-dns.com.
aarppharmacy.med.	172800	in	ns	ns06.gcd-dns.com.
ab.med.	172800	in	ns	ns1.variomedia.de.
ab.med.	172800	in	ns	ns2.variomedia.de.
aberl.med.	172800	in	ns	ns.udag.de.
aberl.med.	172800	in	ns	ns.udag.net.
aberl.med.	172800	in	ns	ns.udag.org.
access.med.	172800	in	ns	ns1.101domain.com.
access.med.	172800	in	ns	ns2.101domain.com.
achhh.med.	172800	in	ns	ns1.lexsynergy.net.
achhh.med.	172800	in	ns	ns2.lexsynergy.us.
achhh.med.	172800	in	ns	ns3.lexsynergy.info.
addisoncountytherapies.med.	172800	in	ns	ns1.lexsynergy.net.
addisoncountytherapies.med.	172800	in	ns	ns2.lexsynergy.us.
addisoncountytherapies.med.	172800	in	ns	ns3.lexsynergy.info.
advanced.med.	172800	in	ns	launch1.spaceship.net.
advanced.med.	172800	in	ns	launch2.spaceship.net.
ae2qc9nvie28n8t2ub4okauvnp5eea3s.med.	3600	in	nsec3	1 1 0 - BV4TL7H3MBR4MU8371SG4519Q122PH4R NS DS RRSIG
ae2qc9nvie28n8t2ub4okauvnp5eea3s.med.	3600	in	rrsig	NSEC3 8 2 3600 20251103101137 20250929100820 11923 med. Kva4CBHxzlSsYrwnwvNfyP1oS3X2hlSGbhre+tLjQdGne74kZaMzsStyGd+q+dklhXP203jxSG9COHQ8HjRXhm6rTsJduF1uW7bjnJ2hsn5r9WiYp7/v6m4r9Kaplg8YCFm6/bc5vzp4J0Q9HOWfBTT5XemVTwxr6j2/rON4o18Yb+kJTm1mhuKNT5Wc23+mWsxGz/RKrwd+s42rNks4jQM2OtZgk8CvmLaBeHEsfatOay4wMooXPcXHV+0jtWM3cSTrVDxcepkAI0dITRTz/aBOwLOkctQdFQ3+d1iHnJqDPHElXmb2trlqeZh9Q+LWGzDAeDJuQS85YEwolvs61g==
aehada.med.	172800	in	ns	darwin.ns.cloudflare.com.
aehada.med.	172800	in	ns	rosalie.ns.cloudflare.com.
aehia.med.	172800	in	ns	darwin.ns.cloudflare.com.
aehia.med.	172800	in	ns	rosalie.ns.cloudflare.com.
aehis.med.	172800	in	ns	darwin.ns.cloudflare.com.
aehis.med.	172800	in	ns	rosalie.ns.cloudflare.com.
aero.med.	172800	in	ns	ns1.101domain.com.
aero.med.	172800	in	ns	ns2.101domain.com.
aesthetik.med.	172800	in	ns	ns1.securehost.de.
aesthetik.med.	172800	in	ns	ns2.securehost.de.
aetna.med.	172800	in	ns	ns1.markmonitor.com.
aetna.med.	172800	in	ns	ns2.markmonitor.com.
aetna.med.	172800	in	ns	ns3.markmonitor.com.
aetna.med.	172800	in	ns	ns4.markmonitor.com.
aetna.med.	172800	in	ns	ns5.markmonitor.com.
aetna.med.	172800	in	ns	ns6.markmonitor.com.
aetna.med.	172800	in	ns	ns7.markmonitor.com.
agenda.med.	172800	in	ns	ns-143-b.gandi.net.
agenda.med.	172800	in	ns	ns-152-c.gandi.net.
agenda.med.	172800	in	ns	ns-77-a.gandi.net.
agent.med.	172800	in	ns	launch1.spaceship.net.
agent.med.	172800	in	ns	launch2.spaceship.net.
agentic.med.	172800	in	ns	ns1.101domain.com.
agentic.med.	172800	in	ns	ns2.101domain.com.
agents.med.	172800	in	ns	dns2015a.trouble-free.net.
agents.med.	172800	in	ns	dns2015b.trouble-free.net.
agile.med.	172800	in	ns	ns-1263.awsdns-29.org.
agile.med.	172800	in	ns	ns-1604.awsdns-08.co.uk.
agile.med.	172800	in	ns	ns-225.awsdns-28.com.
agile.med.	172800	in	ns	ns-671.awsdns-19.net.
agilemd.med.	172800	in	ns	ns-1385.awsdns-45.org.
agilemd.med.	172800	in	ns	ns-1860.awsdns-40.co.uk.
agilemd.med.	172800	in	ns	ns-241.awsdns-30.com.
agilemd.med.	172800	in	ns	ns-787.awsdns-34.net.
agilus.med.	172800	in	ns	dns1.cscdns.net.
agilus.med.	172800	in	ns	dns2.cscdns.net.
ah.med.	172800	in	ns	ns1.vercel-dns.com.
ah.med.	172800	in	ns	ns2.vercel-dns.com.
aha.med.	172800	in	ns	ns1.nameshare.com.
aha.med.	172800	in	ns	ns2.nameshare.com.
ahmed.med.	172800	in	ns	elle.ns.cloudflare.com.
ahmed.med.	172800	in	ns	lex.ns.cloudflare.com.
ahs.med.	172800	in	ns	ns1.101domain.com.
ahs.med.	172800	in	ns	ns2.101domain.com.
ai.med.	172800	in	ns	ns1.nameshare.com.
ai.med.	172800	in	ns	ns2.nameshare.com.
aibilling.med.	172800	in	ns	ns1.101domain.com.
aibilling.med.	172800	in	ns	ns2.101domain.com.
aida.med.	172800	in	ns	doug.ns.cloudflare.com.
aida.med.	172800	in	ns	lola.ns.cloudflare.com.
aida.med.	3600	in	ds	2371 13 2 B862EA72B4F7FD957F30A70FBFE327C3D5689D7AA2911BA88E9F28283E136707
