046en3p2gpo0rcpa8fqbn2frautqfmlp.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. WDnIigMSElAi2WySDN3kLFvV8GjjvP9O4PPW6m1ae9jczMzfolOIzxMBbII2Z7dqGO5Up3Pa/fcpMsSgOZz7qA==
046n4m5ko67b4ugtvv4r023dib85glkb.bar.	300	in	nsec3	1 1 0 - 04LFQ0TQJ0K1SC6563A119L350IK85II NS DS RRSIG
046n4m5ko67b4ugtvv4r023dib85glkb.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. GP4bxyPni8iJnTf+wfNjrMaFiNLLydM4aa0D/6P97ehq7OnvlYsRV8rZFKe3R/Qb9+NFBi/9LeGLXzfxPy3s6g==
04911.bar.	900	in	ns	n1.xundns.com.
04911.bar.	900	in	ns	n2.xundns.com.
049tk.bar.	900	in	ns	ns1.dns.com.
049tk.bar.	900	in	ns	ns2.dns.com.
04lfq0tqj0k1sc6563a119l350ik85ii.bar.	300	in	nsec3	1 1 0 - 052OPGKF6VI6VJ3MNTV05D5FVA1P40LI NS DS RRSIG
04lfq0tqj0k1sc6563a119l350ik85ii.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. +x2VHOkCEeWGjxTFdDvSlpmtKCsEIEC2PIkwDed7SJ0LKd1OF/cHQSpyznSr2iL+JCyhQF5enFr0v3nNyuqstg==
05039.bar.	900	in	ns	ns7.alidns.com.
05039.bar.	900	in	ns	ns8.alidns.com.
0506.bar.	900	in	ns	ns-1181.awsdns-19.org.
0506.bar.	900	in	ns	ns-1877.awsdns-42.co.uk.
0506.bar.	900	in	ns	ns-668.awsdns-19.net.
0506.bar.	900	in	ns	ns-73.awsdns-09.com.
05172.bar.	900	in	ns	ns1.dnsip.com.
05172.bar.	900	in	ns	ns2.dnsip.com.
052opgkf6vi6vj3mntv05d5fva1p40li.bar.	300	in	nsec3	1 1 0 - 06RATI05E0U3H36GPAQAV1IEG8QMGE2R NS DS RRSIG
052opgkf6vi6vj3mntv05d5fva1p40li.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. zLX/rIe81Q+8DvYg23qnRPyrNtTcP/PQXSwIP1UdWeB5w4VsYXp9WSjiJtYvH4AaFsnQ4abV1Gk1nkrLu9/Zpw==
05389.bar.	900	in	ns	ns1.dnsip.com.
05389.bar.	900	in	ns	ns2.dnsip.com.
05426.bar.	900	in	ns	ns1.dnsip.com.
05426.bar.	900	in	ns	ns2.dnsip.com.
05431.bar.	900	in	ns	ns1.dnsip.com.
05431.bar.	900	in	ns	ns2.dnsip.com.
05514.bar.	900	in	ns	ns1.dnsip.com.
05514.bar.	900	in	ns	ns2.dnsip.com.
05707.bar.	900	in	ns	ns1.dnsip.com.
05707.bar.	900	in	ns	ns2.dnsip.com.
05711.bar.	900	in	ns	ns1.dnsip.com.
05711.bar.	900	in	ns	ns2.dnsip.com.
05795.bar.	900	in	ns	ns1.dnsip.com.
05795.bar.	900	in	ns	ns2.dnsip.com.
058020.bar.	900	in	ns	ns1.dnsip.com.
058020.bar.	900	in	ns	ns2.dnsip.com.
05829.bar.	900	in	ns	n1.xundns.com.
05829.bar.	900	in	ns	n2.xundns.com.
05885.bar.	900	in	ns	n1.xundns.com.
05885.bar.	900	in	ns	n2.xundns.com.
05923.bar.	900	in	ns	ns1.dyna-ns.net.
05923.bar.	900	in	ns	ns2.dyna-ns.net.
05953.bar.	900	in	ns	ns1.dnsip.com.
05953.bar.	900	in	ns	ns2.dnsip.com.
05965.bar.	900	in	ns	ns1.dnsip.com.
05965.bar.	900	in	ns	ns2.dnsip.com.
06308.bar.	900	in	ns	n1.xundns.com.
06308.bar.	900	in	ns	n2.xundns.com.
06561.bar.	900	in	ns	ns1.dnsip.com.
06561.bar.	900	in	ns	ns2.dnsip.com.
06793.bar.	900	in	ns	ns1.dnsip.com.
06793.bar.	900	in	ns	ns2.dnsip.com.
06957.bar.	900	in	ns	ns1.dnsip.com.
06957.bar.	900	in	ns	ns2.dnsip.com.
06q1yozuuwzmewf.bar.	900	in	ns	ns1.pananames.com.
06q1yozuuwzmewf.bar.	900	in	ns	ns2.pananames.com.
06q1yozuuwzmewf.bar.	900	in	ns	ns3.pananames.com.
06q1yozuuwzmewf.bar.	900	in	ns	ns4.pananames.com.
06rati05e0u3h36gpaqav1ieg8qmge2r.bar.	300	in	nsec3	1 1 0 - 07RUP6R8KJN40Q7E6QJ2JVATBV4G7AF8 NS DS RRSIG
06rati05e0u3h36gpaqav1ieg8qmge2r.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. 18nxqDJgSqzNSSaEBkFqZsSjCAqcFISI3tstteFl21YyUH0jcgdaT4k6r/8Iy+HEirpFn4UoqQ9Oxt/haeJbKg==
07038.bar.	900	in	ns	ns1.dnsip.com.
07038.bar.	900	in	ns	ns2.dnsip.com.
07064.bar.	900	in	ns	ns1.dnsip.com.
07064.bar.	900	in	ns	ns2.dnsip.com.
07182.bar.	900	in	ns	ns1.dnsip.com.
07182.bar.	900	in	ns	ns2.dnsip.com.
07358.bar.	900	in	ns	ns1.dnsip.com.
07358.bar.	900	in	ns	ns2.dnsip.com.
07609.bar.	900	in	ns	ns1.dnsip.com.
07609.bar.	900	in	ns	ns2.dnsip.com.
07659.bar.	900	in	ns	ns1.dnsip.com.
07659.bar.	900	in	ns	ns2.dnsip.com.
07691.bar.	900	in	ns	ns1.dnsip.com.
07691.bar.	900	in	ns	ns2.dnsip.com.
07822.bar.	900	in	ns	n1.xundns.com.
07822.bar.	900	in	ns	n2.xundns.com.
07909.bar.	900	in	ns	ns1.dnsip.com.
07909.bar.	900	in	ns	ns2.dnsip.com.
07933.bar.	900	in	ns	n1.xundns.com.
07933.bar.	900	in	ns	n2.xundns.com.
07orville-vr.bar.	900	in	ns	mina.ns.cloudflare.com.
07orville-vr.bar.	900	in	ns	titan.ns.cloudflare.com.
07rup6r8kjn40q7e6qj2jvatbv4g7af8.bar.	300	in	nsec3	1 1 0 - 08P4S79BQ9EKTQP6CJ95QCUI2H1ELM8N NS DS RRSIG
07rup6r8kjn40q7e6qj2jvatbv4g7af8.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. Z5VgTV+xo1MAXJvr8cZ+1LhpBTrdNAJATnvpSNXfHKdCYxmwoxH5djo6HUX+vg7jsUSR3Z9/2i/4i5mv4jbdSQ==
08055.bar.	900	in	ns	ns1.dnsip.com.
08055.bar.	900	in	ns	ns2.dnsip.com.
08078.bar.	900	in	ns	ns7.alidns.com.
08078.bar.	900	in	ns	ns8.alidns.com.
08080.bar.	900	in	ns	vip7.alidns.com.
08080.bar.	900	in	ns	vip8.alidns.com.
08095.bar.	900	in	ns	ns1.dnsip.com.
08095.bar.	900	in	ns	ns2.dnsip.com.
08216.bar.	900	in	ns	n1.xundns.com.
08216.bar.	900	in	ns	n2.xundns.com.
08221.bar.	900	in	ns	ns1.dnsip.com.
08221.bar.	900	in	ns	ns2.dnsip.com.
08345.bar.	900	in	ns	a.share-dns.com.
08345.bar.	900	in	ns	b.share-dns.net.
08483.bar.	900	in	ns	ns1.dnsip.com.
08483.bar.	900	in	ns	ns2.dnsip.com.
08524.bar.	900	in	ns	ns1.dnsip.com.
08524.bar.	900	in	ns	ns2.dnsip.com.
08682.bar.	900	in	ns	ns1.dnsip.com.
08682.bar.	900	in	ns	ns2.dnsip.com.
088.bar.	900	in	ns	ns49.domaincontrol.com.
088.bar.	900	in	ns	ns50.domaincontrol.com.
08813.bar.	900	in	ns	ns1.dnsip.com.
08813.bar.	900	in	ns	ns2.dnsip.com.
08837.bar.	900	in	ns	ns1.dnsip.com.
08837.bar.	900	in	ns	ns2.dnsip.com.
08843.bar.	900	in	ns	ns1.dnsip.com.
08843.bar.	900	in	ns	ns2.dnsip.com.
089.bar.	900	in	ns	ns1045.ui-dns.biz.
089.bar.	900	in	ns	ns1045.ui-dns.com.
089.bar.	900	in	ns	ns1045.ui-dns.de.
089.bar.	900	in	ns	ns1045.ui-dns.org.
08p4s79bq9ektqp6cj95qcui2h1elm8n.bar.	300	in	nsec3	1 1 0 - 09FQ8DUF1QNFSG0SMP8J76STBJ4K6IMT NS DS RRSIG
08p4s79bq9ektqp6cj95qcui2h1elm8n.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. 99dlwi9dnTA+KkA+HBKCgPGiWZBVbCuP3nBL5jBjZnZqNwU+9nBPDH6BmcQm4CDNHH0g06lmPkTWRixvnn8y3A==
09024.bar.	900	in	ns	ns1.dnsip.com.
09024.bar.	900	in	ns	ns2.dnsip.com.
09040.bar.	900	in	ns	ns1.dnsip.com.
09040.bar.	900	in	ns	ns2.dnsip.com.
09180.bar.	900	in	ns	ns1.dnsip.com.
09180.bar.	900	in	ns	ns2.dnsip.com.
09286.bar.	900	in	ns	ns1.dnsip.com.
09286.bar.	900	in	ns	ns2.dnsip.com.
09294.bar.	900	in	ns	ns1.dnsip.com.
09294.bar.	900	in	ns	ns2.dnsip.com.
09330.bar.	900	in	ns	ns1.dnsip.com.
09330.bar.	900	in	ns	ns2.dnsip.com.
09345.bar.	900	in	ns	ns1.dnsip.com.
09345.bar.	900	in	ns	ns2.dnsip.com.
0941.bar.	900	in	ns	a.ns14.net.
0941.bar.	900	in	ns	b.ns14.net.
0941.bar.	900	in	ns	c.ns14.net.
0941.bar.	900	in	ns	d.ns14.net.
095.bar.	900	in	ns	alberto.ns.cloudflare.com.
095.bar.	900	in	ns	cecelia.ns.cloudflare.com.
09520.bar.	900	in	ns	ns1.dnsip.com.
09520.bar.	900	in	ns	ns2.dnsip.com.
09583.bar.	900	in	ns	n1.xundns.com.
09583.bar.	900	in	ns	n2.xundns.com.
09585.bar.	900	in	ns	ns1.dnsip.com.
09585.bar.	900	in	ns	ns2.dnsip.com.
0987.bar.	900	in	ns	a7.share-dns.com.
0987.bar.	900	in	ns	b7.share-dns.net.
09fq8duf1qnfsg0smp8j76stbj4k6imt.bar.	300	in	nsec3	1 1 0 - 0A9Q8KU3I4RMN0E2GD1LG6LHBLN1F5GC NS DS RRSIG
09fq8duf1qnfsg0smp8j76stbj4k6imt.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. 2jYYHiaS4Qnd4ag/8eft5iqB3iZJxT5k4J7HatBvIIuGNxuP45DkQUsIjW+Ic34mnb+f+d+zdMxJLXQvLt01ng==
0a9q8ku3i4rmn0e2gd1lg6lhbln1f5gc.bar.	300	in	nsec3	1 1 0 - 0AOPHI5UPREDD23FQ80OT0IJ8I2GEN1M NS DS RRSIG
0a9q8ku3i4rmn0e2gd1lg6lhbln1f5gc.bar.	300	in	rrsig	NSEC3 13 2 300 20251011000049 20250911000049 17487 bar. y+w9s5+x7TAjjIIA8qQ/ZU6KlNzGB+ZYXLjsPitgY3GDfrU5FVMUDWWROHOFZ0bUweFuHCB/9PHC+Fnz6txxfg==
0afuzkf.bar.	900	in	ns	dns51.cloudns.net.
0afuzkf.bar.	900	in	ns	dns52.cloudns.net.
0afuzkf.bar.	900	in	ns	dns53.cloudns.net.
0afuzkf.bar.	900	in	ns	dns54.cloudns.net.
0aivgmkj6ik8eis.bar.	900	in	ns	ns1.pananames.com.
