05halm4ifh5fsqd7f03to0mbs2dndt91.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. DHwSXXLPMW/qHlQ3uosp3jXCsmRae6Q3f3hWCIM3KpcNEQGXMMjCRzyYtRwho2UBlJPQ5ETm2Gx1RxnepUm8gPsZ0KeGMCwBUq7HC72K9xfiLQCOAr3HY8kK5v1nwBVP5EVJdmPp2EZyFqNxcjw8rz0Uk/s/MMbkBjNyaFcluAw=
05kd.team.	3600	in	ns	ns1.reg.ru.
05kd.team.	3600	in	ns	ns2.reg.ru.
05tm9u7gkhc83dvl2up88r86frkva771.team.	3600	in	nsec3	1 1 0 73 06F97TQH69Q6C3KGHHC5MMBO9GAOV6MQ NS DS RRSIG
05tm9u7gkhc83dvl2up88r86frkva771.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. Vj+hnkcK/1j3y2Ze4yOlukBfBj4JaWTqASYgRYPMgOajaHJARLnhD23juTWvWeMrMA9OdzDDYPo7m2ikxBfedPI82uGxe0z+N4agMaqJxNM/5hqsFdbVh85pI6J6JoPvDWxUjSl9gfmpN+erhTsy0I1qHo4jFwZIKs+k0s41Z+g=
06f97tqh69q6c3kghhc5mmbo9gaov6mq.team.	3600	in	nsec3	1 1 0 73 06TO5QU0EQB4OAADKR43M4K3JDFFGOOL NS DS RRSIG
06f97tqh69q6c3kghhc5mmbo9gaov6mq.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. Ou2rTO5JBSDuezS3JLfFlEBtZ8AlxNlW4evdZb7iuoj3mUaMLrj66yjA3PUKS++yT310xldd6NFwRC4jLlfo2XQt+nH72Wznkp1evx2cV4BvSwtVuOM880rk9ueRmXSxeu/GL9dvgi4eKvbQxmbj5/VgPs1lq16hYuo7s7lqfQk=
06to5qu0eqb4oaadkr43m4k3jdffgool.team.	3600	in	nsec3	1 1 0 73 06VN4360LD853M60C929IBQD15T0RINH NS DS RRSIG
06to5qu0eqb4oaadkr43m4k3jdffgool.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. Tr2caMey8f8JDl3WUTMYcNrvuXLvsKV75Xo5UWisdL0MK/2gf7TiYYl9VzoVx7pLSEO+IKxWMD/vskDzz3AdYLfIuqFaCV2RIbOtk7aQ96hiAhs6PRXz7da/EZWKB6SCktZk3/WVl+pp7bvwosVqUW6uNqi7Ba6soh8Pclu4p5w=
06vn4360ld853m60c929ibqd15t0rinh.team.	3600	in	nsec3	1 1 0 73 070DOQC44O9B3UO1HUQNJ9H9479CTLR5 NS DS RRSIG
06vn4360ld853m60c929ibqd15t0rinh.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. c72TATdSFp4cGUHOO1CdqgKtn/+12DJgGjpAI6Gg1ET9FLFzZga3DdwfBKFmmbLpndT2TT/UEhvM+ZNOGnfuLxkO6DZzINatXDEivk3BpBeMSHmAJwDFr2Y2t5Oeg7m3Ielt/6eOo8JVzVdxPydRDKr4impO/GkNEQ9WzisxXKU=
070doqc44o9b3uo1huqnj9h9479ctlr5.team.	3600	in	nsec3	1 1 0 73 078PAIMASHQTN9QE4IUN1A0B8D0C3U6V NS DS RRSIG
070doqc44o9b3uo1huqnj9h9479ctlr5.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. O90zHAIGb8Sx4NW6MwfoZ1qxZEyPo33asBRhuksAoIIP4EFIh8w0VqE+bbIy0jr87TgnLys3cyJs4jLflSuW6bsA7yvKqev6et3b+9fpd05u/XJqmSCMwTDam6anpdIQ22G0DPZ8ci5AS4xwFt8i/gyuUmNjFLSxsPteaQpQxCI=
0711.team.	3600	in	ns	ns3-l2.nic.ru.
0711.team.	3600	in	ns	ns4-cloud.nic.ru.
0711.team.	3600	in	ns	ns4-l2.nic.ru.
0711.team.	3600	in	ns	ns8-cloud.nic.ru.
0711.team.	3600	in	ns	ns8-l2.nic.ru.
0755.team.	3600	in	ns	dns19.hichina.com.
0755.team.	3600	in	ns	dns20.hichina.com.
077526.team.	3600	in	ns	n1.xundns.com.
077526.team.	3600	in	ns	n2.xundns.com.
