xn--fiq64b.	3600	in	soa	a.zdnscloud.com. td_dns_gtld.knet.cn. 1341164390 600 3600 1209600 3600
2uncbhtqdbaca7amle942v7t966tdvih.xn--fiq64b.	3600	in	nsec3	1 0 0 - 327JL22HNN8U4ROHDVF5F0M69U9FQ1EE NS
2uncbhtqdbaca7amle942v7t966tdvih.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. GlqcsEJde/K1GDhHhwxzbGs6bCSuuEVDAOBKo959sA5tvHCY18jH+nE9IV9NUpmtDps2sxXsjLmabY4RBy9jbMeXieEa7nPgV57hVVI3MrDofBm22vZG+7Df6ACGAczP3a2Ve5mobJu21AKurqISxNiInq5CM19Zb5MHwXEGo18=
327jl22hnn8u4rohdvf5f0m69u9fq1ee.xn--fiq64b.	3600	in	nsec3	1 0 0 - 37JGUCLM9T2IPMIJ4751RDNRUBF56IJA NS
327jl22hnn8u4rohdvf5f0m69u9fq1ee.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. Y0oPt7+cmecmahZUL1RrQeW2X8sBXrcWl+4OR5vpWywrzSnlCSlZQRKaJeyIxeldpgoHBHngjKyfnXwSgZQT33IPt1peJGyJgBMV+7x5yjo9EA+2alw0U4mBZDhvQHMJHZQt6aBHC5x7AIVsQrnw/DzrZ/mxOZX7ZSUkSspOz2g=
37jguclm9t2ipmij4751rdnrubf56ija.xn--fiq64b.	3600	in	nsec3	1 0 0 - 3GS8BPVG304SJBULKIK809R3NL8UD8DB NS
37jguclm9t2ipmij4751rdnrubf56ija.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. rmoOGwHuKST7fPTbvaVxH/UcREpFUcl11/KMv6+v/lfZFIJsiYQwzNP0FYsTgo0UmlNJxnoI5ywMfZy8Gk/UC3sYguSMYV5rRsMxGJJDrqUctfdZERHzOXudCfm/LrrOw/gXvipclgWMCdm+XFnk1A8gYs6EgezmzVgO62yrfbk=
3gs8bpvg304sjbulkik809r3nl8ud8db.xn--fiq64b.	3600	in	nsec3	1 0 0 - 3RNCKC565DTRM2J14K7HFH9CE16QNT8B NS
3gs8bpvg304sjbulkik809r3nl8ud8db.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. vGE4THGCWGG2NNhPWPYyPuyfHGLSSRWBs+5RWPO+VKunKFflTNjiUwlOKGsIgLhXBGI9k2jHnjsbCroz5P6CiaeGtVcipH39sPQkvJLIZ6uEnApqeBKmKahB9Qh/szXP/UwzFzuoN1U41jue3M3WvTyD1o6jkmR4H4nSbOkDJ/w=
3rnckc565dtrm2j14k7hfh9ce16qnt8b.xn--fiq64b.	3600	in	nsec3	1 0 0 - 4QRCL6RBVCQM6FQAR4TCR12JRJS6JHUM NS
3rnckc565dtrm2j14k7hfh9ce16qnt8b.xn--fiq64b.	3600	in	rrsig	NSEC3 8 2 3600 20260205213611 20260122200611 15624 xn--fiq64b. ihVyX+Ewg2yozIQTMGyYcAdN3K6wHiUO9iPu3oaHwcw8H8oAUvTVETqIRCxJ4mVEU4WO6oHDTOTBgdw+lSTMvjETux1uL3zStrlzKUMeUE1oZrS37+vULFO9+VmoSBi0pQRYWiUsHTo0nRVAzXOU9M0h7+kdmQuBuiPSt1S/ihI=
