01d516g249tsfgohsvmter48v7g4ilke.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. da/Y6M7J60PjAvVtgkaiZsTSZNFdfgCAYQzHUOOgPE4qBVpHayzy5pYK3hCI5nvXCtgwSUqCPjD9j9yzifVP41PKh1DB3OjNHZzaVAqBPSLsZc0FlM7WuuD5rL8UBXOVCb82DVEMbdhuDqoXyqDPUeDd++xR8VxmfDfP11Mhf/M=
01h0madb3iuo9495sekd17aahem68nij.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01HN7GH0C83HUA75ENGGTICLUOCAQBDB NS
01h0madb3iuo9495sekd17aahem68nij.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. RvIsct4uFyrIQS+LEqWG3W4hdwYfzCz65xiyjjEsshQjxB6UgxMQq7K2zbiRpTV1g6Lh6L/A70HHGhGpaSXyHaQs5P0w0B+gPZ1Th1R2oqI8Lrw8ovImbrHC3AC1kivbLFCXCBsOVA7HLCLsGNPPRItARTPOQeq1n4SRo5bd+aw=
01hn7gh0c83hua75enggticluocaqbdb.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01HR5PME3885EN6HQPOGBRMNUVKK0GE5 NS
01hn7gh0c83hua75enggticluocaqbdb.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. Y2xkSKdsbRT/fLqloWEk+gt1avrbvXkSVZ4vtg7GZhFVhw/vjTNHFpuDuFvUi1WcBDydh0tbXrLGXwW5xGaG1TQtnx0RgDJioSFZy9clo45DVzG1X3kAjb62yrclw+Gc5dj6TYoeqsT6NqlPGIiyWR6tY29JtYK+C5l0hzEReJw=
01hr5pme3885en6hqpogbrmnuvkk0ge5.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01IH2DH68MJF5PB1KQSU1NAMKEA7OD9A NS
01hr5pme3885en6hqpogbrmnuvkk0ge5.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. TK7OrU8PaIUbiz4sd59mm9d2CLwr6xcHbYn3F8k040h3SF/mBA29YNLisXBLIxz66/2Ix9ZptMrqtzPBTrZNyRpNW47r2VCQ1+y21a4yvWBcHAbV6ZCZvPZzpjNfy0uN4Y5+cAv4Hd8dT10bsFkFVGJSv2LDinZkeJ7UezocNq0=
01ih2dh68mjf5pb1kqsu1namkea7od9a.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01J5MKQIO00B16AJE3L1G8T6AGVO7EET
01ih2dh68mjf5pb1kqsu1namkea7od9a.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. YHCq1bv3uSFlumGDP7l2fdAVDcXCWTrv9TxIiX6bHgJgMeJikZTKFLuhOc5HWYF57RZ5Xp/yBxop7zRx+DCzqZaPxL+Cx4sadGz0dI5FaaclNot0A0V+JfbqbMxHNLmJP8PNByAmazrotDeDNg+0pUI2XpybDkQGamvQOXuZKdk=
01j5mkqio00b16aje3l1g8t6agvo7eet.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01LSDJDO47SV3UVFGMM443PMC6CFUDS6 NS
