allfinanz.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019124799 900 1800 6048000 3600
allfinanz.	172800	in	ns	b.nic.allfinanz.
allfinanz.	172800	in	ns	c.nic.allfinanz.
allfinanz.	172800	in	ns	d.nic.allfinanz.
allfinanz.	172800	in	rrsig	NS 8 1 172800 20250912213713 20250813200713 10194 allfinanz. ZXag5CF6IANR5PKwYr4ryfnYrHChpO/RFshXO3O5uEDpdAmbUWuklgYwCBG+LUXydBysO9pdD139/cv/bbZDQNG4wHywY3MNnigenUNRJegLoc+AKqfDxFNjwVN5EysDYOtpmMlWRiOjYvuseuFDoQeX4GxQkaCH6d6GSdPojE8=
allfinanz.	3600	in	dnskey	256 3 8 AwEAAZc/bFTThdUeCw6qkbZYZ0pRWr+P5VcIQaQjVNg7+ld7SUTRBlI2yIILdObP06SlEZlUyIu3kbCB945LiVdUV2t8QI/HweNKEMmcLMtXXZzwf6W3a7J1g1Uuch1ona8MEx1eBfB/tteJqQDyQI7yoX5XuxbsGTRWqfz5EqQVJQvZ
allfinanz.	3600	in	dnskey	257 3 8 AwEAAefMRFkTixCiI2wbHqtDlm6z7FL/26bdykiW05CaBlp5nIXRCUSp4lHBYd0pk+PJe+wRiw9gZPZTmBmUtq9OZLE/T18dDgF/VhA4s22/oULnT96WKB4+Xx2nGUeySwPaevhqIX5ceCku0+Fl8KHwlOuKKrKK7x3oGRmQ5MrzTsHwvB+wuQcwVVd5/ssZ3xUrqV0QtsJf2GIIC/5rGna7scTwI+RAnaBQe1MarifWVqWl+t7edef20oalyAmsaqTbTuQ/qave5FgABNsV+T4FYefdc8oVUo7ZQN0MHeJDBt9MARTkBRj73rgSf/BF3AcaPhVMsF95jXWGhEAfzzB31ys=
allfinanz.	3600	in	rrsig	DNSKEY 8 1 3600 20250912213713 20250813200713 34586 allfinanz. xPzbNVkifgXqtF9Zb38D5RhfKdRSnSE9vQUHMZznLv7Vz7noPfTIqwETS3HNOd/hciCKupJJF15b7XRr7TArspD574bgHGFWy7tkXfXy5aM/Bg4TPYcML46Z/E4kWuyCxLt0U8A/Io9ySvTLqC0qcC/g87/EniMzNglx+33g0fmZEiwVJ4PZqez+pLPv9M7NRBmfrulDz85xEvAEXA8/l9IrCjuhGfNRRu4zOe/eBP7LMqwCcbSks5rDnrkOIV4hkS+as0cj5x2SDg1YlW1D9HpvDzeKaW7y0K558lR3pXlodna3xKV2fgimOG11lii7h9kZZD3vI7tsL9x4ISuRVw==
allfinanz.	900	in	nsec3param	1 0 0 -
allfinanz.	900	in	rrsig	NSEC3PARAM 8 1 900 20250912213713 20250813200713 10194 allfinanz. a7bkqXFwK16TajuY54gFJ/YcADtuEFsimQooO15fn6sbgTKIch8thJH1RpCD1TMD/27D+Tk+NMUPOcGigxdnGP7Gi6U632krH7WV9cYtGSF0cV+Y0UJSiedA00HqE8V83Y4xtxE1c48mSos3GAGZmfjxOKPao6bD3elGUtF0g6g=
allfinanz.	900	in	rrsig	SOA 8 1 900 20250926004415 20250826231415 10194 allfinanz. aP+Cy6jKqdWtgLWmD74lW18pAk47O6LpnM+ZgtuMZKltedpw7SYbJIi5KTANcGpz+JKQOZ5UUv+gtL4X5tBkcQkOrUx/KrcGRxE792Vj+TWiGHOrLOBY2JImoKZSWamFPwTnSETmxoNLPvGgnO9pVHN7VleLwyJWL4X7Po4O7Us=
alwin-baumeister.allfinanz.	3600	in	ns	ns01.brandshelter.com.
alwin-baumeister.allfinanz.	3600	in	ns	ns02.brandshelter.net.
amelie-seitz-2188120.allfinanz.	3600	in	ns	ns1.brandshelter.com.
amelie-seitz-2188120.allfinanz.	3600	in	ns	ns2.brandshelter.de.
amelie-seitz-2188120.allfinanz.	3600	in	ns	ns3.brandshelter.info.
amelie-seitz-2188120.allfinanz.	3600	in	ns	ns4.brandshelter.net.
amelie-seitz-2188120.allfinanz.	3600	in	ns	ns5.brandshelter.us.
amelie-seitz.allfinanz.	3600	in	ns	ns1.brandshelter.com.
