33729.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
33729.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
34590.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
34590.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
34722.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
34722.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
34722.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
37821.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
37821.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
37821.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
37956.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
37956.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
39265.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
39265.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
39265.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
39588.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
39588.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
39588.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
39614.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
39614.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
39614.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
41896.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
41896.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
42193.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
42193.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
42260.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
42260.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
42260.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
43518.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
43518.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
44805.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
44805.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
44805.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
45565.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
45565.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
45565.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
45718.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
45718.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
46829.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
46829.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
47162.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
47162.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
47596.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
47596.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
47887.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
47887.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
47887.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
49627.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
49627.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
49794.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
49794.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
49794.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
50586.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
50586.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
50586.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
50899.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
50899.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
50899.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
50951.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
50951.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
50951.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
51177.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
51177.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
51177.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
51193.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
51193.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
51193.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
51816.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
51816.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
51816.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
52088.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
52088.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
52088.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
52379.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
52379.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
53773.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
53773.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
53773.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
54268.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
54268.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
54714.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
54714.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
54714.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
55526.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
55526.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
55526.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
55542.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
55542.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
55542.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
56042.xn--d1acj3b.	86400	in	ns	a.dnspod.com.
56042.xn--d1acj3b.	86400	in	ns	b.dnspod.com.
56042.xn--d1acj3b.	86400	in	ns	c.dnspod.com.
57677.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
57677.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
57677.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
58465.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
58465.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
58465.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
58779.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
58779.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
58779.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
59952.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
59952.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
59952.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
60069.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
60069.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
60069.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
60269.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
60269.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
60269.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
60672.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
60672.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
60672.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
61559.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
61559.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
61559.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
61569.xn--d1acj3b.	86400	in	ns	ns1.yunxns.com.
61569.xn--d1acj3b.	86400	in	ns	ns2.yunxns.com.
64391.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
64391.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
64391.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
64897.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
64897.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
64897.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
65274.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
65274.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
66539.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
66539.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
66539.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
66589.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
66589.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
66589.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
67310.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67310.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67311.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67311.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67312.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67312.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67313.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67313.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67314.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67314.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67315.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67315.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67316.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67316.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67317.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67317.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
67318.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
67318.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
68589.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
68589.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
