7n267goeqhh8vrooda282q3q5qic10ub.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918080141 20250904073622 47751 fishing. F5nggm2HyyU7ECnBm6H5+JDoVmRszZQ9AIBjfHS6qTXAzn6CzLd3z2kKB+saYOB39IJuuPgw6IJVUXAKQ5u4+WhE08KVHnGpIQVtl5w2/jyEVCkrk5YS1CRSxlIYKLnKkgvR6YsdVTK2HC1ohv11mMOYZT4blNdMQQegZuTALq2/u5pjoNronnSelIhfH9WhzG51jDoUSflbABSda1jzew==
8.fishing.	3600	in	ns	ns3.afternic.com.
8.fishing.	3600	in	ns	ns4.afternic.com.
888.fishing.	3600	in	ns	ns1.dyna-ns.net.
888.fishing.	3600	in	ns	ns2.dyna-ns.net.
888b.fishing.	3600	in	ns	jocelyn.ns.cloudflare.com.
888b.fishing.	3600	in	ns	tom.ns.cloudflare.com.
88clb.fishing.	3600	in	ns	tia.ns.cloudflare.com.
88clb.fishing.	3600	in	ns	zac.ns.cloudflare.com.
8day.fishing.	3600	in	ns	leonard.ns.cloudflare.com.
8day.fishing.	3600	in	ns	lola.ns.cloudflare.com.
8kbet.fishing.	3600	in	ns	burt.ns.cloudflare.com.
8kbet.fishing.	3600	in	ns	nicole.ns.cloudflare.com.
907.fishing.	3600	in	ns	ns37.domaincontrol.com.
907.fishing.	3600	in	ns	ns38.domaincontrol.com.
98sueu6j1atku4iqtamn7njhhfq59mbe.fishing.	900	in	nsec3	1 1 0 - 9FGDS217F0TC6R4902BSTKJKPCRNVB0D NS DS RRSIG
98sueu6j1atku4iqtamn7njhhfq59mbe.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918120140 20250904114319 47751 fishing. vB5wPNDPoegVdNk4n2mLOrq8LEgC6/LTbjnPO0Jghk2eE1tGhA/6LSYonRle8LwA9yJLPNZ+0jrsoC25TBZJ0kagLli0YfSG7M+DuihhwZU22Oe6goZzdPqQAVqf/61qg5xIPbIbjCKScypJG1pIq7xucNj1LBY5UX+CsZTlJasgEuFPSAVWNqK2B1zi6X2/BtulNV8uEkwhVEOs4zZ92g==
99.fishing.	3600	in	ns	ns1lmy.name.com.
99.fishing.	3600	in	ns	ns2fgv.name.com.
99.fishing.	3600	in	ns	ns3npv.name.com.
99.fishing.	3600	in	ns	ns4bht.name.com.
9fgds217f0tc6r4902bstkjkpcrnvb0d.fishing.	900	in	nsec3	1 1 0 - 9U0I02EKL8GCTOF2PB4PA19S28BSBD83 NS DS RRSIG
9fgds217f0tc6r4902bstkjkpcrnvb0d.fishing.	900	in	rrsig	NSEC3 8 2 900 20250918120140 20250904114319 47751 fishing. tP91FkqDBWhXvgamEII+9tKPHJ1aR6g97TKqCrpJY+LefBBwJEIA+ADWVXrptGitU5a6y2sZ5MHHjQmgjqs+InoBphnYzSelrVFYD4bVDQ/w2XriRqOc4pX2OiBXWK1n9aUZVPm1OIcKiKBW0c9sCQfcQudWIz9J7ZiBWw9T/xW0784E4WSQI2kYX5LcgtuUt2JZP94AHEkpLHXEi4Kppg==
9u0i02ekl8gctof2pb4pa19s28bsbd83.fishing.	900	in	nsec3	1 1 0 - B0URKM78MOSAN672KLEIMHFB1QQ05MFA NS DS RRSIG
9u0i02ekl8gctof2pb4pa19s28bsbd83.fishing.	900	in	rrsig	NSEC3 8 2 900 20250913193846 20250830192202 47751 fishing. sNgcgmbMkT+1q20HLrnBe17KJY9mrBNnPvgUMIi99zkeS4bJX2wbCaFn48Q7469WYZxAw5jlc+vlsmuna6dTumx1iRjlU0ROGXuOhKaW0s5/7WvSuibRbyK9JiwAiv1jmsHLAtx7cFE8CdPfhbAk4fGwnlmMJ+5Txx7zXVUGMdCzRS10wkOQxQJjyeP5LRNB/LazyTf0OXCciUUiALjAuw==
_forcedupdate.fishing.	300	in	rrsig	TXT 8 2 300 20250917155135 20250903150304 47751 fishing. FTyceGjGC1ebCzXgK66U9zIqtqeW3XFUfxGis6+510yMaIjE7kr0or/xDfxQNpnpFI5rSdiXPIHRslcSUaV3zjSyjtm78WbfLo7Es2EIWQ9MtoT74zi+7ciiJZwSbxDq64bsULGbl3Jp270nuHIr+pLnwN85WipCKTtWucHYGs8CyjCd0rul032NA9TxXaybV0ECuiCF/pWUgTfs/zwl8Q==
_forcedupdate.fishing.	300	in	txt	"1756676232"
a.nic.fishing.	172800	in	a	37.209.192.10
a.nic.fishing.	172800	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0010
a16z.fishing.	3600	in	ns	ns1.lexsynergy.net.
a16z.fishing.	3600	in	ns	ns2.lexsynergy.us.
a16z.fishing.	3600	in	ns	ns3.lexsynergy.info.
aaa-0.fishing.	172800	in	ns	nsgbr.comlaude.co.uk.
aaa-0.fishing.	172800	in	ns	nssui.comlaude.ch.
aaa-0.fishing.	172800	in	ns	nsusa.comlaude.net.
abbeylake.fishing.	172800	in	ns	ns-fr.1and1-dns.biz.
abbeylake.fishing.	172800	in	ns	ns-fr.1and1-dns.com.
abbeylake.fishing.	172800	in	ns	ns-fr.1and1-dns.fr.
abbeylake.fishing.	172800	in	ns	ns-fr.1and1-dns.org.
abbeylakes.fishing.	172800	in	ns	ns-fr.1and1-dns.biz.
abbeylakes.fishing.	172800	in	ns	ns-fr.1and1-dns.com.
abbeylakes.fishing.	172800	in	ns	ns-fr.1and1-dns.fr.
abbeylakes.fishing.	172800	in	ns	ns-fr.1and1-dns.org.
