0101.wtf.	3600	in	ns	docks11.rzone.de.
0101.wtf.	3600	in	ns	shades12.rzone.de.
010101.wtf.	3600	in	ns	ns1.sectigoweb.com.
010101.wtf.	3600	in	ns	ns2.sectigoweb.com.
010101.wtf.	3600	in	ns	ns3.sectigoweb.com.
010101.wtf.	3600	in	ns	ns4.sectigoweb.com.
0106mlfu5jo38evgh94errfjfulel9u6.wtf.	3600	in	nsec3	1 1 0 73 01JILA5D4RM77R7QJTFSIRQU7OE06FGK NS DS RRSIG
0106mlfu5jo38evgh94errfjfulel9u6.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. aytMby1ukoO4vrjmB3D55Tse2GOze2MSw4QV3uXO7AoSC8dC7QtK4+sl9KCaK4nkRP5VzxRNSARpOKR67ZO68TX7ChCUDw5qFh9zu8u08zK9WWixdUvK8J0ZI9nxTawfNAN27yjrR7nqzXE8E82eHw/kIkgxScCkMRJW8DeXxe4=
01a.wtf.	3600	in	ds	50476 13 2 03C3A9BAA3CDD76A7975DB6BAB2F0700B8056FF73281848D091D584F88F9E67D
01a.wtf.	3600	in	ns	launch1.spaceship.net.
01a.wtf.	3600	in	ns	launch2.spaceship.net.
01a.wtf.	3600	in	rrsig	DS 8 2 3600 20260207151729 20260117141729 17028 wtf. ldqo5QQsJBUZ38rQ0096rpRTMSgUqaU70BgLHuYZxtfxexF2s7TWHGS0yRycXIjSg5TBSHeWffCL/L3enfRCsMwr3WU8hLwXq8I5medwXmDNqREgHreS2drRwm8pQlpO7zE9+p85L3SrJu2hQYCoMhjekRPWssgTgSaSvNCtejU=
01b.wtf.	3600	in	ds	28200 13 2 89C7666D9BCF9D43EDCDDED1F083BF7E33DA3A1E8AC6159DEB917D5F9464041E
01b.wtf.	3600	in	ns	launch1.spaceship.net.
01b.wtf.	3600	in	ns	launch2.spaceship.net.
