brandy.yun.	7200	in	ns	ns2.ename.net.
breeze.yun.	7200	in	ns	dns3.hichina.com.
breeze.yun.	7200	in	ns	dns4.hichina.com.
broad.yun.	7200	in	ns	ns1.ename.net.
broad.yun.	7200	in	ns	ns2.ename.net.
brother.yun.	7200	in	ns	ns1.ename.net.
brother.yun.	7200	in	ns	ns2.ename.net.
bt.yun.	7200	in	ns	ns1.ename.net.
bt.yun.	7200	in	ns	ns2.ename.net.
btc.yun.	7200	in	ns	ns1.ename.net.
btc.yun.	7200	in	ns	ns2.ename.net.
buding.yun.	7200	in	ns	ns1.ename.net.
buding.yun.	7200	in	ns	ns2.ename.net.
build.yun.	7200	in	ns	ns1.ename.net.
build.yun.	7200	in	ns	ns2.ename.net.
bujing.yun.	7200	in	ns	alina.ns.cloudflare.com.
bujing.yun.	7200	in	ns	moura.ns.cloudflare.com.
by.yun.	7200	in	ns	ns1.ename.net.
by.yun.	7200	in	ns	ns2.ename.net.
byte.yun.	7200	in	ns	ns1.ename.net.
byte.yun.	7200	in	ns	ns2.ename.net.
cai.yun.	7200	in	ns	ns1.ename.net.
cai.yun.	7200	in	ns	ns2.ename.net.
caifu.yun.	7200	in	ns	ns1.ename.net.
caifu.yun.	7200	in	ns	ns2.ename.net.
caigou.yun.	7200	in	ns	ns1.atom.com.
caigou.yun.	7200	in	ns	ns2.atom.com.
caihong.yun.	7200	in	ns	ns1.ename.net.
caihong.yun.	7200	in	ns	ns2.ename.net.
caijing.yun.	7200	in	ns	ns1.ename.net.
caijing.yun.	7200	in	ns	ns2.ename.net.
caishen.yun.	7200	in	ns	dns15.hichina.com.
caishen.yun.	7200	in	ns	dns16.hichina.com.
caishui.yun.	7200	in	ns	ns1.ename.net.
caishui.yun.	7200	in	ns	ns2.ename.net.
caiwu.yun.	7200	in	ns	ns1.ename.net.
caiwu.yun.	7200	in	ns	ns2.ename.net.
caizhi.yun.	7200	in	ns	ns1.ename.net.
caizhi.yun.	7200	in	ns	ns2.ename.net.
call.yun.	7200	in	ns	ns1.dn.com.
call.yun.	7200	in	ns	ns2.dn.com.
cambrian.yun.	7200	in	ns	dns13.hichina.com.
cambrian.yun.	7200	in	ns	dns14.hichina.com.
candy.yun.	7200	in	ns	ns1.ename.net.
candy.yun.	7200	in	ns	ns2.ename.net.
cang.yun.	7200	in	ns	ns1.ename.net.
cang.yun.	7200	in	ns	ns2.ename.net.
caomei.yun.	7200	in	ns	ns1.ename.net.
caomei.yun.	7200	in	ns	ns2.ename.net.
card.yun.	7200	in	ns	ns1.ename.net.
card.yun.	7200	in	ns	ns2.ename.net.
cartoon.yun.	7200	in	ns	ns1.ename.net.
cartoon.yun.	7200	in	ns	ns2.ename.net.
cdn.yun.	7200	in	ns	ns1.ename.net.
cdn.yun.	7200	in	ns	ns2.ename.net.
center.yun.	7200	in	ns	ns1.ename.net.
center.yun.	7200	in	ns	ns2.ename.net.
century.yun.	7200	in	ns	ns1.ename.net.
century.yun.	7200	in	ns	ns2.ename.net.
ceshi.yun.	7200	in	ns	ns1.ename.net.
ceshi.yun.	7200	in	ns	ns2.ename.net.
cesu.yun.	7200	in	ns	dns23.hichina.com.
cesu.yun.	7200	in	ns	dns24.hichina.com.
cha.yun.	7200	in	ns	ns1.ename.net.
cha.yun.	7200	in	ns	ns2.ename.net.
chain.yun.	7200	in	ns	ns1.ename.net.
chain.yun.	7200	in	ns	ns2.ename.net.
chance.yun.	7200	in	ns	ns1.ename.net.
chance.yun.	7200	in	ns	ns2.ename.net.
chang.yun.	7200	in	ns	ns1.ename.net.
chang.yun.	7200	in	ns	ns2.ename.net.
change.yun.	7200	in	ns	ns1.ename.net.
change.yun.	7200	in	ns	ns2.ename.net.
chao.yun.	7200	in	ns	ns1.ename.net.
chao.yun.	7200	in	ns	ns2.ename.net.
chaoji.yun.	7200	in	ns	ns1.ename.net.
chaoji.yun.	7200	in	ns	ns2.ename.net.
chaosuan.yun.	7200	in	ns	ns1.ename.net.
chaosuan.yun.	7200	in	ns	ns2.ename.net.
chaoxin.yun.	7200	in	ns	ns1.ename.net.
chaoxin.yun.	7200	in	ns	ns2.ename.net.
chat.yun.	7200	in	ns	ns1.363.hk.
chat.yun.	7200	in	ns	ns2.363.hk.
chat.yun.	7200	in	ns	ns3.363.hk.
chat.yun.	7200	in	ns	ns4.363.hk.
chatbot.yun.	7200	in	ns	dns3.hichina.com.
chatbot.yun.	7200	in	ns	dns4.hichina.com.
chatgpt.yun.	7200	in	ns	ns1.alidns.com.
chatgpt.yun.	7200	in	ns	ns2.alidns.com.
che.yun.	7200	in	ns	ns1.ename.net.
che.yun.	7200	in	ns	ns2.ename.net.
cheap.yun.	7200	in	ns	ns1.ename.net.
cheap.yun.	7200	in	ns	ns2.ename.net.
chem.yun.	7200	in	ns	dns3.hichina.com.
chem.yun.	7200	in	ns	dns4.hichina.com.
chemicals.yun.	7200	in	ns	dns10.hichina.com.
chemicals.yun.	7200	in	ns	dns9.hichina.com.
cherry.yun.	7200	in	ns	leanna.ns.cloudflare.com.
cherry.yun.	7200	in	ns	mitch.ns.cloudflare.com.
chess.yun.	7200	in	ns	ns1.ename.net.
chess.yun.	7200	in	ns	ns2.ename.net.
chi.yun.	7200	in	ns	ns1.ename.net.
chi.yun.	7200	in	ns	ns2.ename.net.
child.yun.	7200	in	ns	ns1.ename.net.
child.yun.	7200	in	ns	ns2.ename.net.
chine.yun.	7200	in	ns	dns23.hichina.com.
chine.yun.	7200	in	ns	dns24.hichina.com.
chip.yun.	7200	in	ns	ns1.ename.net.
chip.yun.	7200	in	ns	ns2.ename.net.
choice.yun.	7200	in	ns	ns1.ename.net.
choice.yun.	7200	in	ns	ns2.ename.net.
chongdian.yun.	7200	in	ns	ns1.ename.net.
chongdian.yun.	7200	in	ns	ns2.ename.net.
choose.yun.	7200	in	ns	ns1.ename.net.
choose.yun.	7200	in	ns	ns2.ename.net.
chu.yun.	7200	in	ns	ns1.ename.net.
chu.yun.	7200	in	ns	ns2.ename.net.
chuang.yun.	7200	in	ns	ns1.ename.net.
chuang.yun.	7200	in	ns	ns2.ename.net.
chuangjiang.yun.	7200	in	ns	dns15.hichina.com.
