aecsd-ameda-2024.istanbul.	3600	in	ns	ns2.metunic.com.tr.
aeroport.istanbul.	3600	in	ns	ns1.natrohost.com.
aeroport.istanbul.	3600	in	ns	ns2.natrohost.com.
aesthetic-studio.istanbul.	3600	in	ns	root-dns.netcup.net.
aesthetic-studio.istanbul.	3600	in	ns	second-dns.netcup.net.
aesthetic-studio.istanbul.	3600	in	ns	third-dns.netcup.net.
aesthetic.istanbul.	3600	in	ns	ns1.natrohost.com.
aesthetic.istanbul.	3600	in	ns	ns2.natrohost.com.
aestheticsandsurgeries.istanbul.	3600	in	ns	ns11.domaincontrol.com.
aestheticsandsurgeries.istanbul.	3600	in	ns	ns12.domaincontrol.com.
aestheticsandsurgeriesclinic.istanbul.	3600	in	ns	ns31.domaincontrol.com.
aestheticsandsurgeriesclinic.istanbul.	3600	in	ns	ns32.domaincontrol.com.
afad.istanbul.	3600	in	ns	ns1.turkticaret.net.
afad.istanbul.	3600	in	ns	ns3.turkticaret.net.
afetehazir.istanbul.	3600	in	ns	ns77.domaincontrol.com.
afetehazir.istanbul.	3600	in	ns	ns78.domaincontrol.com.
afisha.istanbul.	3600	in	ns	ns37.domaincontrol.com.
afisha.istanbul.	3600	in	ns	ns38.domaincontrol.com.
afound.istanbul.	3600	in	ns	a1-139.akam.net.
afound.istanbul.	3600	in	ns	a11-66.akam.net.
afound.istanbul.	3600	in	ns	a12-67.akam.net.
afound.istanbul.	3600	in	ns	a28-64.akam.net.
afound.istanbul.	3600	in	ns	a5-65.akam.net.
afound.istanbul.	3600	in	ns	a8-66.akam.net.
agac.istanbul.	3600	in	ns	ns1.agac.istanbul.
agac.istanbul.	3600	in	ns	ns2.agac.istanbul.
agacvepeyzaj.istanbul.	3600	in	ns	ns1.turkticaret.net.
agacvepeyzaj.istanbul.	3600	in	ns	ns3.turkticaret.net.
agencies.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
agencies.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
agency.istanbul.	3600	in	ns	ns53.domaincontrol.com.
agency.istanbul.	3600	in	ns	ns54.domaincontrol.com.
agent.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
agent.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
agentics.istanbul.	3600	in	ns	cpns1.turhost.com.
agentics.istanbul.	3600	in	ns	cpns2.turhost.com.
agilekanban.istanbul.	3600	in	ns	ns2.wixdns.net.
agilekanban.istanbul.	3600	in	ns	ns3.wixdns.net.
agm.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
agm.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
agree.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
agree.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
agreement.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
agreement.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
ahlpay.istanbul.	3600	in	ns	ns71.domaincontrol.com.
ahlpay.istanbul.	3600	in	ns	ns72.domaincontrol.com.
ahmetergin.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
ahmetergin.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
ahmeterhangokal.istanbul.	3600	in	ns	ns1.turkticaret.net.
ahmeterhangokal.istanbul.	3600	in	ns	ns3.turkticaret.net.
ahmetkibar.istanbul.	3600	in	ns	ns1.turkticaret.net.
ahmetkibar.istanbul.	3600	in	ns	ns2.turkticaret.net.
ahmetnazifzorlu.istanbul.	3600	in	ns	ns1.vestel.com.tr.
ahmetnazifzorlu.istanbul.	3600	in	ns	ns3.vestel.com.tr.
ahmetnazifzorlu.istanbul.	3600	in	ns	ns4.vestel.com.tr.
ahmetozdemir.istanbul.	3600	in	ns	h1.unibilisim.com.
ahmetozdemir.istanbul.	3600	in	ns	h2.unibilisim.com.
ahmetzorlu.istanbul.	3600	in	ns	ns1.vestel.com.tr.
ahmetzorlu.istanbul.	3600	in	ns	ns3.vestel.com.tr.
ahmetzorlu.istanbul.	3600	in	ns	ns4.vestel.com.tr.
ahu.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
ahu.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
ai-hub.istanbul.	3600	in	ns	ns1.world4you.at.
ai-hub.istanbul.	3600	in	ns	ns2.world4you.at.
aiawards.istanbul.	3600	in	ns	ns39.domaincontrol.com.
aiawards.istanbul.	3600	in	ns	ns40.domaincontrol.com.
aikido.istanbul.	3600	in	ns	ns37.domaincontrol.com.
aikido.istanbul.	3600	in	ns	ns38.domaincontrol.com.
aila.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
aila.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
ailab.istanbul.	3600	in	ns	ns39.domaincontrol.com.
