gal.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2509110038 7200 7200 604800 900
03f443dhquppbeur020r0vmjc5of4pgb.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. RNWC7rZ4iLZ//Tnhm9cD8HjFIhbNjANqmY2Ds+muVBMdFixscRb2q/+Hi4lqEaX6f2rQP2CGLMbfSG6/ve3hLPuDvfLcjPMmIknsE3SENOVx4hYleYcPiL5HtScBxD7GIML7ce4Q33av1XmHDKOyqUYkjoldNm9q0qtsg/fkiz3zhuwlLbOjCkiioULcahjoMO8v29ksL96c+IpB3xUNRw==
03fbclcj2r78gga3iovqgprvrqjfrh3o.gal.	43200	in	nsec3	1 0 0 - 03FK2344V6NNOBRAPOLU0T7O3LEFERV7 NS
03fbclcj2r78gga3iovqgprvrqjfrh3o.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. nqAULh8n/17VLrhPaGxdIC31e0VcmbBv4uxutwzYcQq77dWyChIkNoKnd6NLD3kyJj63fVRAR5vStgWMioqoX/nlWZ+S9HvBHD4v/rvZjrnua19WQ504QFioIL4WHviFOSEM51j3xJfS5btzZxSiU+ZbCVsdbuk7M9WYYX+EeZZKEdryIrGDC7uJvSt5/MH2NBgZU4faDHYo1gjgc2TrYQ==
03fk2344v6nnobrapolu0t7o3leferv7.gal.	43200	in	nsec3	1 0 0 - 03KDIQK4SM2P7SROHD7PQ192R775VCA4 NS
03fk2344v6nnobrapolu0t7o3leferv7.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. oK8sO5sH5P9aVuWU+Rcnes96hvQjaR1H84PHM8oKP63GzJW084X3G0YNi73zOvNHKYAKaiSRu6cd/QLvGBztQZyh5SnuS2C3SpMp96UuHxATu2d5JvrmPo0+WPbSQ23D4Yd2dqItHwGQxUCe7JEDwQ8nU8zuY8bHzJouUKS41CJdtw87l31/N6dKkjE9fmJ+sbauxHhc5Q7Xex3+b1v9Jg==
03kdiqk4sm2p7srohd7pq192r775vca4.gal.	43200	in	nsec3	1 0 0 - 03RK6U4HK2QU7KDCDKIO9BQ3KIRU2539 NS
03kdiqk4sm2p7srohd7pq192r775vca4.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. JDjAGwVXaQDK5bjg88eiSA7ZQ5I3WZpYgxFG+PERZUeCpsZuhs1aGmLT2nWmCuSc0Nn7nG6y+jDr5ZqIPbScFTILrHOFL3x6QpLCe4RnNllZbpxBeVFMAEm+WOks3ZTBgyBr5SCjHO5EvXQFnP8w2kiW7ufscv6o7nPh2NgJuu7a6oW4TMmMb32l0h42mz4Pzs2AUWKTDw/QylEu35EI1Q==
03rk6u4hk2qu7kdcdkio9bq3kiru2539.gal.	43200	in	nsec3	1 0 0 - 03TFAPGPJ3EIBUJE5NK692AOKFA55DSF NS
03rk6u4hk2qu7kdcdkio9bq3kiru2539.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. O2cjsjZm3opZZepUAeEihoOptOcrG/gYLZkT/JsHrs7/eKwa1s3KKOwX7jzKSivKbvX/US2/v8HiEn71AWBCeCkdI7sLIRqMw/I6z0XWc4SOKWc66U2vdjC9pCrih+SUTfTfDpFZC9CHzYFKhRpAhfkFcKIvVkwHQLjiqPyZmH/o9iJoD3SLaAR5VhYPQqfIUemg39m+MS+676el/olHdQ==
03tfapgpj3eibuje5nk692aokfa55dsf.gal.	43200	in	nsec3	1 0 0 - 04404P7V9SOKVCROHLIKVSFBLJVH18FP NS
03tfapgpj3eibuje5nk692aokfa55dsf.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. RBIx9HDBo4/D/Fy550uz0LKE0B0mLMhFY8MXICb5J5I8YSwyfOr3dCOdfngn/P+2dvpxgeZxKRuOXXstBOgScSG3+Q8gWMqamEVd9MXa6RTHcefkTXSrVk6cXSbJqS1KmTTDeq9Hmffnvl3+lsACFAtQrX/T8UDkT9GMK/LhGEkNrXeEeaUSHkHxm+bmpe1nA+64dHHwxc6VvUbHELKpqg==
04404p7v9sokvcrohlikvsfbljvh18fp.gal.	43200	in	nsec3	1 0 0 - 04736CVM66HCMAP3A7DLA7G2APFN8RBI NS
04404p7v9sokvcrohlikvsfbljvh18fp.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. YYERZlFcPYYTJc0RVqHSI2epuCTgbrWL9ngwJzg5/dgxfzF6MqmX7CHiL0PGtfU1/QEYkiALEeIbscLTmW00MSUTHpDm5mWnRugjZxpLHmU/OdQKyzfNYQh9M8akg8ClgHlfXp9NBvGbl94QwKQOzTHxt+atdIirG1+PKJEGygcPPAazMwUaEcsJAtQwaMnjaxj2xiPimVkIjmdMztwxyA==
04736cvm66hcmap3a7dla7g2apfn8rbi.gal.	43200	in	nsec3	1 0 0 - 04DAH1RVTN2GQ7P9CD1SR6KO1VE5HUAF NS
