jimland.nra.	3600	in	ns	ns2.nameserver.net.au.
jimland.nra.	3600	in	ns	ns3.nameserver.net.au.
join.nra.	3600	in	ns	ns1.nameserver.net.au.
join.nra.	3600	in	ns	ns2.nameserver.net.au.
join.nra.	3600	in	ns	ns3.nameserver.net.au.
joinnow.nra.	3600	in	ns	ns1.nameserver.net.au.
joinnow.nra.	3600	in	ns	ns2.nameserver.net.au.
joinnow.nra.	3600	in	ns	ns3.nameserver.net.au.
jointoday.nra.	3600	in	ns	ns1.nameserver.net.au.
jointoday.nra.	3600	in	ns	ns2.nameserver.net.au.
jointoday.nra.	3600	in	ns	ns3.nameserver.net.au.
knife.nra.	3600	in	ns	ns1.nameserver.net.au.
knife.nra.	3600	in	ns	ns2.nameserver.net.au.
knife.nra.	3600	in	ns	ns3.nameserver.net.au.
kyleweaver.nra.	3600	in	ns	ns1.nameserver.net.au.
kyleweaver.nra.	3600	in	ns	ns2.nameserver.net.au.
kyleweaver.nra.	3600	in	ns	ns3.nameserver.net.au.
lastchance.nra.	3600	in	ns	ns1.nameserver.net.au.
lastchance.nra.	3600	in	ns	ns2.nameserver.net.au.
lastchance.nra.	3600	in	ns	ns3.nameserver.net.au.
lifeofduty.nra.	3600	in	ns	ns1.nameserver.net.au.
lifeofduty.nra.	3600	in	ns	ns2.nameserver.net.au.
lifeofduty.nra.	3600	in	ns	ns3.nameserver.net.au.
mail.nra.	3600	in	ns	ns-1050.awsdns-03.org.
mail.nra.	3600	in	ns	ns-1874.awsdns-42.co.uk.
mail.nra.	3600	in	ns	ns-460.awsdns-57.com.
mail.nra.	3600	in	ns	ns-725.awsdns-26.net.
memberservice.nra.	3600	in	ns	ns1.nameserver.net.au.
memberservice.nra.	3600	in	ns	ns2.nameserver.net.au.
memberservice.nra.	3600	in	ns	ns3.nameserver.net.au.
memberservices.nra.	3600	in	ns	ns1.nameserver.net.au.
memberservices.nra.	3600	in	ns	ns2.nameserver.net.au.
memberservices.nra.	3600	in	ns	ns3.nameserver.net.au.
membership.nra.	3600	in	ns	ns1.nameserver.net.au.
membership.nra.	3600	in	ns	ns2.nameserver.net.au.
membership.nra.	3600	in	ns	ns3.nameserver.net.au.
membershipbenefits.nra.	3600	in	ns	ns1.nameserver.net.au.
membershipbenefits.nra.	3600	in	ns	ns2.nameserver.net.au.
membershipbenefits.nra.	3600	in	ns	ns3.nameserver.net.au.
nationalfirearmsmuseum.nra.	3600	in	ns	ns1.nameserver.net.au.
nationalfirearmsmuseum.nra.	3600	in	ns	ns2.nameserver.net.au.
nationalfirearmsmuseum.nra.	3600	in	ns	ns3.nameserver.net.au.
nationalgunownerspoll.nra.	3600	in	ns	ns1.nameserver.net.au.
nationalgunownerspoll.nra.	3600	in	ns	ns2.nameserver.net.au.
nationalgunownerspoll.nra.	3600	in	ns	ns3.nameserver.net.au.
nationalgunownerssurvey.nra.	3600	in	ns	ns1.nameserver.net.au.
nationalgunownerssurvey.nra.	3600	in	ns	ns2.nameserver.net.au.
nationalgunownerssurvey.nra.	3600	in	ns	ns3.nameserver.net.au.
nationalgunownersurvey.nra.	3600	in	ns	ns1.nameserver.net.au.
nationalgunownersurvey.nra.	3600	in	ns	ns2.nameserver.net.au.
nationalgunownersurvey.nra.	3600	in	ns	ns3.nameserver.net.au.
nic.nra.	3600	in	ds	1104 8 2 157DA957DE36E200FFEB4D2C08BC1DD1107BECB33342924290B7708A22D82055
nic.nra.	3600	in	ns	a0.nic.nra.
nic.nra.	3600	in	ns	a2.nic.nra.
nic.nra.	3600	in	ns	b0.nic.nra.
nic.nra.	3600	in	ns	c0.nic.nra.
nic.nra.	3600	in	rrsig	DS 8 2 3600 20250916155844 20250826145844 49758 nra. FQaX0crzkj0vylKENHwVdwVREabY3NmuO7tBwiiGBHdYN9mN7d1S0PzTfqBrOtPAiJ+Rh8ji9/QhD6AywxveGSPnfrhp33h7mNS+RocCV/RnXkI8GjitGvGKEkMZZDlwXGxDRp+B9Rpi+Z21944Jr/bHLue5eb9E1mE/jdsDiLE=
nra.	3600	in	dnskey	256 3 8 AwEAAa7oul1ky4wZMZQLShCWHY94ubrAKT++K246UQcaZh4TsaXxwKHVz3W35eodLa5tc+SWzn5RlfJVh2KIk6ThAZUgGc7nnSB44LBh9y+MQiC346sYLCY5tVixhTubMhTTwdCQHYx9dAMoevD5CxyvArFbMnbUCEWK/wIsdjLYyQfJ
nra.	3600	in	dnskey	256 3 8 AwEAAa84XH6cI4hSrZon4SYp5UyUIOhJoZ5ENxhAMpsy2dHFSz1T0dRDCLgvDKrhxMl9CKoxOq67q4OQEvn3VQm1Ji+vEAz4lqupFxO67jN3cTxdqaJ9YOEawHji5uGzOIcsCfBo9cmH5dO4P3C2AkJJM9Tqtqb14CMY1prMc+HOeeZJ
nra.	3600	in	dnskey	257 3 8 AwEAAcbL/dFnzNzF3XqdIHDyV1DvVnS+F3KNzoxqZji2EEGCWDYadz2Vj4sxloXdXhqYX8V1bmA38Z1AlEjEVRgVszFTxGheWS7CK7TuPKMis9DII+4uLlu7kd2/47rxzJ8BNR7BlbHH1HRlEhcVjda1UVBRLwhZLS4CYC6QAIxfqpCcK6qtrgkA3sOoq5Z4xTl7bnMyS/N6wyh7mI1+jbeUAq/0IwJQKjvOl6+o4VVRvz9n7xpvU/crEBcqjK1sdD+j47e2m8iGNu00V4mdDMuxQlfcuV5OQkzCjeRGBT32VSMfYkou3L/Tcpr6GSjKdwEDadjV8hR78Ppr66akm8n6OH0=
nra.	3600	in	ns	a0.nic.nra.
nra.	3600	in	ns	a2.nic.nra.
nra.	3600	in	ns	b0.nic.nra.
nra.	3600	in	ns	c0.nic.nra.
nra.	3600	in	nsec3param	1 0 0 73
