1bg4ccrv7h3pjsjoe4a72o6nue8h6hj7.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. i3/b5mR2rID+gd/AA7k069mTyh7zKH72JzN0pAa4V5kfcAfKzIAX0oK00Ls0TiHJePqqHb67DvbgaYY/NBTwS/BwmmMw+Ci3kqevy/m8U2y6tYJCGB3kDcoCgK7EMXZTCHKU2TERQ0UyLmhqN3MeJAUICyzSBICr6hrBW9vGMz0=
1ck2htlmnp83epbhjjkull9umb4g1q6m.shopping.	3600	in	nsec3	1 1 0 73 1ENFUJ26CJFUJRP0PMIGO2P5VQQSUVH1 NS DS RRSIG
1ck2htlmnp83epbhjjkull9umb4g1q6m.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. Ijhle2VobrQrpmqojsaF1KH8cAHiKKb2ECx+yVdpCUGufgN+JCC/JXh/WFeZwHuTodm5JDiMurcKA00WXZBXcc1RRq0LFtTz116Duixbr2NZWWBLPscC4LRfxMjHJdL/j77WaL/RE9w/XsVhLUqAHOMrMXJb4BLPI1b+NMCPFOs=
1click.shopping.	3600	in	ns	ns13.domaincontrol.com.
1click.shopping.	3600	in	ns	ns14.domaincontrol.com.
1enfuj26cjfujrp0pmigo2p5vqqsuvh1.shopping.	3600	in	nsec3	1 1 0 73 1G940GJI0GBAB1HM0LP62BMKUNDDHKVK NS DS RRSIG
1enfuj26cjfujrp0pmigo2p5vqqsuvh1.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. VgtVm0Rja/bAc9cJkcTLg5MSdpkMyoJfWLvDmlxj2zkqgmicaJ/xBJaFRvmZeMtkV2uhykeUNHOfpFOETLOFFrpnI1cqwxOjuW4Jwb4XB9D0Ayb7ZBPe/S4Eh9V9o5Xt1lJWte4SpxJtAoSWnMjXCtp11yFswbePuiIRKfPkvM8=
1euro.shopping.	3600	in	ns	ns1.vicerocks.com.
1euro.shopping.	3600	in	ns	ns2.vicerocks.com.
1g940gji0gbab1hm0lp62bmkunddhkvk.shopping.	3600	in	nsec3	1 1 0 73 1LJU9I2MFFOE1AQAVJ77H89VK6DJT18T NS DS RRSIG
1g940gji0gbab1hm0lp62bmkunddhkvk.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. iqWEcJqm9C6dmpg9N/VJbqdvVLcfpNpDJAB360dvyHpwHlDgqcxR3WqDQIE+eK+kOv9m9F9JuYuD+nhVMoCnEsCVfvKODG2535o8/SCwW+B5XtxizFPBXjjpOW0OP/fYqFazz1wUEokLL3r83NLPyS6a0LoUDUb3A8N2V/5ObSg=
1km.shopping.	3600	in	ns	gabrielle.dnspod.net.
1km.shopping.	3600	in	ns	jonas.dnspod.net.
1lju9i2mffoe1aqavj77h89vk6djt18t.shopping.	3600	in	nsec3	1 1 0 73 1OJIECLQ630FKIT4BB95GU07MLB6TGV9 NS DS RRSIG
1lju9i2mffoe1aqavj77h89vk6djt18t.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. NXbHWpY8LZC1N23wrGkITGKTY5m6vf2pFp1zkag3XUG9jAITMGLewK7JZhm+60DQwjQmNNqkqzW7fUOMIuOL/3icI6+XnDjI3FIV/t8n1JcOD2Ed8UotytIzOAR2Qmkw2SETyU5RkbnJ/DsJ+6wNGfx6w9xAnJyo+o2/qk6sJes=
1ojieclq630fkit4bb95gu07mlb6tgv9.shopping.	3600	in	nsec3	1 1 0 73 1T686EGGIG7L5QL31VFVUA62IMBMGEEM NS DS RRSIG
1ojieclq630fkit4bb95gu07mlb6tgv9.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. F8Cja4L0XeQNRBOg6vwCyw0wRrh/dYGM2bn6jENul9w0AfE6n7n1fvnh1lOyw9T503iOBSr6/xmHigWNzgwuWl1jlnOh3e84I27B/XKdrYHIJa9wbN6YmXhmZfRfY8X6iO9gBmPCHmVrCaAWvd+6R71ULWjCXYm3Y8/i5QW7kDM=
1s-lsd.shopping.	3600	in	ns	curitiba.ns.porkbun.com.
1s-lsd.shopping.	3600	in	ns	fortaleza.ns.porkbun.com.
1s-lsd.shopping.	3600	in	ns	maceio.ns.porkbun.com.
1s-lsd.shopping.	3600	in	ns	salvador.ns.porkbun.com.
1slsd.shopping.	3600	in	ns	curitiba.ns.porkbun.com.
1slsd.shopping.	3600	in	ns	fortaleza.ns.porkbun.com.
1slsd.shopping.	3600	in	ns	maceio.ns.porkbun.com.
1slsd.shopping.	3600	in	ns	salvador.ns.porkbun.com.
1st.shopping.	3600	in	ns	ns.udag.de.
1st.shopping.	3600	in	ns	ns.udag.net.
1st.shopping.	3600	in	ns	ns.udag.org.
1t686eggig7l5ql31vfvua62imbmgeem.shopping.	3600	in	nsec3	1 1 0 73 1USCESR4B5RO5QG1F06VKJMA235LRCUE NS DS RRSIG
1t686eggig7l5ql31vfvua62imbmgeem.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. bgWnIqosYam6JOvLxGcjfBsttueRWuzoFRrbqo23Z4sjB1hQhySvZADXIL62h3BNVozRX0kAAPvLKDybhFCGiQsF2p8K9qXqrhTRc22XBaNTKvB7IGcKd/6LLJq86W3wwjP5o6ISGKCTKyarEtKdW5azkV6mZNI/XTGFXpI1evs=
1uscesr4b5ro5qg1f06vkjma235lrcue.shopping.	3600	in	nsec3	1 1 0 73 21K8CHO5AORL5NJHE4M7Q5RUNM444R26 NS DS RRSIG
1uscesr4b5ro5qg1f06vkjma235lrcue.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. eGB4C67KvYy/7AsAbDz7WWKwVjZxRr764T0OAcxxcJ0w3eGBbuTEyPXN2lELHEWYQ0afEqGMmyfvUfzswWaHSWbbys50tFcNxeC1UBE+EOmuk71zDP8I2DvZGyQ+VWA5sSZgZy1vFEWGk1BExTxmf07yeh+N3nf271JiOvyoyKs=
1v1.shopping.	3600	in	ns	dns21.hichina.com.
1v1.shopping.	3600	in	ns	dns22.hichina.com.
2000.shopping.	3600	in	ns	ns.dandomain.dk.
2000.shopping.	3600	in	ns	ns2.dandomain.dk.
20four.shopping.	3600	in	ns	curitiba.ns.porkbun.com.
20four.shopping.	3600	in	ns	fortaleza.ns.porkbun.com.
20four.shopping.	3600	in	ns	maceio.ns.porkbun.com.
20four.shopping.	3600	in	ns	salvador.ns.porkbun.com.
2100.shopping.	3600	in	ns	ns.dandomain.dk.
2100.shopping.	3600	in	ns	ns2.dandomain.dk.
21k8cho5aorl5njhe4m7q5runm444r26.shopping.	3600	in	nsec3	1 1 0 73 232R0UQUE8TE09KMV7RFQ0TT2OU82TP3 NS DS RRSIG
21k8cho5aorl5njhe4m7q5runm444r26.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. R7A/t395J050zGFNkSgCmyB/3daM6rPDUqxDSHwjcSyeZekYhXboadDZqDMXT7NoprbBL9+wb+S2aMhklF9YikB8XQWXLGE4kKQqSLE76D91rqp7Q1tEgFRC8Ye2k91VAqGU3jQBVuhCYxlBT/0WIGRIpAGG9rZegM4P3y/UyMs=
2222.shopping.	3600	in	ns	ns1.dyna-ns.net.
2222.shopping.	3600	in	ns	ns2.dyna-ns.net.
232r0uque8te09kmv7rfq0tt2ou82tp3.shopping.	3600	in	nsec3	1 1 0 73 27NS0RQG6RBR80BVE7FODNHI1ON98DU8 NS DS RRSIG
232r0uque8te09kmv7rfq0tt2ou82tp3.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. k9ufBhBE3whpJikEnLH2neHTdIiVai8oZjgbPspCyNU02NP8qai8szIlUx3FHmvTCVopf3BxBu1E4WvupyfEnDlC5J+1s2HibYhUBYwvyReMRgAi/NRVTz1ebNN4K1IMGXr9LFfUC4HuCTB6Bo1Q7SGFcPao9vZz1RukU1qYxgU=
23win.shopping.	3600	in	ns	keyla.ns.cloudflare.com.
23win.shopping.	3600	in	ns	leo.ns.cloudflare.com.
