0whmr.luxe.	3600	in	ns	james.ns.cloudflare.com.
0whmr.luxe.	3600	in	ns	zita.ns.cloudflare.com.
0x.luxe.	3600	in	ns	ns1.dan.com.
0x.luxe.	3600	in	ns	ns2.dan.com.
0x0.luxe.	3600	in	ns	01.dnsv.jp.
0x0.luxe.	3600	in	ns	02.dnsv.jp.
0x0.luxe.	3600	in	ns	03.dnsv.jp.
0x0.luxe.	3600	in	ns	04.dnsv.jp.
1-books-de.luxe.	172800	in	ns	ns.checkdomain.de.
1-books-de.luxe.	172800	in	ns	ns2.checkdomain.de.
1-edition-de.luxe.	172800	in	ns	ns.checkdomain.de.
1-edition-de.luxe.	172800	in	ns	ns2.checkdomain.de.
1.luxe.	3600	in	ns	ns1.dan.com.
1.luxe.	3600	in	ns	ns2.dan.com.
10.luxe.	172800	in	ns	ns1.eftydns.com.
10.luxe.	172800	in	ns	ns2.eftydns.com.
10086.luxe.	3600	in	ns	vip1.alidns.com.
10086.luxe.	3600	in	ns	vip2.alidns.com.
101765.luxe.	3600	in	ns	ns1.dyna-ns.net.
101765.luxe.	3600	in	ns	ns2.dyna-ns.net.
10685.luxe.	3600	in	ns	expire1.gname-dns.com.
10685.luxe.	3600	in	ns	expire2.gname-dns.com.
10u1soh6otuq375v4320nmrj33khm920.luxe.	900	in	nsec3	1 1 0 - 17HDHG8NE4LIUDIFH1RT32L5E3UFG9J7 NS DS RRSIG
10u1soh6otuq375v4320nmrj33khm920.luxe.	900	in	rrsig	NSEC3 8 2 900 20250904182715 20250821174456 1560 luxe. XVAd6anzUEi6zVH1X3ln085rlkBAf3jS9eYWLwN89d1MBbuDJfRnXSNT6FzOg4hEUJTok1nhmP0A55M/YL9pwuHaUJBAIrp+o1n/hTc+1EEv4kmNPH6fSdH/9aPIbslqvlSpVps4XQnCiVebV6hFK8Z8ehJSw7HChc1x/WKw8iz1NVbEZBjrsaMCgYbnR9A//3UYlUa6MqB2V60Ly1J6EQ==
11.luxe.	172800	in	ns	dns10.hichina.com.
11.luxe.	172800	in	ns	dns9.hichina.com.
110386.luxe.	3600	in	ns	ns1.dyna-ns.net.
110386.luxe.	3600	in	ns	ns2.dyna-ns.net.
1111.luxe.	3600	in	ns	dns17.hichina.com.
1111.luxe.	3600	in	ns	dns18.hichina.com.
11332.luxe.	3600	in	ns	expire1.gname-dns.com.
11332.luxe.	3600	in	ns	expire2.gname-dns.com.
11524.luxe.	3600	in	ns	expire1.gname-dns.com.
11524.luxe.	3600	in	ns	expire2.gname-dns.com.
11659.luxe.	3600	in	ns	expire1.gname-dns.com.
11659.luxe.	3600	in	ns	expire2.gname-dns.com.
11a.luxe.	3600	in	ns	dns29.hichina.com.
11a.luxe.	3600	in	ns	dns30.hichina.com.
11b.luxe.	3600	in	ns	dns27.hichina.com.
11b.luxe.	3600	in	ns	dns28.hichina.com.
11f.luxe.	3600	in	ns	dns19.hichina.com.
11f.luxe.	3600	in	ns	dns20.hichina.com.
11g.luxe.	3600	in	ns	dns17.hichina.com.
11g.luxe.	3600	in	ns	dns18.hichina.com.
11h.luxe.	3600	in	ns	dns15.hichina.com.
11h.luxe.	3600	in	ns	dns16.hichina.com.
11j.luxe.	3600	in	ns	dns11.hichina.com.
11j.luxe.	3600	in	ns	dns12.hichina.com.
11k.luxe.	3600	in	ns	dns10.hichina.com.
11k.luxe.	3600	in	ns	dns9.hichina.com.
11m.luxe.	3600	in	ns	dns3.hichina.com.
11m.luxe.	3600	in	ns	dns4.hichina.com.
11n.luxe.	3600	in	ns	dns1.hichina.com.
11n.luxe.	3600	in	ns	dns2.hichina.com.
11p.luxe.	3600	in	ns	dns29.hichina.com.
11p.luxe.	3600	in	ns	dns30.hichina.com.
11q.luxe.	3600	in	ns	dns27.hichina.com.
11q.luxe.	3600	in	ns	dns28.hichina.com.
11s.luxe.	3600	in	ns	dns23.hichina.com.
11s.luxe.	3600	in	ns	dns24.hichina.com.
11t.luxe.	3600	in	ns	dns21.hichina.com.
11t.luxe.	3600	in	ns	dns22.hichina.com.
11u.luxe.	3600	in	ns	dns19.hichina.com.
11u.luxe.	3600	in	ns	dns20.hichina.com.
11v.luxe.	3600	in	ns	dns17.hichina.com.
11v.luxe.	3600	in	ns	dns18.hichina.com.
11x.luxe.	3600	in	ns	dns13.hichina.com.
11x.luxe.	3600	in	ns	dns14.hichina.com.
11y.luxe.	3600	in	ns	dns11.hichina.com.
11y.luxe.	3600	in	ns	dns12.hichina.com.
11z.luxe.	3600	in	ns	dns10.hichina.com.
11z.luxe.	3600	in	ns	dns9.hichina.com.
12.luxe.	172800	in	ns	ns1.eftydns.com.
12.luxe.	172800	in	ns	ns2.eftydns.com.
123.luxe.	3600	in	ns	ns1.dan.com.
123.luxe.	3600	in	ns	ns2.dan.com.
123123.luxe.	172800	in	ns	ns7.alidns.com.
123123.luxe.	172800	in	ns	ns8.alidns.com.
123456.luxe.	3600	in	ns	dns17.hichina.com.
123456.luxe.	3600	in	ns	dns18.hichina.com.
123b.luxe.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.luxe.	3600	in	ns	sandy.ns.cloudflare.com.
123win.luxe.	3600	in	ns	donovan.ns.cloudflare.com.
123win.luxe.	3600	in	ns	frida.ns.cloudflare.com.
12694.luxe.	3600	in	ns	expire1.gname-dns.com.
12694.luxe.	3600	in	ns	expire2.gname-dns.com.
12769.luxe.	3600	in	ns	curitiba.ns.porkbun.com.
12769.luxe.	3600	in	ns	fortaleza.ns.porkbun.com.
12769.luxe.	3600	in	ns	maceio.ns.porkbun.com.
12769.luxe.	3600	in	ns	salvador.ns.porkbun.com.
128sports.luxe.	3600	in	ns	aldo.ns.cloudflare.com.
128sports.luxe.	3600	in	ns	hattie.ns.cloudflare.com.
12a.luxe.	3600	in	ns	dns27.hichina.com.
12a.luxe.	3600	in	ns	dns28.hichina.com.
12b.luxe.	3600	in	ns	dns25.hichina.com.
12b.luxe.	3600	in	ns	dns26.hichina.com.
12c.luxe.	3600	in	ns	dns23.hichina.com.
12c.luxe.	3600	in	ns	dns24.hichina.com.
12f.luxe.	3600	in	ns	dns17.hichina.com.
12f.luxe.	3600	in	ns	dns18.hichina.com.
12g.luxe.	3600	in	ns	dns15.hichina.com.
12g.luxe.	3600	in	ns	dns16.hichina.com.
12h.luxe.	3600	in	ns	dns13.hichina.com.
12h.luxe.	3600	in	ns	dns14.hichina.com.
12j.luxe.	3600	in	ns	dns10.hichina.com.
12j.luxe.	3600	in	ns	dns9.hichina.com.
12k.luxe.	3600	in	ns	dns7.hichina.com.
12k.luxe.	3600	in	ns	dns8.hichina.com.
12l.luxe.	3600	in	ns	dns3.hichina.com.
12l.luxe.	3600	in	ns	dns4.hichina.com.
12m.luxe.	3600	in	ns	dns1.hichina.com.
12m.luxe.	3600	in	ns	dns2.hichina.com.
12n.luxe.	3600	in	ns	dns31.hichina.com.
12n.luxe.	3600	in	ns	dns32.hichina.com.
12s.luxe.	3600	in	ns	dns21.hichina.com.
12s.luxe.	3600	in	ns	dns22.hichina.com.
12u.luxe.	3600	in	ns	dns19.hichina.com.
12u.luxe.	3600	in	ns	dns20.hichina.com.
12x.luxe.	3600	in	ns	dns25.hichina.com.
12x.luxe.	3600	in	ns	dns26.hichina.com.
12y.luxe.	3600	in	ns	dns27.hichina.com.
12y.luxe.	3600	in	ns	dns28.hichina.com.
12z.luxe.	3600	in	ns	dns29.hichina.com.
12z.luxe.	3600	in	ns	dns30.hichina.com.
13.luxe.	172800	in	ns	ns1.eftydns.com.
13.luxe.	172800	in	ns	ns2.eftydns.com.
1314.luxe.	3600	in	ns	dns1.hichina.com.
1314.luxe.	3600	in	ns	dns2.hichina.com.
13168.luxe.	3600	in	ns	expire1.gname-dns.com.
13168.luxe.	3600	in	ns	expire2.gname-dns.com.
1327.luxe.	3600	in	ns	expire1.gname-dns.com.
1327.luxe.	3600	in	ns	expire2.gname-dns.com.
1337.luxe.	3600	in	ns	ns59.dnsiaas.com.
1337.luxe.	3600	in	ns	ns60.dnsiaas.com.
13651.luxe.	3600	in	ns	ns1.dyna-ns.net.
13651.luxe.	3600	in	ns	ns2.dyna-ns.net.
138946.luxe.	3600	in	ns	ns1.dyna-ns.net.
138946.luxe.	3600	in	ns	ns2.dyna-ns.net.
13l9x.luxe.	3600	in	ns	dns7.hichina.com.
13l9x.luxe.	3600	in	ns	dns8.hichina.com.
14.luxe.	172800	in	ns	ns1.eftydns.com.
14.luxe.	172800	in	ns	ns2.eftydns.com.
144561.luxe.	3600	in	ns	ns1.dyna-ns.net.
144561.luxe.	3600	in	ns	ns2.dyna-ns.net.
14494.luxe.	3600	in	ns	expire1.gname-dns.com.
14494.luxe.	3600	in	ns	expire2.gname-dns.com.
14572.luxe.	3600	in	ns	curitiba.ns.porkbun.com.
14572.luxe.	3600	in	ns	fortaleza.ns.porkbun.com.
14572.luxe.	3600	in	ns	maceio.ns.porkbun.com.
14572.luxe.	3600	in	ns	salvador.ns.porkbun.com.
147535.luxe.	3600	in	ns	ns1.dyna-ns.net.
147535.luxe.	3600	in	ns	ns2.dyna-ns.net.
14838.luxe.	3600	in	ns	expire1.gname-dns.com.
14838.luxe.	3600	in	ns	expire2.gname-dns.com.
15.luxe.	172800	in	ns	ns1.eftydns.com.
15.luxe.	172800	in	ns	ns2.eftydns.com.
15626.luxe.	3600	in	ns	expire1.gname-dns.com.
15626.luxe.	3600	in	ns	expire2.gname-dns.com.
15b.luxe.	3600	in	ns	dns17.hichina.com.
15b.luxe.	3600	in	ns	dns18.hichina.com.
15f.luxe.	3600	in	ns	dns13.hichina.com.
15f.luxe.	3600	in	ns	dns14.hichina.com.
15g.luxe.	3600	in	ns	dns11.hichina.com.
15g.luxe.	3600	in	ns	dns12.hichina.com.
15h.luxe.	3600	in	ns	dns10.hichina.com.
15h.luxe.	3600	in	ns	dns9.hichina.com.
15j.luxe.	3600	in	ns	dns3.hichina.com.
15j.luxe.	3600	in	ns	dns4.hichina.com.
15k.luxe.	3600	in	ns	dns1.hichina.com.
15k.luxe.	3600	in	ns	dns2.hichina.com.
15l.luxe.	3600	in	ns	dns31.hichina.com.
15l.luxe.	3600	in	ns	dns32.hichina.com.
15m.luxe.	3600	in	ns	dns29.hichina.com.
15m.luxe.	3600	in	ns	dns30.hichina.com.
15n.luxe.	3600	in	ns	dns27.hichina.com.
15n.luxe.	3600	in	ns	dns28.hichina.com.
15p.luxe.	3600	in	ns	dns23.hichina.com.
15p.luxe.	3600	in	ns	dns24.hichina.com.
15q.luxe.	3600	in	ns	dns21.hichina.com.
15q.luxe.	3600	in	ns	dns22.hichina.com.
15r.luxe.	3600	in	ns	dns19.hichina.com.
15r.luxe.	3600	in	ns	dns20.hichina.com.
15s.luxe.	3600	in	ns	dns17.hichina.com.
15s.luxe.	3600	in	ns	dns18.hichina.com.
15t.luxe.	3600	in	ns	dns15.hichina.com.
15t.luxe.	3600	in	ns	dns16.hichina.com.
15u.luxe.	3600	in	ns	dns13.hichina.com.
15u.luxe.	3600	in	ns	dns14.hichina.com.
15v.luxe.	3600	in	ns	dns11.hichina.com.
15v.luxe.	3600	in	ns	dns12.hichina.com.
15w.luxe.	3600	in	ns	dns10.hichina.com.
15w.luxe.	3600	in	ns	dns9.hichina.com.
15y.luxe.	3600	in	ns	dns3.hichina.com.
15y.luxe.	3600	in	ns	dns4.hichina.com.
15z.luxe.	3600	in	ns	dns1.hichina.com.
15z.luxe.	3600	in	ns	dns2.hichina.com.
16.luxe.	172800	in	ns	ns1.eftydns.com.
16.luxe.	172800	in	ns	ns2.eftydns.com.
16314.luxe.	3600	in	ns	expire1.gname-dns.com.
16314.luxe.	3600	in	ns	expire2.gname-dns.com.
167e0.luxe.	3600	in	ns	james.ns.cloudflare.com.
167e0.luxe.	3600	in	ns	zita.ns.cloudflare.com.
1688.luxe.	172800	in	ns	dns21.hichina.com.
1688.luxe.	172800	in	ns	dns22.hichina.com.
16888.luxe.	3600	in	ns	dns10.hichina.com.
16888.luxe.	3600	in	ns	dns9.hichina.com.
16b.luxe.	3600	in	ns	dns19.hichina.com.
16b.luxe.	3600	in	ns	dns20.hichina.com.
16f.luxe.	3600	in	ns	dns11.hichina.com.
16f.luxe.	3600	in	ns	dns12.hichina.com.
16g.luxe.	3600	in	ns	dns10.hichina.com.
16g.luxe.	3600	in	ns	dns9.hichina.com.
