0q26hbtknsij9if0162l37eidv2v2qso.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. FzIz/UK75d2ZbNcaQzzI9E08COKj5oXdAh8Q9lEUz4+RtZNMSI1oNsTNT8hu5kh4xOky+fnv7uJ0x+ZvckcMU1xp1s3Ut70JCgC6+O54HYLdRCIy6rBVtONTo4kalHPLMBMZ4wcRL/PCu45vznuqwU+T2FsdrwHygMZ5hXu30Wc=
0q83lp080v5oq1l3tcic4k620egoju2r.properties.	3600	in	nsec3	1 1 0 73 0TJV1D629BH9JBCDPBJ094ETVRA90F99 NS DS RRSIG
0q83lp080v5oq1l3tcic4k620egoju2r.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. jZ0dJcmdDXL+Zzoc2/KkZDYW2TDRuGZZS3mBlNjprH6vErkMHT/K0XDpGXpnsbg84L80t9Qmm5cBrf6nAxumxMkb85cHprmGjTUVgWKjCLsYCGY9MTxeOl4NNYN4gZmVJmNoaJOHS7D5BjHA5WOLaqeQNoTFnM0IVmEp+qI9Oy8=
0tjv1d629bh9jbcdpbj094etvra90f99.properties.	3600	in	nsec3	1 1 0 73 10PQP8HLKIH73DHM4G3RF18S4KQJDAVC NS DS RRSIG
0tjv1d629bh9jbcdpbj094etvra90f99.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. tjS2flyvIhvLj7eyelpLYGiGWZ0auPmsjO+Q8bLqua/HvkZC1PwaZERcvIMlMA7eNVcGj2pT01nDeoPUGFc0UaBhFZ399+fYKOKneTDnfDPkAXSQK7JFgJTeEIigIQfLR/ZjpAii6kTMygxbt0PGsRdkiuRagcCXzc6YbptF3ks=
1-a.properties.	3600	in	ns	ns-de.1and1-dns.biz.
1-a.properties.	3600	in	ns	ns-de.1and1-dns.com.
1-a.properties.	3600	in	ns	ns-de.1and1-dns.de.
1-a.properties.	3600	in	ns	ns-de.1and1-dns.org.
100.properties.	3600	in	ns	dns1.registrar-servers.com.
100.properties.	3600	in	ns	dns2.registrar-servers.com.
1000.properties.	3600	in	ns	dns1.registrar-servers.com.
1000.properties.	3600	in	ns	dns2.registrar-servers.com.
10007.properties.	3600	in	ns	ns1.sedoparking.com.
10007.properties.	3600	in	ns	ns2.sedoparking.com.
1011.properties.	3600	in	ns	ns03.domaincontrol.com.
1011.properties.	3600	in	ns	ns04.domaincontrol.com.
101premium.properties.	3600	in	ns	ns1.dyna-ns.net.
101premium.properties.	3600	in	ns	ns2.dyna-ns.net.
1031.properties.	3600	in	ns	ns11.domaincontrol.com.
1031.properties.	3600	in	ns	ns12.domaincontrol.com.
1031exchange.properties.	3600	in	ns	chloe.ns.cloudflare.com.
1031exchange.properties.	3600	in	ns	robert.ns.cloudflare.com.
108.properties.	3600	in	ns	alina.ns.cloudflare.com.
108.properties.	3600	in	ns	cameron.ns.cloudflare.com.
1099.properties.	3600	in	ns	ns45.domaincontrol.com.
1099.properties.	3600	in	ns	ns46.domaincontrol.com.
10k.properties.	3600	in	ns	ns49.domaincontrol.com.
10k.properties.	3600	in	ns	ns50.domaincontrol.com.
10pqp8hlkih73dhm4g3rf18s4kqjdavc.properties.	3600	in	nsec3	1 1 0 73 1232TIUTB5VBM7J43E5HL1GHQKFSE34M NS DS RRSIG
10pqp8hlkih73dhm4g3rf18s4kqjdavc.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. n+Ugyy0yea9KUKIrXXsBzpGa1pJIrTs31Amyi8eZO2/rM2Cu8g6qmNiJPoWJihOlpZFUr6rpeWz2VMyKoCm1oKIC7eI0LWejOlhuU6M3c5pSY/MTC3XpF4a0Ln7blGGou4lbKEwJAfk3ZDi+02x6DdUQnlGajHvdJ4lQMSQOVqk=
10xlanddevelopment.properties.	3600	in	ns	ns51.domaincontrol.com.
10xlanddevelopment.properties.	3600	in	ns	ns52.domaincontrol.com.
1111.properties.	3600	in	ns	ns77.domaincontrol.com.
1111.properties.	3600	in	ns	ns78.domaincontrol.com.
1147.properties.	3600	in	ds	13759 8 2 E60ABAFF72B8D31EB4E825F862D81F88BDC568FA4994394DB9D8BF15B60AAEF2
1147.properties.	3600	in	ns	ns-cloud-b1.googledomains.com.
1147.properties.	3600	in	ns	ns-cloud-b2.googledomains.com.
1147.properties.	3600	in	ns	ns-cloud-b3.googledomains.com.
1147.properties.	3600	in	ns	ns-cloud-b4.googledomains.com.
1147.properties.	3600	in	rrsig	DS 8 2 3600 20250916152304 20250826142304 13023 properties. i+sbz9LcoWnF28k3oSRx9yQM0fbWLYS89PEKHKFdeEZ+NOP+n2lRMXnUhdKODHhf9VF8CAVsRhBZLzFw2vxRRWFh92az6SFIGA2KJ5wxMZO2pgVPlXdWCFyouUQ0u8ZNLp/wDU7HOgpb8ptjOKnytQ7Ic3Ap5IvRrmseVnHigRw=
11bet.properties.	3600	in	ns	ns1.dns-redirect.com.
11bet.properties.	3600	in	ns	ns2.dns-redirect.com.
11pines.properties.	3600	in	ns	ns1.turbify.com.
11pines.properties.	3600	in	ns	ns2.turbify.com.
121.properties.	3600	in	ns	ns69.domaincontrol.com.
121.properties.	3600	in	ns	ns70.domaincontrol.com.
1232tiutb5vbm7j43e5hl1ghqkfse34m.properties.	3600	in	nsec3	1 1 0 73 12MNRSTIBV2MT4JKM489H90UDFGA3RS1 NS DS RRSIG
1232tiutb5vbm7j43e5hl1ghqkfse34m.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. PWheLZvyFQHFkLx111qkcS+ITpYO4NmQyCNg0xL3zURlJUHEKfOR0KAG+JxDPpwhtPPCCIt0jE0HHffr3M3nubD1okrUaD1JiGlHNydUfw1O6JCXMwBX1d6Q0u0+Up3EumWDJDo68QT2DsaK4TCuyzCttotsuR6AIz1Zfm/uUY8=
123b.properties.	3600	in	ns	a1.share-dns.com.
123b.properties.	3600	in	ns	b1.share-dns.net.
123cape.properties.	3600	in	ns	ns1.fliix-domains.de.
123cape.properties.	3600	in	ns	ns2.fliix-domains.com.
128.properties.	3600	in	ns	ns73.domaincontrol.com.
128.properties.	3600	in	ns	ns74.domaincontrol.com.
12mnrstibv2mt4jkm489h90udfga3rs1.properties.	3600	in	nsec3	1 1 0 73 14A4P4KM47MP4AA9G2MHMOGR5GESFORI NS DS RRSIG
12mnrstibv2mt4jkm489h90udfga3rs1.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. MiaVxiYqGX8jvEXqV/CUs+q1OYu9SxTxjzD1lgpejR7Px8lFLGPqOHpROXLg6RWe/3ayITaCk+1Mx2kx0jqKbc5JOTdVD8LwJ10QeKP3jzxvZr/j/oB/wPSaopQIFGy+w9Xo13m6dCuw2/KxIHPrkSl0HK1XaBLNsgPh3MlTNtE=
1337.properties.	3600	in	ns	ns1.dns-redirect.com.
1337.properties.	3600	in	ns	ns2.dns-redirect.com.
1337mushroom.properties.	3600	in	ns	dns1.registrar-servers.com.
1337mushroom.properties.	3600	in	ns	dns2.registrar-servers.com.
1418coffee.properties.	3600	in	ns	ns33.domaincontrol.com.
1418coffee.properties.	3600	in	ns	ns34.domaincontrol.com.
147percent.properties.	3600	in	ns	ns1039.ui-dns.com.
147percent.properties.	3600	in	ns	ns1048.ui-dns.de.
147percent.properties.	3600	in	ns	ns1105.ui-dns.biz.
147percent.properties.	3600	in	ns	ns1121.ui-dns.org.
14a4p4km47mp4aa9g2mhmogr5gesfori.properties.	3600	in	nsec3	1 1 0 73 154KG63L5BS4AI38BNA6HQK5RBPIGEO0 NS DS RRSIG
14a4p4km47mp4aa9g2mhmogr5gesfori.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. BkK2R3OzzTjND6Nlzq9LF/m4q1u3OSbe0/DWptRlF8ZNQyQojn5N2Kk48zg3AJL/eIlcLVYknEBqKOLb6+q/0nEF0BMqVRJs/C0cmirWTnCQOozsKDAVxLCEgySHrL1ixFr1Nrc9gP924riFsXe6BF/SlHqGiiyNIuCK9CvJI/w=
154kg63l5bs4ai38bna6hqk5rbpigeo0.properties.	3600	in	nsec3	1 1 0 73 15DFMERTK4D663KEVG6FP7NHA60H7DTK NS DS RRSIG
154kg63l5bs4ai38bna6hqk5rbpigeo0.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. J1BGf8HGYewKfr8Bq9Ol8cNpl/d6SRD0qBuA1uGKPKWqT63/Az/ctquVvpje1h+epbb77XPXaKvsnoVe6h4v9JAVr75VBVu9Iy+O0wy/CYCWb/Fbc9mueGQfvi2DjBQPXk5C/EA9k9raHB35P8nZfSvM8FarAeKXx6JO1X9aDds=
15dfmertk4d663kevg6fp7nha60h7dtk.properties.	3600	in	nsec3	1 1 0 73 15SGG4O8JAQ8ULP1J2491RDVSKA5S04K NS DS RRSIG
15dfmertk4d663kevg6fp7nha60h7dtk.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. CUXkBvmlj1PhZpL7oRz++DrpTKkAu0R4YLu8HWSX46JIV2pqRLD2mtdrvugAY29QlZC+9jiKL+I5aDiuLXgtsXio9x+7335pKj+tTp9n6XsRD/1xMN+o/g49hVC0ou0Gw1tk5xALaqF4uYFrhfTf7k0MOT0ZC2IaE/kSfMckS7k=
15e.properties.	3600	in	ds	32651 8 2 DB3461BD53FA11C129B3262E9008EFF57CCF3BF70D5AAE47E569712E97FBD38D
15e.properties.	3600	in	ns	ns-cloud-a1.googledomains.com.
15e.properties.	3600	in	ns	ns-cloud-a2.googledomains.com.
15e.properties.	3600	in	ns	ns-cloud-a3.googledomains.com.
15e.properties.	3600	in	ns	ns-cloud-a4.googledomains.com.
15e.properties.	3600	in	rrsig	DS 8 2 3600 20250916152304 20250826142304 13023 properties. y4WrYYwLf60hS6WDcpzTCNoenJQHzFvsGOJ3WLWFphklfmegsEayvwiehomx3qasFh5tjAZ1c61d5IB0h+7dbWmbFx5mSphsYn+NqkgnGtCuc2TqE0MnRKJ5OMqHu3+0S4Kwe1YxWlFOPR0dMRnRTIPpb1zB4PRpDKtZ6ox2TEs=
15sgg4o8jaq8ulp1j2491rdvska5s04k.properties.	3600	in	nsec3	1 1 0 73 1797I34PEGELVTSPMPPICLVLDEFIUU7V NS DS RRSIG
15sgg4o8jaq8ulp1j2491rdvska5s04k.properties.	3600	in	rrsig	NSEC3 8 2 3600 20250916152304 20250826142304 13023 properties. HT41JymqboCUwjYhilY9Ix50U7tHIN3+q3TrhT5IapdQU6p8DuOk2EHiwLO51DUy1i9s47JMnzYatJ/bd4ty1Rx6M6ElmPJMZJNKv2jnj0vURSpIhKT8C9l/t728IfEklxUPxf2ws1ZL3KfobnqBLmDm9U0+KFT8Xnl0Fzrhstg=
1688.properties.	3600	in	ns	ns1.sedoparking.com.
1688.properties.	3600	in	ns	ns2.sedoparking.com.
174kingst.properties.	3600	in	ns	ns13.domaincontrol.com.
174kingst.properties.	3600	in	ns	ns14.domaincontrol.com.
1797i34pegelvtspmppiclvldefiuu7v.properties.	3600	in	nsec3	1 1 0 73 18PJLSD62PB28CKGRKPT9NK2D0HUQGGQ NS DS RRSIG
