barcelona.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601241559 7200 7200 604800 900
067i6o0ushimukttg9ila4mln0v0q8fg.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. nFLjE07HUENas7ABDq1MtHj9RhZU1H9zZ7ty6iTuiKOR+A+cWKs5aqzMZhU5QUyk+vOcN8KLPPG/ReL3JeYjaBoulMgfI/q/3HCBu0KVGkij6oY1np7mS4z1zwWrxHcEyyzTe+Tm8uvaQCQutfRm7G8OgPz8jVGdCH4tyOktAfQGa6ugVb3R+4lkyOKQipFqXMBjjVuN/4ca5vxxioHJGQ==
069q6g26m5bq4arhfuhpbvn7vmb44gbi.barcelona.	43200	in	nsec3	1 0 0 - 06GGRM83TETSSV67UAOLIK0E53RTDB94 NS
069q6g26m5bq4arhfuhpbvn7vmb44gbi.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. XKaXcJt5AjutGifhczmnvh73z042RrZELU3d5rXCbiwuNAkPdmiSsX+GTyK6rA++FD5w0khfVJvlZhdLfZnIucw8FjXkVMZnnGwQVtl4EFjknPxOgges/ZRuQayIL1b0Ew6E5Ccx9p7IghXTIFO0bmlNv7V05+jj62qOIzEPu7z9D5tUx2IMhify/+9BThwTu7dAhmo/AF7kktb42cFVWw==
06ggrm83tetssv67uaolik0e53rtdb94.barcelona.	43200	in	nsec3	1 0 0 - 06IC6QE5B5OVG1SUK0C3C038TIOAL85V NS
06ggrm83tetssv67uaolik0e53rtdb94.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. w7Ca4d4p4rVb5xWHxolY6vupSFKPueD79Si/pft/g/a6jWxQKfkviUdpVqfJZQUhaxm/A3j385GU5XjmLdThmg/S/7ZJWqCLxnmJOyEMBDjgcNeDrbFmBY9EczPTYIS6+FR+MvfOzoIqh/tR5hxOdPLKxEv/ABOEbXlO5n//k3GzQHzEo+Xt+WE3FMWOp6j3oJJ5s+AYiVU0s3TjMzQ7yA==
06ic6qe5b5ovg1suk0c3c038tioal85v.barcelona.	43200	in	nsec3	1 0 0 - 06N92EAAI35DFV3KI4O73RVSRBU9SN15 NS
06ic6qe5b5ovg1suk0c3c038tioal85v.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. giq9hq+cAsXWBH952hda950WNWjaHMnInZuJTJLg/5pTcXeY6rlGJ59NlXH+pSGqfrPwEANCtlNOXr14xbv2kjppSODJjY73nw5LNpz2AjdOx9CaVeHWsQbEsvuufBg/yVpAHsJxoqfKJ4bTRJcurMBKTANhc72YXzzNZXGEurzz1+GpVc+YZZQg/7qg0xT0tx7y/4ycxXwfu0XoO5b5bA==
06n92eaai35dfv3ki4o73rvsrbu9sn15.barcelona.	43200	in	nsec3	1 0 0 - 06NLF4APNA2AJGE5C5VBQQUNBLC6OB69 NS
06n92eaai35dfv3ki4o73rvsrbu9sn15.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. cDMbxS/UXb3FkvTcWA/eQ4pn4fAf+G8QCPf/lc1S8s5bgFW2bJ+NALsQRmrqp4xA2HucYkIMOuZcZ2TXQlgvbVGACKp7Hq+eF0O6Q2k3W3reej0m8vCQEM1lo4OS7J9yazZb8n7ohLq+V794OzERM17QgNivqdLaBxGt4ZdC0s2XkrO+EE/d0n4Axp7G+i0xk1Wa99KSe6A6SPq5U877GQ==
06nlf4apna2ajge5c5vbqqunblc6ob69.barcelona.	43200	in	nsec3	1 0 0 - 06RD1LUTJJ903TLNKAPQJR0D97IHCD6D NS
06nlf4apna2ajge5c5vbqqunblc6ob69.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. 2o1qySf/4k7Mqdgyw1EnoPtjJX7wUsfmHMKNSCjHXJaMi3w8cL4s9nWN6gQtTiurOcU8q5xCFCydhsfHtB3s2i0IXF5w2A8d5YQHZKaBmb2ROilmXY+Kw8gCvJAwYnEZnrUCmUusHRhqPYDRUTd88ljj4Uh+6h65QrZsJi3M34n3VCaTF6ZwJk+nMxRiM9jAxYOeuHxVnkuxy/+V0VCuow==
06rd1lutjj903tlnkapqjr0d97ihcd6d.barcelona.	43200	in	nsec3	1 0 0 - 070JLP8R0ME7K39U054HGE1UF8CANJ8H NS
06rd1lutjj903tlnkapqjr0d97ihcd6d.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. Ohcc7QZkyiYV6rKzSxxhSeo8hz56+4n/xEzsF68+DPJ1lt3naDy3VkfOz86wPaK1CDc4H7Dmv8vKnmbQAbAEF7fCdDC53WpRyaaUSTWoXIf4YmhpjGdOo2hRToE55LUMhUgBwyWJK6AfQGev0ieZgwW0XL3nmqGM2zAu8IOOWBj5QlQqN2iJsNv4o8lbntgFlTaSC3hs9VfIsSQZF6so1g==
070jlp8r0me7k39u054hge1uf8canj8h.barcelona.	43200	in	nsec3	1 0 0 - 07H4K17KQ6EV73M24OCPCRFK958ITBRJ NS
070jlp8r0me7k39u054hge1uf8canj8h.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. uPSsTdA6z6nl/hwQUSwvPNLgwXUT0So9/osbyAO+EwfBT/1mFb4JxWTEbU09pCpNoUufWQbeM1OX/GDYACWKTY3bRfulbhIwowRSgePgwuw67aY05sMKSFlVUM1JA6egyV9d+AttMhn6SUf2SKhlalpIMMPRFGdtGlbeDSrketLH9d+4YkG72vjJso1U0ACvz41dMIFyHflifYtq9lw9Tw==
07h4k17kq6ev73m24ocpcrfk958itbrj.barcelona.	43200	in	nsec3	1 0 0 - 07MNHL7V5V1DFGS0FH332H65FBVF6BC6 NS
07h4k17kq6ev73m24ocpcrfk958itbrj.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. O24Bbcj7jdKrMJESEyJ1vzmYxJofw20ZT7gCeLNVyBJ5vBZUjN0dDIRTlFNS13+YpSp97gRK19bN7Jnm/yWPVf9hIFKKRx73emV16P1wzUmxdn7LaaY8sASHhVMEPFh08mqCdf+qT5jJwLZlKuBZjSDduc+7YX77XTdZxJqGjPDdveoBQi9WWH4a93hfJTKRwWVKr+aqtNBRfTw3F2+wrA==
07mnhl7v5v1dfgs0fh332h65fbvf6bc6.barcelona.	43200	in	nsec3	1 0 0 - 07V6MI27MSDUVJDP2KS0SM26607C0164 NS
07mnhl7v5v1dfgs0fh332h65fbvf6bc6.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. DCDfAaRhCL5CwuqglKUpX+d4V861cpHbQqeVJ0TDn3arNzlk0Vz5o9j3aFdPSMFxcYxGXLqjkwInBFG/ZDS+bdl9Cr17yEVN4oSnqyLpdIoUce8fY0sgJLa4iIAc7yXJzb5X/jqQBEvvNdSaE1VU3AMa5peOL7djOHRhvvPJpcU7VFvnYDV5O461XayqXEeQrFF90i7NSli9koc5hkjn7w==
07v6mi27msduvjdp2ks0sm26607c0164.barcelona.	43200	in	nsec3	1 0 0 - 08E0G543S0G5N990CONE9BGGHBRJC7M3 NS
07v6mi27msduvjdp2ks0sm26607c0164.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. wHspq6fQTmxPQPtr0uDrbIWmewIV7abn6zU07jdhSqVkTkLZVD8EJ6+s4oAykItylnxtob9fc815FKGa0ssZBu0k6arUfV4gn3CAWhOIfXZVRui/xSBUEPT+soalk4rH8NqVrsIrpjqZrdABTZ0rIQI4bYq5BykVGeA5G+/2WhJLv91ZyAMH8LSP17XWYDxA5G4GQMONWWaVF8WN9npeeA==
08001.barcelona.	86400	in	ns	ns45.domaincontrol.com.
08001.barcelona.	86400	in	ns	ns46.domaincontrol.com.
08e0g543s0g5n990cone9bgghbrjc7m3.barcelona.	43200	in	nsec3	1 0 0 - 08ILMU12V185V1JDSEPDQND61HBNPNOJ NS
08e0g543s0g5n990cone9bgghbrjc7m3.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. ph1dM6d6BOinyLnUjhZ0e++LIDOaazE71gl2N1k6empbdQoPyIaSYBvm+1VYNpRtGhsVhXDkfhWEQrJ4PFCJpj0FHM0NMVU0XWJ0eZwsU52sktT2zl9fFZGjM8FfqwDbOD/sZ365MRfqvdOPBIqMvMsnzTz35GmR4MCJqcBrRfEN42gpa43QuQThM4QQdLUUhHvYJgv/FsjZ1ZD+gxpnsA==
