07tp6dln904icm2fn3qpbf8k5r1uic0p.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. k+FEM0dYZE7NhvDHGQiz5Wx0gHo/UQ0r5EkvYK35sZwgbpRFFmJjlZOhew4TvgdjBBXabVuNDtN4MPzkvyCy1Rd/F/MiVMHpoy/jjhzoNRSzIdDHnYYR061OEZaPuds01GMe5e35jgH9II2vP97lEZOVEYx6eCIVaHLEkgiMG10=
080.coffee.	3600	in	ns	jobs.ns.cloudflare.com.
080.coffee.	3600	in	ns	maria.ns.cloudflare.com.
08008.coffee.	3600	in	ns	ns35.domaincontrol.com.
08008.coffee.	3600	in	ns	ns36.domaincontrol.com.
08458iaoamas2pd5ei1qqj1p0bs5abqa.coffee.	3600	in	nsec3	1 1 0 73 0A7BU5HL9TSQH5MNU3TI6N1ULLKAH8OA NS DS RRSIG
08458iaoamas2pd5ei1qqj1p0bs5abqa.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. dzZlZYNojCeQXXKohxvNcNTQTUkFw/GzjCWM9+1P1BrN6/I+ffFt6Hf1LpU93gBXgeB8BHSiwgvKC+CgNwM3OvkH0AvVg3LlPJtWIIXSMqWAaFusmY7f7as/Q3x49NOie+L4Wf6ZF+wZC/574Gd6gaoHkj0E5u88puXKJwgqsjU=
0a7bu5hl9tsqh5mnu3ti6n1ullkah8oa.coffee.	3600	in	nsec3	1 1 0 73 0AJL3S2C2TOLP9JO4OM2TS52T6IJBHMN NS DS RRSIG
0a7bu5hl9tsqh5mnu3ti6n1ullkah8oa.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. vnvVp2tLbCbo8w7MtB1Nqzprx7QF0NljpD2qxKzFj717p+YRLgMVEdSxT+rPXaSLqebQsK4wmqSuI6t3Hx7LUCEZVH4HEMtViVQkp5VQtbpscjjdLqYmF08oEZGgrEWQmct424Zgpelj6MRSqXD2LRKWvouqvBymscPN4QifnEk=
0ajl3s2c2tolp9jo4om2ts52t6ijbhmn.coffee.	3600	in	nsec3	1 1 0 73 0AJSNRC2H3C779IORAKVM13P7D73KMFO NS DS RRSIG
