1rd0f61cjosgpa3am9me2h4u3mm0ivj0.investments.	3600	in	nsec3	1 1 0 73 1T5TNM6LLL1S3BJE0DRPHUO8LJPA27JV NS DS RRSIG
1rd0f61cjosgpa3am9me2h4u3mm0ivj0.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. IG3tzknQQRHXmQ18eaucsInYtuMn0wI8NbWOOxzIDfBAhGVmsOpe47f7lVyBFyKiRB6VjhBUIaaTEC8NA7NV1FYymh1Q4UdELt1fPTQn6oQqzLD67ts0mXc9VRrFM8V/qhmdf882AsJJrPuy1hrU0OG6qwSMyD7F0Xjkqyl2SHg=
1rp3ybkrjv4jk.investments.	3600	in	ns	ns1.dyna-ns.net.
1rp3ybkrjv4jk.investments.	3600	in	ns	ns2.dyna-ns.net.
1stfinancial.investments.	3600	in	ns	ns41.domaincontrol.com.
1stfinancial.investments.	3600	in	ns	ns42.domaincontrol.com.
1t5tnm6lll1s3bje0drphuo8ljpa27jv.investments.	3600	in	nsec3	1 1 0 73 22VFHPTS28EEB00A45OSMV5SBGMTNRTO NS DS RRSIG
1t5tnm6lll1s3bje0drphuo8ljpa27jv.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. WJH0Wx1k+lXch+sQ+IL3s3z+XTA1wXGk62dJQ6NsulgdcnhZdaEb1NJyFgxcU4ndLxj47pNSq+F0MgT5xi4cwNOvpvp3sTOrf69ordKeW1NTQhYtKD6N8w2fLGVOgme/8tvDeLxNpShUhmFRmcC/YTwSDl9gUDl628Smu5vsZ4Y=
1win.investments.	3600	in	ns	ns1.pananames.com.
1win.investments.	3600	in	ns	ns2.pananames.com.
1win.investments.	3600	in	ns	ns3.pananames.com.
1win.investments.	3600	in	ns	ns4.pananames.com.
1xbet.investments.	3600	in	ns	ns1.dnsres.net.
1xbet.investments.	3600	in	ns	ns2.dnsres.net.
1xbet.investments.	3600	in	ns	ns3.dnsres.net.
21.investments.	3600	in	ns	ns1.dnx.com.
21.investments.	3600	in	ns	ns2.dnx.com.
21invest-france.investments.	3600	in	ns	dns15.ovh.net.
21invest-france.investments.	3600	in	ns	ns15.ovh.net.
21investfrance.investments.	3600	in	ns	dns15.ovh.net.
21investfrance.investments.	3600	in	ns	ns15.ovh.net.
22.investments.	3600	in	ns	dns1.registrar-servers.com.
22.investments.	3600	in	ns	dns2.registrar-servers.com.
22vfhpts28eeb00a45osmv5sbgmtnrto.investments.	3600	in	nsec3	1 1 0 73 25CMTOU08D0KKOK54C9PD132TRPJI3Q3 NS DS RRSIG
22vfhpts28eeb00a45osmv5sbgmtnrto.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. p1izlt66VKe2U4QQl5wTECqporLwUV2T2SMaP+7+2zvKk9Lbjm6sJPlOvgAiWZokCi8WwKIzv2Cxx6jUMHdjMU9fFaNZG2qYeUh/bYVCV2mrepUO1nPXY8XPB7sRIf5bagGDvf+RBc5tsrYX4H/kqFMdm9S1JneqOC1WEsXRFhc=
23.investments.	3600	in	ns	kayleigh.ns.cloudflare.com.
23.investments.	3600	in	ns	kevin.ns.cloudflare.com.
235.investments.	3600	in	ns	ns49.websitewelcome.com.
235.investments.	3600	in	ns	ns50.websitewelcome.com.
