023.group.	3600	in	ns	ns2.afternic.com.
024.group.	3600	in	ns	ns1.myhostadmin.net.
024.group.	3600	in	ns	ns2.myhostadmin.net.
024.group.	3600	in	ns	ns3.myhostadmin.net.
024.group.	3600	in	ns	ns4.myhostadmin.net.
024.group.	3600	in	ns	ns5.myhostadmin.net.
024.group.	3600	in	ns	ns6.myhostadmin.net.
025.group.	3600	in	ns	ns1.afternic.com.
025.group.	3600	in	ns	ns2.afternic.com.
0260.group.	3600	in	ns	ns63.domaincontrol.com.
0260.group.	3600	in	ns	ns64.domaincontrol.com.
0271nl7fjdchct7lo2r3uneaa4pc8q8d.group.	3600	in	nsec3	1 1 0 73 02K4SK6GJ9G47LQBUN87DH8SCJO8DGHO NS DS RRSIG
0271nl7fjdchct7lo2r3uneaa4pc8q8d.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. ToJaTvpUpJOR+H0qAeSRj3ocG6F6HBeON4PIEN3MqnQ4oz9sgMqfd15n8UAqRuzgDhFIm04F1GlxIpOP4RzYcDj2KMDCtKnP5nI92xXFdmIeetsHj2XY2X0g0izysrzTjh7ElbEygEqX8SHcbywhKbowy3Cdglxkbz4T2PXbLbE=
028.group.	3600	in	ns	ns1.afternic.com.
028.group.	3600	in	ns	ns2.afternic.com.
02hero.group.	3600	in	ns	homer.elasticle.cz.
02hero.group.	3600	in	ns	ns2.blueboard.cz.
02k4sk6gj9g47lqbun87dh8scjo8dgho.group.	3600	in	nsec3	1 1 0 73 02PF5OD36P91SFLKLTNQJ5AMDSU9JA5K NS DS RRSIG
02k4sk6gj9g47lqbun87dh8scjo8dgho.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. sI5V4TCeOSqJamDHK8QJG+UPZQG2C5fBnH1INq7vvsCRpeaXOOfH41E/R3vUZYT7sOuulNAvT2gIKjMW7fOHCe/sff2mcnfi7EEBo1/BcMe3EDVxrYP0ww2ivOvt3wGkAwywrQRIMsoZ+N8u6E+YLUXU2NfbEUdYXx42i2+OXl8=
02pf5od36p91sflkltnqj5amdsu9ja5k.group.	3600	in	nsec3	1 1 0 73 02RI1TFSJU9TQ76VT9CCDVSCPU5J8J0D NS DS RRSIG
02pf5od36p91sflkltnqj5amdsu9ja5k.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. OOea21ctGTy89iw3c+RNo/F2BwEPPqPD8jcGgwJbCEkeaXYizg+CynlQVjknSGdQeulgvWggWZQU2ZGr2XsXb+dMSiUZZPp4cRhIX7j2Cu7WzVVaD+jiJuWthY2oQv9g3zmNNTc4YcUTLiWY1iv7veQi3jJbl3o5rP6Jtxnz+MQ=
02ri1tfsju9tq76vt9ccdvscpu5j8j0d.group.	3600	in	nsec3	1 1 0 73 0367NBPJMS1PAQO250HA7FPIDUQ99C1J NS DS RRSIG
02ri1tfsju9tq76vt9ccdvscpu5j8j0d.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. r1F7WLwEWeDy8TwQvsyX+VlY7vPNnvPdgq2T+gJ68QsQ9dmLmNwUtOerjTe5GarQa6nOJFFwRkeOLzBVWRxKp3wSEqpy1cPTiDdjLRbLpXwGOu29Tn2SnIqBme7Eun/KsBCerC9bD9hqv3nTzt5AV/PUMOejvrkpzxZ/l4GBt0g=
02sfdxczcxzz1.group.	3600	in	ns	ns1.dyna-ns.net.
02sfdxczcxzz1.group.	3600	in	ns	ns2.dyna-ns.net.
03031010.group.	3600	in	ns	ns1.dyna-ns.net.
03031010.group.	3600	in	ns	ns2.dyna-ns.net.
0315.group.	3600	in	ns	dns13.hichina.com.
0315.group.	3600	in	ns	dns14.hichina.com.
036.group.	3600	in	ns	ns1053.ui-dns.com.
036.group.	3600	in	ns	ns1076.ui-dns.de.
036.group.	3600	in	ns	ns1076.ui-dns.org.
036.group.	3600	in	ns	ns1126.ui-dns.biz.
0367nbpjms1paqo250ha7fpiduq99c1j.group.	3600	in	nsec3	1 1 0 73 037E3HOTSTD7RC5F98LG73QQ6723A1K4 NS DS RRSIG
0367nbpjms1paqo250ha7fpiduq99c1j.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. aCX0fTi9tt7akSXJsk+21Dxf+ZCkK4ZIFmlHRApmy59CEHVAZSUpL+Yzcskc7EurBGuGpvFjstjUjXmwJUAwTcelAyhZ1Datf/w5SR48Lqb+4l+JU21BHTMfgDDS0lqIe8bRaOhKVvTTIBv4gFYMoc0RJEglwwmFRUo1ZhzaXj0=
037e3hotstd7rc5f98lg73qq6723a1k4.group.	3600	in	nsec3	1 1 0 73 039H1QIA0OCBO13A5DMGANV2LFIIOLSS NS DS RRSIG
037e3hotstd7rc5f98lg73qq6723a1k4.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. AEGGWZ8hj1o54Wvg6UH5Lb2NAIsRM+GoTTKqcCTsH4XKk6TVcB+v+kF1y/FswOiSHRsy+iw71g2NkA2phMruUFrKC8FuetgW6TSyMsbbxWPE119g7IoMgKk5ATNu06s0asiwcz7k3RM/KArLYPV42sJHk1SEHobxSFl+1xOOrXI=
0396.group.	3600	in	ns	dns7.hichina.com.
0396.group.	3600	in	ns	dns8.hichina.com.
039h1qia0ocbo13a5dmganv2lfiiolss.group.	3600	in	nsec3	1 1 0 73 03C9HQFKRBL9LOTOGRLVCCDFGGL2G4L8 NS DS RRSIG
039h1qia0ocbo13a5dmganv2lfiiolss.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. gialZfD43pWvG+MthQ7+/OQ6i2ASdGIaQw8Pwfyrzbp2X+KWUcVraiKcl19nQA5GJJEcDMIlDhKllrsn8iMrXxCTnP2O++FPjfiK3/hRlAUERVkvv0hgt4xQPtVZOhdd5PDkKvAJx62Y19RaeA4AacviruvfVRCjnxZt2hOcYDk=
03c9hqfkrbl9lotogrlvccdfggl2g4l8.group.	3600	in	nsec3	1 1 0 73 03E3N6B56JL00U7EREJHUE0F5OH9TNDS NS DS RRSIG
03c9hqfkrbl9lotogrlvccdfggl2g4l8.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. Z4f/VJlVhCnKyocv+EZ8hRxbYrJbKO8dyJbzqn+XXi7TNr9Uyuqkr1lxknW5BBdnSfwnTIIaId4KpkmN/UogkiSV4D9DR43VIJcwaHoDz2LH9a3o6d3pf0P84bcwK4nW7CU8g8jG4xuAGoH49z5pHSkFA9M3fdANzpgTmyD0s4I=
03e3n6b56jl00u7erejhue0f5oh9tnds.group.	3600	in	nsec3	1 1 0 73 03FADDSULIT1D5JB0PTRCLB0G0460MVS NS DS RRSIG
03e3n6b56jl00u7erejhue0f5oh9tnds.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. zQAoyTh+OQZZ5JTNeAd8J83WgE+TP39Kvk/kTAZaXj5zc+TxkXcGEKCQQmW7fRhsLwUotE3JkidTM98RO/MJ2uoNgqj04q53oEnVonWYmgVudSHZ48bHZGnQoThYUxTKrObGMPJqa8LrKoKH2d8Eupn6s5Zrsye3fs1KHG5B784=
03faddsulit1d5jb0ptrclb0g0460mvs.group.	3600	in	nsec3	1 1 0 73 03O46IKVU3713TS03UOROHI57C5TMO45 NS DS RRSIG
03faddsulit1d5jb0ptrclb0g0460mvs.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. bSWBg0hvR2znJo5IDEmwESB8BrernFtqwGb/4avE5ujA7BCurPoqqHO+MxIqlirzxey/1IZ59/3dQEhq4Up58Oiyc/igBb6X26It9p6Ktp1xbs6Dt9SYhVwsUs5mMIdApNf0DLqDh20G/XYncgB7BX/EQa52vFcD+ygLYBesmqY=
03o46ikvu3713ts03uorohi57c5tmo45.group.	3600	in	nsec3	1 1 0 73 0438P5JQ47RHK0RS7FE08NGVLP35SSA5 NS DS RRSIG
03o46ikvu3713ts03uorohi57c5tmo45.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. XBAgjYfDZsI18tZ2F+FUSYaHyMCibAx2B5fK9MDuPHRkq4CXFDiddTf/WbP0AkIECefZcOqHyjxPmF1ZJ3PT+Off/1KmVLRXXi7sLNDZJ4+x8z72L5C8QpMLIvqW0RRaxmTcwKaUGs+x3lqHkZSKyAHt1ygDTOVnywyt6Kl4CL4=
0406.group.	3600	in	ns	felipe.ns.cloudflare.com.
0406.group.	3600	in	ns	thea.ns.cloudflare.com.
0412.group.	3600	in	ns	ns12.inhostedns.com.
0412.group.	3600	in	ns	ns22.inhostedns.net.
0412.group.	3600	in	ns	ns32.inhostedns.org.
0417.group.	3600	in	ns	dns23.hichina.com.
0417.group.	3600	in	ns	dns24.hichina.com.
0431.group.	3600	in	ns	ns3.myhostadmin.net.
0431.group.	3600	in	ns	ns4.myhostadmin.net.
0438p5jq47rhk0rs7fe08ngvlp35ssa5.group.	3600	in	nsec3	1 1 0 73 046AOQV219M4F8DK3L20F3H1NT2TC35O NS DS RRSIG
0438p5jq47rhk0rs7fe08ngvlp35ssa5.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. mXn2Rh9O4M4A10MZkl8p756dkqKfpq6A9Y0kgFnvPrzDDGJNIOdq4ZSCNFkcrnwBKFdslqxktskJHYBhMK1xEaq1CPOTzS4Az6UCTCPMCisJKCCuTE7ov4YPJo8ZmD4wIbKlro28ccQoLH6AJwHhmNVL4S0pWQHEF/5hgg1011w=
044.group.	3600	in	ns	ns1.dyna-ns.net.
044.group.	3600	in	ns	ns2.dyna-ns.net.
0456sy.group.	3600	in	ns	dns15.hichina.com.
0456sy.group.	3600	in	ns	dns16.hichina.com.
046aoqv219m4f8dk3l20f3h1nt2tc35o.group.	3600	in	nsec3	1 1 0 73 04AMD60ASU805V5JLVM13PQ3FD36RQDV NS DS RRSIG
046aoqv219m4f8dk3l20f3h1nt2tc35o.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. lFC4yt2JJB0eXoUh1hw1xQdfkYI+dXnTwJUunI8xe3SmyrXpc8+WqBuksymHInG3JD4jGFRaL0kYTuAMQrRI/epVFZMpCUej17kUw/khQmuoYMuTZcKKFVHwNq5OgXukjx2R4lKXEhjJGf0wOmfFyZZm+ZQxK2psl3aqm7PsVV8=
04amd60asu805v5jlvm13pq3fd36rqdv.group.	3600	in	nsec3	1 1 0 73 04B4J7I9D5O43EITEUGM9NH82NPQH97L NS DS RRSIG
04amd60asu805v5jlvm13pq3fd36rqdv.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. rucdpma+0PCwqW6q81+S9zkPA6nHICpkZuzgPqAIEi1wk1/dMgSERrq4hBmC4keMmSy4pQFPfr2n2as09i33FVp577oY3cqorVmMUQNvgXrsPY/nEwj5L6aZx6eVpDl0XNGuiMoyqfvZ1DNXgK0di2jCO9y3zsTwa4HLrho92ug=
04b4j7i9d5o43eiteugm9nh82npqh97l.group.	3600	in	nsec3	1 1 0 73 04FQQPC67O0M0UTM6IRQT5CHESCJLL24 NS DS RRSIG
04b4j7i9d5o43eiteugm9nh82npqh97l.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. Pwxf2b/L4jz1qYUWXuj+OcxFxXlFcVP4EZxnjAnhfn4vX+C8m50fWIkh6UYa0uxOZa+Ih6aDprchTPEFbxVt8BOoXHDXPFWJW4/sJ0tZ3ILiWMASS1h1RgnbDhhNYNmchctihjeKck8m+kRflWhlV59KOthlAtQh14sz+ofIzvE=
04fqqpc67o0m0utm6irqt5chescjll24.group.	3600	in	nsec3	1 1 0 73 04JPRH8U3HFVC0GIRMOFU0OT1Q5EU8CC NS DS RRSIG
04fqqpc67o0m0utm6irqt5chescjll24.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. Z0OBBQFQodqGO6z31BLBx68xKljuUaczzUlht82eeJGEx/BLg9IbS8WlyIUNEOeOsKDfCedvCMMBkP2NfX9f99w7WLphmH/wBwnXEkvue7X6el/UCe+uBt8zYwz9y6U/omSwgpH+Ta9yp1lwrzpkTpvQEfipihFEMVKuZo6IjCw=
04jprh8u3hfvc0girmofu0ot1q5eu8cc.group.	3600	in	nsec3	1 1 0 73 04L1LL8MGFLLMV4L6OI79PGUKVRTIB8V NS DS RRSIG
