1136.wien.	14400	in	ns	ns2.domaintechnik.at.
1136.wien.	14400	in	ns	ns3.domaintechnik.at.
1136.wien.	14400	in	ns	ns4.domaintechnik.at.
1140.wien.	14400	in	ns	ns1.netzadresse.at.
1140.wien.	14400	in	ns	ns2.netzadresse.at.
1140.wien.	14400	in	ns	ns3.netzadresse.at.
1140.wien.	14400	in	ns	ns4.netzadresse.at.
1150.wien.	14400	in	ns	ns1.netzadresse.at.
1150.wien.	14400	in	ns	ns2.netzadresse.at.
1150.wien.	14400	in	ns	ns3.netzadresse.at.
1150.wien.	14400	in	ns	ns4.netzadresse.at.
1160.wien.	14400	in	ns	ns1.netzadresse.at.
1160.wien.	14400	in	ns	ns2.netzadresse.at.
1160.wien.	14400	in	ns	ns3.netzadresse.at.
1160.wien.	14400	in	ns	ns4.netzadresse.at.
1170.wien.	14400	in	ns	ns1.netzadresse.at.
1170.wien.	14400	in	ns	ns2.netzadresse.at.
1170.wien.	14400	in	ns	ns3.netzadresse.at.
1170.wien.	14400	in	ns	ns4.netzadresse.at.
1180.wien.	14400	in	ns	ns1.netzadresse.at.
1180.wien.	14400	in	ns	ns2.netzadresse.at.
1180.wien.	14400	in	ns	ns3.netzadresse.at.
1180.wien.	14400	in	ns	ns4.netzadresse.at.
1190.wien.	14400	in	ns	ns1.netzadresse.at.
1190.wien.	14400	in	ns	ns2.netzadresse.at.
1190.wien.	14400	in	ns	ns3.netzadresse.at.
1190.wien.	14400	in	ns	ns4.netzadresse.at.
1200.wien.	14400	in	ns	ns1.netzadresse.at.
1200.wien.	14400	in	ns	ns2.netzadresse.at.
1200.wien.	14400	in	ns	ns3.netzadresse.at.
1200.wien.	14400	in	ns	ns4.netzadresse.at.
1210.wien.	14400	in	ns	ns1.netzadresse.at.
1210.wien.	14400	in	ns	ns2.netzadresse.at.
1210.wien.	14400	in	ns	ns3.netzadresse.at.
1210.wien.	14400	in	ns	ns4.netzadresse.at.
1220.wien.	14400	in	ns	ns1.netzadresse.at.
1220.wien.	14400	in	ns	ns2.netzadresse.at.
1220.wien.	14400	in	ns	ns3.netzadresse.at.
