8yuibqwniocknasdc.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
8yuibqwniocknasdc.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
900.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
900.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
9275jm5rijvfdrvz482z.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
9275jm5rijvfdrvz482z.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
9383wkccioik4bumqm3.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
9383wkccioik4bumqm3.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
985.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
985.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
999.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
999.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
9999.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
9999.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
9p1q19eiuuo.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
9p1q19eiuuo.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
9tn3z03m5aj.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
9tn3z03m5aj.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
a0.nic.xn--5tzm5g.	3600	in	a	65.22.16.9
a0.nic.xn--5tzm5g.	3600	in	aaaa	2a01:8840:0012:0000:0000:0000:0000:0009
a0joi5ijqp7r4pl1rhhq.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
a0joi5ijqp7r4pl1rhhq.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
a2.nic.xn--5tzm5g.	3600	in	a	65.22.19.9
a2.nic.xn--5tzm5g.	3600	in	aaaa	2a01:8840:0015:0000:0000:0000:0000:0009
a5uus00sexx5a23q0cz0.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
a5uus00sexx5a23q0cz0.xn--5tzm5g.	3600	in	ns	eoin.ns.cloudflare.com.
a6iqxl4x.xn--5tzm5g.	3600	in	ns	mckenzie.ns.cloudflare.com.
a6iqxl4x.xn--5tzm5g.	3600	in	ns	neil.ns.cloudflare.com.
a8id5e0i72erwwswfijg.xn--5tzm5g.	3600	in	ns	ns1.taoadns.com.
a8id5e0i72erwwswfijg.xn--5tzm5g.	3600	in	ns	ns2.taoadns.com.
aaa.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
aaa.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
adsense.xn--5tzm5g.	3600	in	ns	ns1.googledomains.com.
adsense.xn--5tzm5g.	3600	in	ns	ns2.googledomains.com.
adsense.xn--5tzm5g.	3600	in	ns	ns3.googledomains.com.
adsense.xn--5tzm5g.	3600	in	ns	ns4.googledomains.com.
adwords.xn--5tzm5g.	3600	in	ns	ns1.googledomains.com.
adwords.xn--5tzm5g.	3600	in	ns	ns2.googledomains.com.
adwords.xn--5tzm5g.	3600	in	ns	ns3.googledomains.com.
adwords.xn--5tzm5g.	3600	in	ns	ns4.googledomains.com.
agi.xn--5tzm5g.	3600	in	ns	curitiba.ns.porkbun.com.
agi.xn--5tzm5g.	3600	in	ns	fortaleza.ns.porkbun.com.
agi.xn--5tzm5g.	3600	in	ns	maceio.ns.porkbun.com.
agi.xn--5tzm5g.	3600	in	ns	salvador.ns.porkbun.com.
aidehua.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
aidehua.xn--5tzm5g.	3600	in	ns	patryk.ns.cloudflare.com.
aiheng.xn--5tzm5g.	3600	in	ns	chelsea.ns.cloudflare.com.
aiheng.xn--5tzm5g.	3600	in	ns	patryk.ns.cloudflare.com.
airansa.xn--5tzm5g.	3600	in	ns	lex.ns.cloudflare.com.
airansa.xn--5tzm5g.	3600	in	ns	romina.ns.cloudflare.com.
aizhongyi.xn--5tzm5g.	3600	in	ns	ns1.gxkjdns.com.
aizhongyi.xn--5tzm5g.	3600	in	ns	ns2.gxkjdns.com.
alexa.xn--5tzm5g.	3600	in	ns	nsgbr.comlaude.co.uk.
alexa.xn--5tzm5g.	3600	in	ns	nssui.comlaude.ch.
alexa.xn--5tzm5g.	3600	in	ns	nsusa.comlaude.net.
alphabet.xn--5tzm5g.	3600	in	ns	ns1.googledomains.com.
alphabet.xn--5tzm5g.	3600	in	ns	ns2.googledomains.com.
alphabet.xn--5tzm5g.	3600	in	ns	ns3.googledomains.com.
alphabet.xn--5tzm5g.	3600	in	ns	ns4.googledomains.com.
amazon.xn--5tzm5g.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.xn--5tzm5g.	3600	in	ns	nssui.comlaude.ch.
