0tvabrqd75k4c757h6k9dht72shv7obg.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. Pol+kF3P99lIv9Yx0P4tel77UimyTZSaROPEjUzEpasgSZIbCQU9sPAM6T18ybEW3iUcbreB/0Wax2TwxqU0LYdbEu6/AhIUbyjHgak+AieIlJ3YmN7Ws7OaYCVfSAQ28aCmRZs1PXuK9T9OaLoolNXAVe+5DvuxTrmd+p+g/eg=
1.wine.	3600	in	ns	ns77.domaincontrol.com.
1.wine.	3600	in	ns	ns78.domaincontrol.com.
10.wine.	3600	in	ns	ns1.name.com.
10.wine.	3600	in	ns	ns2.name.com.
10.wine.	3600	in	ns	ns3.name.com.
10.wine.	3600	in	ns	ns4.name.com.
100-point.wine.	3600	in	ns	ns35.domaincontrol.com.
100-point.wine.	3600	in	ns	ns36.domaincontrol.com.
1000.wine.	3600	in	ns	ns23.domaincontrol.com.
1000.wine.	3600	in	ns	ns24.domaincontrol.com.
1000curvas.wine.	3600	in	ns	ns1.4leads.ag.
1000curvas.wine.	3600	in	ns	ns2.4leads.ag.
1000historias.wine.	3600	in	ns	ns15.domaincontrol.com.
1000historias.wine.	3600	in	ns	ns16.domaincontrol.com.
100plus.wine.	3600	in	ns	ns1.domainoffensive.de.
100plus.wine.	3600	in	ns	ns2.domainoffensive.eu.
100plus.wine.	3600	in	ns	ns3.domainoffensive.net.
100women.wine.	3600	in	ns	ns1.stellar.mystableserver.com.
100women.wine.	3600	in	ns	ns2.stellar.mystableserver.com.
101vini.wine.	3600	in	ns	ns1.register.it.
101vini.wine.	3600	in	ns	ns2.register.it.
1023.wine.	3600	in	ns	ns13.domaincontrol.com.
1023.wine.	3600	in	ns	ns14.domaincontrol.com.
10cub4a4ebij751jrqjvhqs7faucchvm.wine.	3600	in	nsec3	1 1 0 73 10GK8MSIAK9VOVJ2SDL2S8UBV31D2247 NS DS RRSIG
10cub4a4ebij751jrqjvhqs7faucchvm.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. sYgj8/Xlxy8ui5uAj9Uum7592mr9hTjxjYi9nwPHHJyY7EEgIb8DqPYTT6iZfvTiQqvqiuh6F7cXI5x/KAxZX3GlI5N/jrbZT6i3rB9MUMX/hBmN2X0yUMGKeIvt9Sr3aYlUbq018Nvgh9vNycYdqIOuHmnGt06wor5KslvPpHY=
10gk8msiak9vovj2sdl2s8ubv31d2247.wine.	3600	in	nsec3	1 1 0 73 10OVH8607A68UAU571D9V65TRNNTGLLH NS DS RRSIG
10gk8msiak9vovj2sdl2s8ubv31d2247.wine.	3600	in	rrsig	NSEC3 8 2 3600 20250916152048 20250826142048 21604 wine. J8/KgCxnbu20VYXWi9I7z/i0VQSi22Bb1kbE/bv43kiadniQg5BcRMx0p8CdtH5Zei9zOawZ0j9naWcNuMw0vIFPxZOCr/uWpgytnaO/K7km1yXEcfjATY8OlHWfhPNr+5x2c/5eHZzfDbkXV8A5wh1z3Wm65StHMfG5jqsHnm4=
10ovh8607a68uau571d9v65trnntgllh.wine.	3600	in	nsec3	1 1 0 73 10QSLQHA640PQI6DNI5PLJ7UES58VRFE NS DS RRSIG
