071jhriio5225ckamhva225faa77tk0d.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 07J98DUG1BMRG57RISR9HQ8SLTF6UA75 NS
071jhriio5225ckamhva225faa77tk0d.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. Oos9IdCZHRIKJ/vStU4N2KZuRSise0pwfnXVM8qoUXLLRSFJf7Dlr8ImDxNSfDmgfjUHhz/cx1uQj+q1/NAE2msBNw3AqmLIxtlQYn8IZklnMd5RImrDHQYNgb/JKe3fOX3EC6RRuUvtyB2iTXXoCl/v/1z4mwDYNQL+PnnBA20=
0742139.xn--q9jyb4c.	10800	in	ns	ns1.dyna-ns.net.
0742139.xn--q9jyb4c.	10800	in	ns	ns2.dyna-ns.net.
07j98dug1bmrg57risr9hq8sltf6ua75.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 07MS5LBLNC3BH95Q4BTCCMKF6R1427R9 NS
07j98dug1bmrg57risr9hq8sltf6ua75.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. x/L3DyXHapdvsFvzvi78CckmPKVNch1xfS/iAxRFz3OHTmdeGSqgY5jECJcLaXcNYw4Z1tOR84iIZTZRqsxWVFg0/5nHuWTfIrV5445B0I5Wqbs5aqmfmoIIDkO1njiVkOXjHT1YjE+WRDZkAUBRuEW70nKb9LySVLjO+D46Kho=
07ms5lblnc3bh95q4btccmkf6r1427r9.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 07UNKNJVG35QSO5UPU9QTGLCNLOPL9H1 NS
07ms5lblnc3bh95q4btccmkf6r1427r9.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. bl+cnNRWq4pw11B2CzhLmB1PfA/3YyRlYY3FEkUTL30ste3m17ShGu779KP/lsu4FFhjpaS/CqhoA6LW8+Lz+PYLN0mcGUbsSbbrSFcd6Axly66LNpeDjg3LxW4ygcZjtnh2OUdRqXEFLsGja7PQ2ZrEAxJTWr4/wN8d/1fK1h4=
07unknjvg35qso5upu9qtglcnlopl9h1.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 08IL8GJ3DD2HGFCKIPGKRTGE2TT5BF8O NS
07unknjvg35qso5upu9qtglcnlopl9h1.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. g64opV8jjtYfpGbuBSi7d37mMv82J3b6i/3DHFFpn2+pLyGLdEhCueKPeX47Bp1uXAN3TMA6iCd8sRDN+Zd8XG4oryqG5YBbg4yjNCQSV3mRmSKuz3+tT5TXLSLG9FiGfKhQ8pNc+4xhHIFuRny0sqc8G4AjC/eC9FOTSSRzuh4=
0865669.xn--q9jyb4c.	10800	in	ns	ns1.dyna-ns.net.
0865669.xn--q9jyb4c.	10800	in	ns	ns2.dyna-ns.net.
089.xn--q9jyb4c.	10800	in	ns	n1.xundns.com.
089.xn--q9jyb4c.	10800	in	ns	n2.xundns.com.
08il8gj3dd2hgfckipgkrtge2tt5bf8o.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 08TRSIHK33731TBBE8PQ3MP7H0DAN4UC NS
08il8gj3dd2hgfckipgkrtge2tt5bf8o.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. QY32aUwc/pdSGX2ZGzFc9IVMBbZxo/ohklGKQEoIUCTWmiiGma58U71KJtl6OoiCaY8uj8KKgCjO3RNt4zTv/YPqN6clzITauO3HRaiM4xlQFlRXYzVNu/RfeCli9TAQjXf9x8DsCNtc4lZDVw1aR2JhbF6q2P6otypC+BWOexM=
08trsihk33731tbbe8pq3mp7h0dan4uc.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 09JK6TGJVU54I2AL01G19UBQ2A2N3AI6 NS
08trsihk33731tbbe8pq3mp7h0dan4uc.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. PBfK/lqThBjQ3InnQl44s5j65MfZ4BS6f7dR3d5nOoRdfBP9ae5u3YxyN892OQqLVASBvHIoheXbmDWCLCQvt4hI15jeJja32ruG2FX5gbQsrbb6weLdUF1lgEzeTeJUdivG1CHpLv3vCr+EfoHLQQKNruvLFfxFerv9B9ehd+M=
0907104.xn--q9jyb4c.	10800	in	ns	ns1.dyna-ns.net.
0907104.xn--q9jyb4c.	10800	in	ns	ns2.dyna-ns.net.
09jk6tgjvu54i2al01g19ubq2a2n3ai6.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 0A3BTV189UADN4KP5I276OH8SNUV1AG7 NS
09jk6tgjvu54i2al01g19ubq2a2n3ai6.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. JF14QT04T9k6hCVN3MZT59kUMGBNxmpDVXytZY7KyWj2Pu94jAfiSkI+ZpRemqd60+VAz2JI2TRUqjDg8KZ/g439J/9kjmSRsuxUkHqBFndCiBJx1kC41dMj2kc+LzM3U1ZVgUg5lFZQi5hIpZai+NdPWFqAm5W/5pbRgd9LIc8=
0a3btv189uadn4kp5i276oh8snuv1ag7.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 0A98EVJNVKVLH8JE7IRHV6NAF5NIT4EI NS
0a3btv189uadn4kp5i276oh8snuv1ag7.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. M5w5uU4ck7B6JQSPmyOmck3qHNkOrqF/4urbXMAw4HOW+1cgSuD7fW7yaIWfyXdvMPsF1Oszz4Ukib0gPUYtgl4hBD/76YsCr0GdpqI2Ju3TV5DSP7h91ksfPsiNUsqPWCuqDiDSH9/SYaY5mbMTMPY2kKd7MEeRR2K3nRQjyZE=
0a98evjnvkvlh8je7irhv6naf5nit4ei.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 0AAPDMGU82RAROQPOEIPN25IFLAUCBUB NS
0a98evjnvkvlh8je7irhv6naf5nit4ei.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. kmfSharkHGyHdl7t0osxBpDxGrVZrApbGNaPK0n9j+jvd0pJDignsdJpqAck0WTA9DaN1W1cy5xJEATLmKUq+WmEk+9qpt18WDaEC1NMWSwpVTiPYMXQJWd4H5LCt33vLdx2edJIW0vMF1X/f7qyFXDj6unbSbNUrSHsWTUb9+s=
0aapdmgu82raroqpoeipn25iflaucbub.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 0ARHQHKA9CDU6OLEAGL54DF1RF3Q70VI NS
0aapdmgu82raroqpoeipn25iflaucbub.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. qplEgEz2Hw/l/aACPZNJvJMrTUZ7tMzNaHMz8haVVDa33p7arZEoCFZTYy81YdOP5Gnm6D1MIE+U9mzAqLQbs9Z9y/YSbJV5CfOGfwE8tG2LbijeTx0AXKdeiqYsB6QAN8sJcPYFo9MBIn8APgpVR0PkZY6YOkZWDeB4qb8lyVI=
0arhqhka9cdu6oleagl54df1rf3q70vi.xn--q9jyb4c.	900	in	nsec3	1 0 1 553E24F233566FE7 0BP927VI4ALJBQSV86FCGG22BC331DE5 NS
0arhqhka9cdu6oleagl54df1rf3q70vi.xn--q9jyb4c.	900	in	rrsig	NSEC3 8 2 900 20250922061419 20250831061419 44415 xn--q9jyb4c. SVzCdhcy7r2+Ph1/qwLDnjBzKi4h+WvQj4+qjYdaCKc90vk1cqmPZyZHUlMvFolEjeVOI/JaP/bD5JDBmKBWad5ZuKZIbcRUo4mBvRePp6rc4bkFaevgpcCsP/fayG2fAOnfdlFXaJB8fflqtyYvwAx++T5vhFIyMHF5kSZ3xx8=
