12390.army.	3600	in	ns	ns2.dyna-ns.net.
12392.army.	3600	in	ns	ns1.dyna-ns.net.
12392.army.	3600	in	ns	ns2.dyna-ns.net.
123b.army.	3600	in	ns	dns1.registrar-servers.com.
123b.army.	3600	in	ns	dns2.registrar-servers.com.
12400.army.	3600	in	ns	ns1.dyna-ns.net.
12400.army.	3600	in	ns	ns2.dyna-ns.net.
12444.army.	3600	in	ns	ns1.dnsip.com.
12444.army.	3600	in	ns	ns2.dnsip.com.
12457.army.	3600	in	ns	dns7.parkpage.foundationapi.com.
12457.army.	3600	in	ns	dns8.parkpage.foundationapi.com.
