07aaaqmo751q4vcp6sjgv7nsga7tfdh3.legal.	3600	in	nsec3	1 1 0 73 07OKCVU0SDSQDAV1CB785J0SNMSNFF85 NS DS RRSIG
07aaaqmo751q4vcp6sjgv7nsga7tfdh3.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. c6FAyUp64T8aQWD4JQWdn3/ZUJD0UZ2lVtojU4tiOBUXqGUxjMdQtI6agcVcXw5QoYk13TednYY5seudua90cwys4H078suRcPEQUsStTkniAkfVGDVGxA+Sg48eZ/CXYl7ux3v8WPgFBtAwlYjIZEJgQ4HvyShUXrc2K8vliHg=
07okcvu0sdsqdav1cb785j0snmsnff85.legal.	3600	in	nsec3	1 1 0 73 08C3QKGPCI0MUOBB5I09MM9U7BCS9GR9 NS DS RRSIG
07okcvu0sdsqdav1cb785j0snmsnff85.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. BTRIwFCmFYLRFgYvKq8tMzIeiqfk1hPjtQ/GcermzR3j1gpglv3ZodaK3yrum7dDh80R0FD4UhCIyJijZBoiW/Kg+kZxSAw/NRYdEl+hP6m4I37CU8IxqaVT5HMph6KMqguJIb8jneIYM1EKN0fZQO8VLWbPYqqYonkmX0sAFf0=
089.legal.	3600	in	ns	n1.xundns.com.
089.legal.	3600	in	ns	n2.xundns.com.
08c3qkgpci0muobb5i09mm9u7bcs9gr9.legal.	3600	in	nsec3	1 1 0 73 08L18VNRAJLAE11KSKRSRA1ACEKJA0J1 NS DS RRSIG
08c3qkgpci0muobb5i09mm9u7bcs9gr9.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. cB9rufRLuVUlFIT9M+U63aFdat0vJ9wR1g7xyYDq3BmvfkCJomkIwivcasbnq7zCYKXATOXV+bMOHtg7AVIVfjR5Qg/1jhzlgcweMmfHPsS3/ZPPVlaXsvHkmclpXRRPPQxzjeisMDBFw1C5Lo8FbjlXZ3WwMhRlGUkdpz/rbUw=
08l18vnrajlae11kskrsra1acekja0j1.legal.	3600	in	nsec3	1 1 0 73 09G45LQR5GIRULNITNL125VA4TE7U6E7 NS DS RRSIG
08l18vnrajlae11kskrsra1acekja0j1.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. YIQeyI/x9c878lvuoxvE4Jtts9jk911FVJjuwOeAoUfPs04mLVoSMZjqZ0cEFaeKYRABH1GAUvfJCO2S+UTPFiTeaokXsEuqUTzoZUy5Hb0RgS7FXlubU2pz/XdL2xWR56WMJnOoOQbVB1GmpaPMeoUiY7uaQ11hVDi+0/AYVWg=
09032.legal.	3600	in	ns	ns1.dyna-ns.net.
09032.legal.	3600	in	ns	ns2.dyna-ns.net.
09g45lqr5girulnitnl125va4te7u6e7.legal.	3600	in	nsec3	1 1 0 73 09SJ0RCPC8DUVMOPVFNAVFMJO2N9GCMC NS DS RRSIG
09g45lqr5girulnitnl125va4te7u6e7.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. z50kmDMJWg1/1kAmO8DWKhIjr8p7HiB+ZPYiLDoaW1Kxx4u8nyHsAlwkTeDM7i23bXL1hOako4qInzepxS9rMCiyGSvSLBB3nIfP8YgLwLOpoNCnRMJPi/ecE/9s8zL/ijdFpaPVbW1lBzJWyEwrhSKzZFkJ+WWpflLAhNXmO7g=
09sj0rcpc8duvmopvfnavfmjo2n9gcmc.legal.	3600	in	nsec3	1 1 0 73 0A55PF07JPV863RLO0RNLTDD1BP4CVDK NS DS RRSIG
09sj0rcpc8duvmopvfnavfmjo2n9gcmc.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. ez/be34xtdwhYXTdpysHfIUxM5Eou+2TJ7Mn9FpNmw0an6BnncBBI7ig+rCzoCfkjUOhcIkRw6mBXxwWg5IMPav98ukJAIrOV+wkFBatiiXzLYzWRLcgEFo0J4bVbUUPbwy2wy9g68umn8tm9HJj+ygo6J9FERRwjJXZuM86MrA=
0a55pf07jpv863rlo0rnltdd1bp4cvdk.legal.	3600	in	nsec3	1 1 0 73 0AATVQM68N4IMF85I9VFTI16KJ3PS95D NS DS RRSIG
0a55pf07jpv863rlo0rnltdd1bp4cvdk.legal.	3600	in	rrsig	NSEC3 8 2 3600 20260207155418 20260117145418 64266 legal. YspyeqCBI8Rh6/+3p4JkXbSiaanhFqp1fCkY+hApelHI6WJSgKfE4pa9OcVVPTYY/99ONDAsNKqHwribFKvQIlJDQlPxGnOWmgHRrV2yIKLKbQWbZIC+05JKVEPuiOqzttPxIL1OD7Ic4/OtAzyxXbSTYSi3IOuKulQbjdWv5Pc=
0aatvqm68n4imf85i9vfti16kj3ps95d.legal.	3600	in	nsec3	1 1 0 73 0AG04S3RV596SVI3BT5FVO0UUS6492Q1 NS DS RRSIG
